,Unnamed: 0,Latitude,Longitude,Date,Fire Intensity,Brightness,dist
18265,18265,33.9094,-117.6339,2015-04-19,38.1,325.4,58.44428421002052
18268,18268,33.8992,-117.6312,2015-04-19,40.9,326.8,59.00441205800031
18271,18271,33.912,-117.6195,2015-04-19,214.6,375.7,59.64644501826471
18278,18278,33.9159,-117.6153,2015-04-19,14.7,310.8,59.90790534567164
18281,18281,33.9066,-117.6175,2015-04-19,14.9,310.9,59.98564918912391
20521,20521,34.2938,-118.5307,2015-04-27,288.0,396.0,37.67916672959632
20522,20522,34.2922,-118.5178,2015-04-27,598.0,428.0,36.727381838537795
29256,29256,34.156,-118.2318,2015-06-18,19.6,332.9,11.597559917442293
38924,38924,34.3472,-118.5388,2015-06-24,701.8,421.9,42.587512974706065
38925,38925,34.3501,-118.523,2015-06-24,40.1,336.7,41.930150659692245
62408,62408,33.7641,-117.7295,2015-07-13,23.3,335.1,57.27171985860876
62925,62925,33.8731,-117.6706,2015-07-15,10.0,307.5,56.49934974677191
62927,62927,33.8712,-117.6825,2015-07-15,5.6,301.2,55.5501675572044
62928,62928,33.8639,-117.6673,2015-07-15,5.5,301.6,57.15404399017318
79788,79788,34.2509,-117.8599,2015-08-14,255.4,392.2,41.67203808421726
79789,79789,34.2606,-117.8624,2015-08-14,70.5,353.8,42.06026698205136
79804,79804,34.2622,-117.8491,2015-08-14,53.2,348.1,43.18274773837349
79805,79805,34.2524,-117.8474,2015-08-14,203.9,384.3,42.73827086511479
82139,82139,34.0178,-118.0805,2015-08-16,45.1,354.3,15.522069164447819
82140,82140,34.0282,-118.0717,2015-08-16,111.0,376.1,16.076433949050998
82141,82141,34.0267,-118.0824,2015-08-16,382.4,421.7,15.135301148628782
82142,82142,34.0356,-118.0842,2015-08-16,10.5,336.2,14.815983021761761
82143,82143,34.0193,-118.0698,2015-08-16,9.2,335.0,16.441630876890724
125631,125631,34.0277,-118.4765,2015-11-02,7.5,312.6,21.629602858383578
126599,126599,34.1603,-118.8634,2015-11-07,195.7,332.5,58.3259810252192
133761,133761,33.847,-118.3009,2015-12-12,60.4,347.9,23.426610591355566
133762,133762,33.8451,-118.2896,2015-12-12,12.3,315.5,23.42178453507557
136523,136523,34.0878,-117.7579,2016-01-20,4.4,301.7,44.935239405276235
148775,148775,34.1952,-117.7709,2016-03-03,13.7,314.3,46.34966547754194
176371,176371,34.1548,-117.7937,2016-04-23,19.8,320.9,42.987985757056244
176988,176988,34.1536,-117.7922,2016-04-27,24.3,330.0,43.08634793661897
176991,176991,34.1625,-117.7903,2016-04-27,9.2,314.2,43.5217736492978
182457,182457,34.5127,-118.3252,2016-05-28,26.1,338.4,51.766107673967284
183796,183796,34.1218,-118.6204,2016-06-05,44.1,302.8,35.55432389754123
183797,183797,34.1217,-118.62700000000001,2016-06-05,56.5,305.3,36.14560399504348
187109,187109,34.2483,-117.8497,2016-06-18,91.6,348.6,42.32162953833341
187110,187110,34.2465,-117.8321,2016-06-18,34.6,332.4,43.618744129976655
187415,187415,34.098,-118.2521,2016-06-19,54.8,341.6,5.152775679309083
187416,187416,34.0935,-118.2576,2016-06-19,49.0,339.8,4.768966571004681
187719,187719,34.1717,-117.9105,2016-06-20,458.2,405.2,33.440205593667756
187720,187720,34.2004,-117.8924,2016-06-20,57.6,342.9,36.304546612064485
187721,187721,34.2022,-117.8757,2016-06-20,181.8,370.3,37.76873298238935
187722,187722,34.1849,-117.9378,2016-06-20,70.7,347.5,31.8015767848616
187723,187723,34.1899,-117.8897,2016-06-20,235.2,379.2,36.016061598825665
187724,187724,34.1727,-117.9518,2016-06-20,367.3,396.4,30.037633150449018
187725,187725,34.1744,-117.935,2016-06-20,1587.5,465.7,31.510630955117694
187726,187726,34.1761,-117.9185,2016-06-20,757.9,426.8,32.966345840688746
187727,187727,34.1622,-117.9482,2016-06-20,303.8,389.8,29.83859577803636
187728,187728,34.1638,-117.932,2016-06-20,787.8,429.1,31.27532495969247
187729,187729,34.1655,-117.9156,2016-06-20,479.5,406.6,32.739181383856995
187730,187730,34.1665,-117.9585,2016-06-20,56.2,347.3,29.180602747865088
187731,187731,34.1682,-117.9431,2016-06-20,999.4,441.1,30.54258889926762
187732,187732,34.17,-117.9263,2016-06-20,2365.9,490.4,32.032703908964116
187733,187733,34.1561,-117.9548,2016-06-20,129.9,365.9,29.009222927881392
187734,187734,34.1578,-117.9396,2016-06-20,417.2,402.7,30.370763393655825
187735,187735,34.1456,-117.9521,2016-06-20,36.3,343.6,28.79737869088202
187736,187736,34.1473,-117.9365,2016-06-20,352.3,396.5,30.207360872566497
187737,187737,34.1489,-117.9209,2016-06-20,91.1,357.7,31.61707102078701
187798,187798,34.1991,-117.9085,2016-06-21,55.0,311.3,34.92253930329588
187799,187799,34.1888,-117.9493,2016-06-21,166.8,326.5,31.076710280173902
187800,187800,34.1672,-117.9429,2016-06-21,65.7,313.5,30.512636668437178
187801,187801,34.1714,-117.9474,2016-06-21,65.3,312.7,30.3375120135163
187802,187802,34.1847,-117.9439,2016-06-21,150.5,325.1,31.294659807884713
187810,187810,34.2053,-117.9489,2016-06-21,58.6,309.6,32.04302466949602
187811,187811,34.171,-117.9337,2016-06-21,57.1,308.6,31.458481415276964
187812,187812,34.17,-117.9379,2016-06-21,65.3,310.0,31.060961354078863
187858,187858,34.1789,-117.9503,2016-06-21,29.0,318.3,30.473160269727405
187859,187859,34.1678,-117.9539,2016-06-21,27.5,316.6,29.624781364675894
187860,187860,34.2104,-117.9385,2016-06-21,21.3,315.6,33.15493727120345
187861,187861,34.2087,-117.9213,2016-06-21,39.4,324.8,34.411565627523565
187862,187862,34.1992,-117.9416,2016-06-21,16.4,312.5,32.266123028215176
187863,187863,34.1975,-117.9241,2016-06-21,21.3,315.7,33.57398607346384
187864,187864,34.1878,-117.9422,2016-06-21,29.2,318.9,31.5955366794652
187865,187865,34.1784,-117.9626,2016-06-21,17.7,312.2,29.447053861314863
187866,187866,34.1766,-117.9443,2016-06-21,25.5,316.9,30.848846159067946
187867,187867,34.1655,-117.9478,2016-06-21,16.8,311.0,30.023925918007755
188056,188056,34.1997,-117.9228,2016-06-21,37.7,340.7,33.79672857660493
188057,188057,34.2016,-117.9344,2016-06-21,86.6,360.7,32.97274870301288
188060,188060,34.1592,-117.9774,2016-06-21,51.3,328.2,27.26109932431197
188061,188061,34.1662,-117.9454,2016-06-21,48.6,327.2,30.257127285136676
188142,188142,34.1961,-117.9162,2016-06-22,11.8,313.1,34.140304292638426
188143,188143,34.1622,-117.9544,2016-06-22,7.2,307.0,29.318740861040332
188144,188144,34.2017,-117.9401,2016-06-22,5.5,304.0,32.52619224738023
188145,188145,34.1696,-117.9673,2016-06-22,19.7,321.9,28.608640886571376
188146,188146,34.1713,-117.956,2016-06-22,19.3,321.4,29.622220093407897
