,Dates,Temperature,Wind Speed,Precipitation,Pressure,Heat Index
0,2016-01-01,8,5,0.0,1020,18
1,2016-01-02,9,11,0.0,1018,19
2,2016-01-03,8,15,0.0,1014,16
3,2016-01-04,11,7,0.1,1020,19
4,2016-01-05,12,19,14.1,1008,13
5,2016-01-06,9,22,14.0,1012,13
6,2016-01-07,9,13,0.6,1012,13
7,2016-01-08,8,8,0.0,1018,16
8,2016-01-09,8,7,0.0,1023,15
9,2016-01-10,9,8,0.0,1021,17
10,2016-01-11,10,7,0.0,1025,16
11,2016-01-12,10,9,0.0,1022,22
12,2016-01-13,9,14,0.0,1020,18
13,2016-01-14,10,12,0.0,1019,18
14,2016-01-15,11,8,0.0,1018,16
15,2016-01-16,12,13,0.0,1020,19
16,2016-01-17,11,10,0.0,1021,20
17,2016-01-18,11,10,0.0,1021,18
18,2016-01-19,13,9,0.0,1022,18
19,2016-01-20,13,11,0.0,1022,19
20,2016-01-21,11,10,0.0,1022,23
21,2016-01-22,11,9,0.0,1019,21
22,2016-01-23,12,11,0.0,1016,17
23,2016-01-24,10,5,0.0,1019,19
24,2016-01-25,10,8,0.0,1020,23
25,2016-01-26,12,9,0.0,1024,23
26,2016-01-27,12,3,0.0,1024,22
27,2016-01-28,12,10,0.0,1020,23
28,2016-01-29,12,17,0.0,1017,24
29,2016-01-30,12,12,0.0,1015,18
30,2016-01-31,14,42,12.2,1004,14
31,2016-02-01,8,23,0.0,1018,14
32,2016-02-02,6,13,0.0,1022,15
33,2016-02-03,7,5,0.0,1027,18
34,2016-02-04,9,3,0.0,1026,21
35,2016-02-05,12,11,0.0,1026,23
36,2016-02-06,13,5,0.0,1024,25
37,2016-02-07,14,6,0.0,1022,28
38,2016-02-08,17,10,0.0,1022,28
39,2016-02-09,17,4,0.0,1021,31
40,2016-02-10,18,7,0.0,1020,30
41,2016-02-11,17,8,0.0,1019,29
42,2016-02-12,15,6,0.0,1019,28
43,2016-02-13,13,10,0.0,1018,25
44,2016-02-14,14,2,0.0,1017,27
45,2016-02-15,18,1,0.0,1016,32
46,2016-02-16,18,6,0.0,1012,31
47,2016-02-17,15,18,0.0,1010,24
48,2016-02-18,13,12,0.0,1015,20
49,2016-02-19,12,10,0.0,1018,21
