,Dates,Temperature,Wind Speed,Precipitation,Pressure,Heat Index
0,2016-01-01,13,27,0.0,1026,10
1,2016-01-02,10,16,0.0,1027,10
2,2016-01-03,10,10,0.0,1023,11
3,2016-01-04,9,13,0.0,1025,14
4,2016-01-05,7,17,0.0,1027,9
5,2016-01-06,11,21,0.0,1023,16
6,2016-01-07,13,22,0.0,1014,14
7,2016-01-08,12,7,0.0,1014,17
8,2016-01-09,14,12,0.0,1007,19
9,2016-01-10,10,20,0.0,1023,8
10,2016-01-11,6,9,0.0,1026,8
11,2016-01-12,8,9,0.0,1026,14
12,2016-01-13,10,11,0.0,1025,16
13,2016-01-14,11,19,0.0,1016,17
14,2016-01-15,14,19,0.0,1007,19
15,2016-01-16,13,10,0.0,1011,16
16,2016-01-17,11,16,0.0,1021,10
17,2016-01-18,9,5,0.0,1028,13
18,2016-01-19,8,18,0.0,1029,13
19,2016-01-20,12,18,0.0,1022,18
20,2016-01-21,15,13,0.0,1016,19
21,2016-01-22,14,35,0.0,1016,8
22,2016-01-23,5,22,0.0,1023,8
23,2016-01-24,5,5,0.0,1024,11
24,2016-01-25,9,18,0.0,1020,17
25,2016-01-26,16,24,0.0,1018,19
26,2016-01-27,11,24,0.0,1020,9
27,2016-01-28,9,17,0.0,1018,10
28,2016-01-29,9,8,0.0,1021,19
29,2016-01-30,12,17,0.0,1019,19
30,2016-01-31,15,16,0.0,1015,20
31,2016-02-01,16,5,0.0,1015,19
32,2016-02-02,19,31,0.0,1010,25
33,2016-02-03,20,15,0.0,1017,15
34,2016-02-04,12,25,0.0,1026,12
35,2016-02-05,8,11,0.0,1032,10
36,2016-02-06,8,12,0.0,1026,12
37,2016-02-07,9,6,0.0,1025,15
38,2016-02-08,9,34,0.0,1019,14
39,2016-02-09,9,29,0.0,1021,10
40,2016-02-10,9,9,0.0,1028,12
41,2016-02-11,9,22,0.0,1023,20
42,2016-02-12,14,20,0.0,1024,20
43,2016-02-13,15,13,0.0,1030,13
44,2016-02-14,11,22,0.0,1022,18
45,2016-02-15,16,27,0.0,1011,24
46,2016-02-16,12,12,0.0,1015,18
47,2016-02-17,15,11,0.0,1024,16
48,2016-02-18,13,14,0.0,1029,18
49,2016-02-19,15,17,0.0,1026,21
50,2016-02-20,17,13,0.0,1024,25
51,2016-02-21,18,9,0.0,1020,25
52,2016-02-22,19,20,0.0,1014,21
53,2016-02-23,17,27,0.0,1006,24
54,2016-02-24,15,34,0.0,1015,12
55,2016-02-25,12,20,0.0,1023,17
56,2016-02-26,12,8,0.0,1030,13
57,2016-02-27,11,7,0.0,1028,15
58,2016-02-28,11,15,0.0,1023,18
59,2016-02-29,16,5,0.0,1021,24
60,2016-03-01,17,19,0.0,1019,25
61,2016-03-02,19,11,0.0,1023,17
62,2016-03-03,14,17,0.0,1015,20
63,2016-03-04,16,8,0.0,1022,18
64,2016-03-05,15,5,0.0,1023,25
65,2016-03-06,16,13,0.0,1024,24
66,2016-03-07,16,20,0.0,1021,25
67,2016-03-08,19,30,0.0,1018,25
68,2016-03-09,20,40,0.0,1014,26
69,2016-03-10,22,29,0.0,1015,25
70,2016-03-11,22,18,0.0,1020,20
71,2016-03-12,20,19,0.0,1016,24
72,2016-03-13,19,13,0.0,1013,26
73,2016-03-14,20,21,0.0,1014,27
74,2016-03-15,20,20,0.0,1015,28
75,2016-03-16,21,7,0.0,1017,27
76,2016-03-17,22,11,0.0,1014,28
77,2016-03-18,21,18,0.0,1012,25
78,2016-03-19,21,18,0.0,1015,21
79,2016-03-20,14,24,0.0,1022,15
80,2016-03-21,10,5,0.0,1030,15
81,2016-03-22,11,17,0.0,1027,18
82,2016-03-23,17,27,0.0,1018,25
83,2016-03-24,20,13,0.0,1011,25
84,2016-03-25,17,7,0.0,1014,20
85,2016-03-26,16,6,0.0,1015,24
86,2016-03-27,21,18,0.0,1017,20
87,2016-03-28,18,4,0.0,1020,25
88,2016-03-29,20,22,0.0,1019,25
89,2016-03-30,20,25,0.0,1017,26
90,2016-03-31,22,26,0.0,1010,29
91,2016-04-01,23,27,0.0,1011,19
92,2016-04-02,17,23,0.0,1019,19
93,2016-04-03,15,4,0.0,1023,25
94,2016-04-04,16,4,0.0,1023,26
95,2016-04-05,17,4,0.0,1024,28
96,2016-04-06,18,18,0.0,1019,25
97,2016-04-07,19,4,0.0,1016,27
98,2016-04-08,19,13,0.0,1020,24
99,2016-04-09,18,3,0.0,1023,24
100,2016-04-10,18,24,0.0,1022,25
101,2016-04-11,20,29,0.0,1018,26
102,2016-04-12,21,8,0.0,1019,25
103,2016-04-13,18,18,0.0,1018,26
104,2016-04-14,19,17,0.0,1017,24
105,2016-04-15,17,21,0.0,1019,23
106,2016-04-16,18,15,0.0,1021,24
107,2016-04-17,18,15,0.0,1019,25
108,2016-04-18,19,17,0.0,1017,26
109,2016-04-19,20,13,0.0,1017,26
110,2016-04-20,18,11,0.0,1018,25
111,2016-04-21,21,7,0.0,1016,28
112,2016-04-22,20,10,0.0,1016,26
113,2016-04-23,22,12,0.0,1018,26
114,2016-04-24,22,15,0.0,1016,27
115,2016-04-25,21,9,0.0,1015,28
116,2016-04-26,22,18,0.0,1013,29
117,2016-04-27,23,12,0.0,1011,30
118,2016-04-28,24,13,0.0,1014,29
119,2016-04-29,24,25,0.0,1014,32
120,2016-04-30,24,28,0.0,1011,31
121,2016-05-01,24,10,0.0,1015,28
122,2016-05-02,23,12,0.0,1015,30
123,2016-05-03,24,5,0.0,1014,26
124,2016-05-04,21,20,0.0,1014,24
125,2016-05-05,21,18,0.0,1014,25
126,2016-05-06,20,16,0.0,1018,24
127,2016-05-07,19,5,0.0,1019,27
128,2016-05-08,19,13,0.0,1018,26
129,2016-05-09,21,27,0.0,1016,27
130,2016-05-10,22,21,0.0,1018,30
131,2016-05-11,23,12,0.0,1020,30
132,2016-05-12,23,3,0.0,1020,32
133,2016-05-13,24,9,0.0,1019,31
134,2016-05-14,24,12,0.0,1018,27
135,2016-05-15,24,13,0.0,1019,26
136,2016-05-16,23,25,0.0,1017,28
137,2016-05-17,24,20,0.0,1013,29
138,2016-05-18,23,11,0.0,1015,28
139,2016-05-19,22,13,0.0,1017,31
140,2016-05-20,23,14,0.0,1016,32
141,2016-05-21,24,10,0.0,1016,32
142,2016-05-22,25,10,0.0,1016,28
143,2016-05-23,24,9,0.0,1016,28
144,2016-05-24,23,12,0.0,1019,31
145,2016-05-25,24,14,0.0,1021,33
146,2016-05-26,25,17,0.0,1018,28
147,2016-05-27,26,24,0.0,1015,30
148,2016-05-28,27,13,0.0,1017,31
149,2016-05-29,24,6,0.0,1020,32
150,2016-05-30,26,1,0.0,1017,37
151,2016-05-31,25,10,0.0,1016,33
152,2016-06-01,25,12,0.0,1016,31
153,2016-06-02,26,21,0.0,1016,33
154,2016-06-03,26,21,0.0,1015,33
155,2016-06-04,25,10,0.0,1013,33
156,2016-06-05,25,7,0.0,1011,32
