,Dates,Temperature,Wind Speed,Precipitation,Pressure,Heat Index
0,2016-01-01,-3,15,0.0,1028,3
1,2016-01-02,-4,14,0.0,1023,2
2,2016-01-03,-5,6,0.7,1015,-0
3,2016-01-04,2,11,1.1,1018,7
4,2016-01-05,1,8,0.0,1002,6
5,2016-01-06,2,5,0.0,1003,8
6,2016-01-07,1,2,0.0,1014,8
7,2016-01-08,-1,4,0.0,1018,9
8,2016-01-09,1,5,0.1,1021,6
9,2016-01-10,0,7,0.0,1024,11
10,2016-01-11,1,7,2.2,1023,6
11,2016-01-12,5,12,8.1,1013,6
12,2016-01-13,8,8,3.6,1009,6
13,2016-01-14,4,4,0.1,1011,8
14,2016-01-15,4,7,0.0,1016,9
15,2016-01-16,5,17,1.3,1011,10
16,2016-01-17,6,3,3.6,1009,8
17,2016-01-18,4,7,0.0,1016,11
18,2016-01-19,5,3,3.4,1003,6
19,2016-01-20,6,8,0.0,1021,9
20,2016-01-21,7,4,0.5,1012,13
21,2016-01-22,9,5,0.0,1013,13
22,2016-01-23,7,5,1.9,1009,8
23,2016-01-24,5,6,0.2,1019,9
24,2016-01-25,4,1,0.0,1023,16
25,2016-01-26,6,4,0.4,1026,10
26,2016-01-27,8,3,0.0,1022,14
27,2016-01-28,10,13,0.2,1016,11
28,2016-01-29,7,17,2.0,1010,8
29,2016-01-30,4,8,0.8,1016,7
30,2016-01-31,0,4,0.0,1018,6
31,2016-02-01,1,8,0.0,1023,6
32,2016-02-02,2,5,0.0,1022,9
33,2016-02-03,2,7,2.0,1019,6
34,2016-02-04,6,13,0.0,1029,9
35,2016-02-05,5,6,0.0,1023,13
36,2016-02-06,5,4,0.0,1030,11
37,2016-02-07,5,4,0.0,1032,15
38,2016-02-08,7,8,0.0,1028,17
39,2016-02-09,7,4,0.0,1021,24
40,2016-02-10,6,6,0.1,1024,14
41,2016-02-11,9,4,1.2,1020,14
42,2016-02-12,9,7,1.4,1021,12
43,2016-02-13,6,10,0.6,1025,9
44,2016-02-14,8,11,4.0,1023,11
45,2016-02-15,11,12,0.0,1020,12
46,2016-02-16,9,2,0.0,1015,13
47,2016-02-17,8,4,1.5,993,14
48,2016-02-18,6,8,3.7,995,7
49,2016-02-19,7,26,1.0,1007,8
50,2016-02-20,4,5,0.0,1027,10
51,2016-02-21,2,6,4.3,1025,7
52,2016-02-22,3,3,0.3,1030,11
53,2016-02-23,1,12,0.0,1019,13
54,2016-02-24,6,2,0.0,1022,15
55,2016-02-25,5,4,0.0,1021,17
56,2016-02-26,6,6,0.1,1014,15
57,2016-02-27,10,8,0.4,1020,12
58,2016-02-28,7,20,2.0,1018,10
59,2016-02-29,5,4,0.0,1022,11
60,2016-03-01,7,16,4.8,1007,10
61,2016-03-02,7,9,0.0,1012,16
62,2016-03-03,10,14,0.8,1016,14
63,2016-03-04,6,5,0.0,1010,17
64,2016-03-05,10,8,0.0,997,18
65,2016-03-06,9,17,1.1,1003,11
66,2016-03-07,6,7,1.1,1013,10
67,2016-03-08,3,6,1.5,1013,7
68,2016-03-09,7,10,4.8,1005,8
69,2016-03-10,11,17,4.0,1011,10
70,2016-03-11,5,2,3.8,1002,9
71,2016-03-12,7,19,2.1,1007,8
72,2016-03-13,5,25,0.0,998,9
73,2016-03-14,4,16,2.5,1016,7
74,2016-03-15,4,5,2.9,1025,7
75,2016-03-16,5,4,0.0,1025,12
76,2016-03-17,1,12,0.0,1022,15
77,2016-03-18,5,12,0.0,1017,15
78,2016-03-19,7,4,0.0,1016,15
79,2016-03-20,9,4,1.7,1009,11
80,2016-03-21,6,13,1.8,1007,10
81,2016-03-22,5,9,1.0,1020,11
82,2016-03-23,5,12,0.1,1024,13
83,2016-03-24,8,15,0.0,1025,9
84,2016-03-25,5,3,0.0,1024,10
85,2016-03-26,3,2,0.0,1015,12
86,2016-03-27,8,12,2.1,1020,9
87,2016-03-28,1,1,0.0,1021,10
88,2016-03-29,0,8,0.0,1018,15
89,2016-03-30,4,5,0.0,1017,20
90,2016-03-31,5,3,0.0,1019,24
91,2016-04-01,6,3,0.0,1020,25
92,2016-04-02,7,3,0.0,1019,20
93,2016-04-03,6,10,0.0,1015,20
94,2016-04-04,9,12,1.7,1027,11
95,2016-04-05,5,3,0.0,1033,16
96,2016-04-06,5,6,0.0,1024,24
97,2016-04-07,10,6,0.0,1013,29
98,2016-04-08,12,6,0.0,1010,26
99,2016-04-09,8,4,0.0,1009,19
100,2016-04-10,10,4,0.1,1012,14
101,2016-04-11,5,5,0.1,1017,14
102,2016-04-12,9,8,0.1,1015,18
103,2016-04-13,5,14,0.4,1018,12
104,2016-04-14,4,12,0.5,1019,12
105,2016-04-15,3,6,0.4,1019,12
106,2016-04-16,4,10,0.5,1019,14
107,2016-04-17,4,9,0.7,1020,13
108,2016-04-18,4,7,0.2,1020,16
109,2016-04-19,5,10,0.3,1018,15
110,2016-04-20,8,7,0.0,1013,18
111,2016-04-21,9,3,0.0,1006,25
112,2016-04-22,11,10,0.1,1007,16
113,2016-04-23,7,10,0.3,1017,14
114,2016-04-24,9,6,2.4,1019,11
115,2016-04-25,2,6,0.0,1022,13
116,2016-04-26,-0,5,0.0,1017,16
117,2016-04-27,5,6,0.1,1015,13
118,2016-04-28,4,4,0.0,1018,17
119,2016-04-29,8,6,0.8,1020,11
120,2016-04-30,6,6,0.0,1025,18
121,2016-05-01,7,14,0.0,1016,25
122,2016-05-02,12,7,0.0,1014,27
123,2016-05-03,11,6,0.0,1016,25
124,2016-05-04,10,10,0.0,1014,18
125,2016-05-05,7,6,0.0,1013,19
126,2016-05-06,7,12,0.0,1014,26
127,2016-05-07,10,9,0.0,1011,28
128,2016-05-08,10,7,0.0,1014,19
129,2016-05-09,6,3,0.0,1018,19
130,2016-05-10,5,8,0.0,1021,24
