,Dates,Temperature,Wind Speed,Precipitation,Pressure,Heat Index
0,2016-01-01,9,4,0.0,1020,15
1,2016-01-02,11,19,0.0,1021,15
2,2016-01-03,13,17,0.0,1019,17
3,2016-01-04,12,8,0.0,1022,16
4,2016-01-05,11,9,0.0,1016,12
5,2016-01-06,12,14,0.0,1017,13
6,2016-01-07,10,10,0.0,1013,10
7,2016-01-08,8,1,0.0,1016,10
8,2016-01-09,8,7,0.0,1024,11
9,2016-01-10,9,3,0.0,1023,11
10,2016-01-11,8,8,0.0,1026,13
11,2016-01-12,10,14,0.0,1023,14
12,2016-01-13,10,4,0.0,1020,16
13,2016-01-14,9,3,0.0,1018,14
14,2016-01-15,9,12,0.0,1015,11
15,2016-01-16,9,4,0.0,1022,13
16,2016-01-17,11,4,0.0,1023,17
17,2016-01-18,12,10,0.0,1022,15
18,2016-01-19,12,7,0.0,1022,16
19,2016-01-20,13,6,0.0,1022,17
20,2016-01-21,13,9,0.0,1026,18
21,2016-01-22,14,13,0.0,1022,19
22,2016-01-23,14,7,0.0,1016,18
23,2016-01-24,12,8,0.0,1016,17
24,2016-01-25,11,4,0.0,1019,15
25,2016-01-26,12,6,0.0,1025,17
26,2016-01-27,12,10,0.0,1025,18
27,2016-01-28,13,5,0.0,1023,16
28,2016-01-29,13,5,0.0,1018,16
29,2016-01-30,14,10,0.0,1015,18
30,2016-01-31,16,9,0.0,1012,20
31,2016-02-01,10,24,0.0,1011,9
32,2016-02-02,6,10,0.0,1022,9
33,2016-02-03,6,6,0.0,1029,12
34,2016-02-04,9,9,0.0,1028,13
35,2016-02-05,11,3,0.0,1029,17
36,2016-02-06,13,18,0.0,1027,17
37,2016-02-07,15,4,0.0,1023,22
38,2016-02-08,18,18,0.0,1023,22
39,2016-02-09,19,17,0.0,1023,23
40,2016-02-10,19,13,0.0,1024,23
41,2016-02-11,18,9,0.0,1022,23
42,2016-02-12,19,10,0.0,1021,23
43,2016-02-13,18,6,0.0,1019,24
44,2016-02-14,18,6,0.0,1017,23
45,2016-02-15,19,4,0.0,1017,25
46,2016-02-16,20,8,0.0,1015,25
47,2016-02-17,20,11,0.0,1015,24
48,2016-02-18,20,9,0.0,1014,22
49,2016-02-19,20,8,0.0,1018,23
50,2016-02-20,19,3,0.0,1018,25
51,2016-02-21,19,4,0.0,1017,24
52,2016-02-22,18,3,0.0,1013,23
53,2016-02-23,17,13,0.0,1018,19
54,2016-02-24,16,17,0.0,1022,19
55,2016-02-25,18,9,0.0,1020,23
56,2016-02-26,20,11,0.0,1019,24
57,2016-02-27,21,8,0.0,1017,24
58,2016-02-28,19,7,0.0,1017,24
59,2016-02-29,20,7,0.0,1018,23
60,2016-03-01,21,7,0.0,1020,23
61,2016-03-02,21,8,0.0,1017,25
62,2016-03-03,22,8,0.0,1018,24
63,2016-03-04,22,8,0.0,1015,25
64,2016-03-05,21,3,0.0,1016,24
65,2016-03-06,21,3,0.0,1013,23
66,2016-03-07,16,2,0.0,1009,18
67,2016-03-08,14,9,0.0,1009,16
68,2016-03-09,17,3,0.0,1015,23
69,2016-03-10,19,5,0.0,1017,25
70,2016-03-11,21,10,0.0,1015,24
71,2016-03-12,17,9,0.0,1018,18
72,2016-03-13,16,5,0.0,1019,21
73,2016-03-14,18,5,0.0,1016,23
74,2016-03-15,20,1,0.0,1017,23
75,2016-03-16,21,7,0.0,1015,26
76,2016-03-17,21,8,0.0,1013,25
77,2016-03-18,21,4,0.0,1012,27
78,2016-03-19,22,4,0.0,1015,27
79,2016-03-20,23,11,0.0,1017,26
80,2016-03-21,23,7,0.0,1017,26
81,2016-03-22,21,18,0.0,1011,23
82,2016-03-23,17,25,0.0,1019,20
83,2016-03-24,17,4,0.0,1017,24
84,2016-03-25,19,4,0.0,1011,25
85,2016-03-26,21,4,0.0,1010,26
86,2016-03-27,21,12,0.0,1017,24
87,2016-03-28,21,19,0.0,1009,25
88,2016-03-29,17,13,0.0,1012,16
89,2016-03-30,13,5,0.0,1014,18
90,2016-03-31,15,8,0.0,1013,19
91,2016-04-01,17,1,0.0,1017,23
92,2016-04-02,20,9,0.0,1022,25
93,2016-04-03,22,9,0.0,1018,27
94,2016-04-04,23,4,0.0,1019,29
95,2016-04-05,24,6,0.0,1019,29
96,2016-04-06,26,10,0.0,1019,30
97,2016-04-07,26,8,0.0,1011,28
98,2016-04-08,22,13,0.0,1014,25
99,2016-04-09,21,12,0.0,1014,24
100,2016-04-10,18,28,0.0,1012,20
101,2016-04-11,18,4,0.0,1018,21
102,2016-04-12,21,9,0.0,1017,24
103,2016-04-13,21,7,0.0,1014,25
104,2016-04-14,21,12,0.0,1014,24
105,2016-04-15,21,7,0.0,1014,24
106,2016-04-16,21,7,0.0,1013,24
107,2016-04-17,21,8,0.0,1015,25
108,2016-04-18,22,9,0.0,1015,26
109,2016-04-19,23,7,0.0,1014,27
110,2016-04-20,23,6,0.0,1014,28
111,2016-04-21,26,5,0.0,1012,29
112,2016-04-22,27,1,0.0,1013,32
113,2016-04-23,25,13,0.0,1012,26
114,2016-04-24,23,5,0.0,1011,27
115,2016-04-25,22,34,0.0,1008,23
