,Dates,Temperature,Wind Speed,Precipitation,Pressure,Heat Index
0,2016-01-01,12,6,0.0,1019,18
1,2016-01-02,12,10,0.0,1018,17
2,2016-01-03,13,20,0.0,1014,15
3,2016-01-04,14,8,0.0,1020,19
4,2016-01-05,13,25,7.6,1010,14
5,2016-01-06,13,33,0.4,1015,15
6,2016-01-07,12,21,2.9,1012,13
7,2016-01-08,11,8,0.0,1017,15
8,2016-01-09,12,9,0.0,1022,15
9,2016-01-10,13,6,0.0,1021,16
10,2016-01-11,13,8,0.0,1024,16
11,2016-01-12,13,8,0.0,1021,20
12,2016-01-13,12,12,0.0,1020,16
13,2016-01-14,12,7,0.0,1018,17
14,2016-01-15,12,8,0.1,1018,15
15,2016-01-16,13,13,0.0,1020,17
16,2016-01-17,14,14,0.0,1020,20
17,2016-01-18,14,10,0.0,1021,17
18,2016-01-19,14,15,0.0,1021,18
19,2016-01-20,14,10,0.0,1021,19
20,2016-01-21,15,6,0.0,1022,21
21,2016-01-22,14,10,0.0,1019,20
22,2016-01-23,14,9,0.0,1016,18
23,2016-01-24,13,8,0.0,1018,19
24,2016-01-25,13,9,0.0,1019,19
25,2016-01-26,15,5,0.0,1023,23
26,2016-01-27,15,10,0.0,1024,21
27,2016-01-28,15,15,0.0,1020,19
28,2016-01-29,15,11,0.0,1016,20
29,2016-01-30,14,13,0.0,1015,17
30,2016-01-31,13,41,1.6,1007,15
31,2016-02-01,11,36,0.0,1016,13
32,2016-02-02,10,12,0.0,1022,14
33,2016-02-03,12,3,0.0,1026,20
34,2016-02-04,13,9,0.0,1024,20
35,2016-02-05,16,9,0.0,1025,23
36,2016-02-06,16,8,0.0,1023,24
37,2016-02-07,18,2,0.0,1021,26
38,2016-02-08,19,8,0.0,1020,26
39,2016-02-09,20,5,0.0,1020,28
40,2016-02-10,19,9,0.0,1020,25
41,2016-02-11,19,11,0.0,1019,25
42,2016-02-12,18,12,0.0,1018,25
43,2016-02-13,16,13,0.0,1016,24
44,2016-02-14,17,11,0.0,1016,25
45,2016-02-15,20,9,0.0,1015,27
46,2016-02-16,20,10,0.0,1012,27
47,2016-02-17,17,22,0.0,1010,24
48,2016-02-18,15,11,0.0,1014,17
49,2016-02-19,14,18,0.0,1018,18
50,2016-02-20,14,11,0.0,1017,20
51,2016-02-21,15,15,0.0,1017,20
52,2016-02-22,16,15,0.0,1014,21
53,2016-02-23,18,5,0.0,1016,24
54,2016-02-24,18,6,0.0,1018,25
55,2016-02-25,18,14,0.0,1018,24
56,2016-02-26,17,15,0.0,1018,24
57,2016-02-27,16,12,0.0,1015,24
58,2016-02-28,16,13,0.0,1015,21
59,2016-02-29,16,12,0.0,1016,25
60,2016-03-01,16,10,0.0,1017,25
61,2016-03-02,16,12,0.0,1017,21
62,2016-03-03,15,12,0.0,1016,20
63,2016-03-04,15,10,0.0,1015,19
64,2016-03-05,15,14,0.0,1015,19
65,2016-03-06,14,23,0.8,1016,16
66,2016-03-07,12,36,2.8,1010,13
67,2016-03-08,13,18,0.0,1013,18
68,2016-03-09,15,13,0.0,1015,20
69,2016-03-10,16,14,0.0,1016,24
70,2016-03-11,15,20,0.0,1014,18
71,2016-03-12,13,14,0.0,1020,15
72,2016-03-13,14,18,0.0,1019,17
73,2016-03-14,15,17,0.1,1018,17
74,2016-03-15,16,14,0.0,1015,21
75,2016-03-16,18,12,0.0,1013,25
76,2016-03-17,17,14,0.0,1011,24
77,2016-03-18,15,18,0.0,1013,20
78,2016-03-19,15,13,0.0,1015,19
79,2016-03-20,15,13,0.0,1016,20
80,2016-03-21,15,17,0.0,1017,19
81,2016-03-22,15,23,0.0,1016,17
82,2016-03-23,16,13,0.0,1020,23
83,2016-03-24,17,23,0.0,1017,24
84,2016-03-25,17,17,0.0,1010,24
85,2016-03-26,16,14,0.0,1011,20
86,2016-03-27,15,15,0.0,1016,19
87,2016-03-28,13,23,0.0,1012,14
88,2016-03-29,13,23,0.0,1012,16
89,2016-03-30,12,17,0.1,1014,15
90,2016-03-31,13,22,0.0,1016,18
91,2016-04-01,14,16,0.0,1018,18
92,2016-04-02,16,18,0.0,1019,21
93,2016-04-03,17,21,0.0,1016,24
94,2016-04-04,17,18,0.0,1017,24
95,2016-04-05,18,13,0.0,1017,25
96,2016-04-06,18,15,0.0,1017,25
97,2016-04-07,17,8,1.2,1013,18
98,2016-04-08,15,12,0.5,1013,17
99,2016-04-09,16,24,0.0,1012,19
100,2016-04-10,16,20,0.0,1012,19
101,2016-04-11,16,17,0.1,1017,19
102,2016-04-12,17,14,0.0,1015,22
103,2016-04-13,15,21,0.0,1014,19
104,2016-04-14,15,20,0.0,1014,19
105,2016-04-15,14,19,0.0,1014,18
106,2016-04-16,14,20,0.0,1014,18
107,2016-04-17,15,20,0.0,1015,21
108,2016-04-18,16,18,0.0,1014,20
109,2016-04-19,15,20,0.0,1015,19
110,2016-04-20,17,12,0.0,1013,21
111,2016-04-21,18,18,0.0,1011,24
112,2016-04-22,17,22,0.0,1013,20
