,Dates,Temperature,Wind Speed,Precipitation,Pressure,Heat Index
0,2016-01-01,18,5,0.1,1018,25
1,2016-01-02,18,5,0.0,1018,26
2,2016-01-03,19,6,0.0,1016,26
3,2016-01-04,15,6,0.0,1015,24
4,2016-01-05,19,5,0.0,1016,26
5,2016-01-06,18,4,0.1,1016,26
6,2016-01-07,18,5,0.0,1017,26
7,2016-01-08,18,6,0.0,1017,26
8,2016-01-09,18,5,0.0,1015,26
9,2016-01-10,18,5,0.0,1015,26
10,2016-01-11,18,6,0.0,1016,25
11,2016-01-12,18,5,0.0,1015,25
12,2016-01-13,18,4,0.0,1016,26
13,2016-01-14,18,5,0.0,1015,26
14,2016-01-15,18,6,0.0,1015,26
15,2016-01-16,19,4,0.0,1015,26
16,2016-01-17,18,4,0.0,1014,26
17,2016-01-18,18,4,0.0,1015,26
18,2016-01-19,19,3,0.0,1014,26
19,2016-01-20,18,6,0.0,1014,26
20,2016-01-21,19,6,0.0,1014,26
21,2016-01-22,19,4,0.1,1014,26
22,2016-01-23,19,4,0.0,1015,27
23,2016-01-24,19,4,0.0,1017,26
24,2016-01-25,19,4,0.0,1016,27
25,2016-01-26,19,5,0.0,1016,26
26,2016-01-27,18,7,0.0,1017,25
27,2016-01-28,18,5,0.0,1016,26
28,2016-01-29,18,7,0.0,1016,25
29,2016-01-30,18,4,0.0,1016,25
30,2016-01-31,18,2,0.0,1016,25
31,2016-02-01,19,4,0.0,1016,26
32,2016-02-02,19,5,0.0,1016,26
33,2016-02-03,20,5,0.0,1015,26
34,2016-02-04,20,4,0.0,1015,26
35,2016-02-05,20,5,0.0,1016,26
36,2016-02-06,20,3,0.0,1015,27
37,2016-02-07,19,5,0.0,1015,27
38,2016-02-08,20,5,0.0,1016,28
39,2016-02-09,20,4,0.0,1015,27
40,2016-02-10,20,8,0.0,1015,25
41,2016-02-11,20,5,0.0,1014,27
42,2016-02-12,20,5,0.0,1014,27
43,2016-02-13,21,3,0.0,1014,28
44,2016-02-14,21,5,0.0,1014,27
45,2016-02-15,20,4,0.0,1014,28
46,2016-02-16,21,5,0.0,1014,29
47,2016-02-17,20,6,0.0,1014,27
48,2016-02-18,21,4,0.0,1014,27
49,2016-02-19,21,1,0.0,1014,29
50,2016-02-20,21,5,0.0,1014,28
51,2016-02-21,21,3,0.0,1013,30
52,2016-02-22,21,5,0.0,1013,29
53,2016-02-23,21,7,0.0,1014,27
54,2016-02-24,21,6,0.1,1014,27
55,2016-02-25,21,4,0.3,1014,28
56,2016-02-26,21,4,0.1,1014,28
57,2016-02-27,21,6,0.0,1014,27
58,2016-02-28,20,8,0.0,1015,26
59,2016-02-29,21,6,0.0,1016,28
60,2016-03-01,21,4,0.0,1014,29
61,2016-03-02,22,4,0.0,1013,30
62,2016-03-03,23,1,0.0,1012,32
63,2016-03-04,23,4,0.0,1013,31
64,2016-03-05,22,5,0.0,1013,29
65,2016-03-06,22,4,0.2,1012,30
66,2016-03-07,22,3,0.0,1013,31
67,2016-03-08,22,3,0.0,1012,31
68,2016-03-09,22,5,0.0,1012,29
69,2016-03-10,22,5,0.1,1013,29
70,2016-03-11,22,7,0.0,1013,29
71,2016-03-12,22,8,0.0,1014,28
72,2016-03-13,23,5,0.0,1014,31
73,2016-03-14,22,6,0.0,1015,29
74,2016-03-15,22,5,0.0,1015,29
75,2016-03-16,22,6,0.0,1015,28
76,2016-03-17,21,6,0.0,1015,28
77,2016-03-18,20,6,0.1,1016,27
78,2016-03-19,20,3,0.5,1015,26
79,2016-03-20,21,7,0.0,1016,27
80,2016-03-21,21,6,0.1,1015,27
81,2016-03-22,21,2,0.0,1014,29
82,2016-03-23,22,3,0.0,1013,31
83,2016-03-24,21,8,0.0,1013,27
84,2016-03-25,21,6,0.0,1015,28
85,2016-03-26,22,1,0.0,1015,30
86,2016-03-27,23,7,0.0,1015,29
87,2016-03-28,23,4,0.0,1013,31
88,2016-03-29,23,4,0.3,1013,30
89,2016-03-30,23,5,0.1,1014,29
90,2016-03-31,22,5,0.1,1013,28
91,2016-04-01,21,7,1.4,1012,26
92,2016-04-02,19,8,0.5,1014,25
93,2016-04-03,20,3,0.1,1015,28
94,2016-04-04,21,3,0.0,1015,30
95,2016-04-05,22,4,0.0,1013,30
96,2016-04-06,22,3,0.0,1012,31
97,2016-04-07,22,5,0.0,1012,29
98,2016-04-08,22,6,0.0,1013,29
99,2016-04-09,22,4,0.0,1013,30
100,2016-04-10,22,3,0.0,1013,29
101,2016-04-11,22,2,0.0,1014,30
102,2016-04-12,23,8,0.0,1013,27
103,2016-04-13,20,5,0.1,1013,27
104,2016-04-14,20,5,0.0,1012,27
105,2016-04-15,20,6,0.1,1012,27
106,2016-04-16,20,6,0.0,1013,27
107,2016-04-17,20,5,0.0,1013,27
108,2016-04-18,20,6,0.1,1013,27
109,2016-04-19,20,6,0.0,1013,27
110,2016-04-20,20,6,0.2,1012,27
111,2016-04-21,21,4,0.1,1014,28
112,2016-04-22,21,4,0.2,1014,28
113,2016-04-23,22,5,0.8,1013,28
114,2016-04-24,22,5,0.0,1011,29
115,2016-04-25,22,1,0.0,1011,32
116,2016-04-26,22,2,0.0,1012,30
117,2016-04-27,22,2,0.0,1013,29
118,2016-04-28,21,0,0.3,1012,30
119,2016-04-29,20,1,1.7,1012,28
120,2016-04-30,19,6,0.0,1014,26
121,2016-05-01,19,2,1.5,1013,26
122,2016-05-02,19,4,1.5,1014,26
123,2016-05-03,19,6,0.2,1015,25
124,2016-05-04,19,2,0.0,1014,27
125,2016-05-05,19,8,1.3,1014,25
126,2016-05-06,18,4,0.5,1017,24
127,2016-05-07,18,2,1.8,1018,20
128,2016-05-08,19,4,1.0,1016,26
129,2016-05-09,20,2,0.0,1015,27
130,2016-05-10,17,3,4.5,1019,18
131,2016-05-11,17,3,0.7,1018,25
132,2016-05-12,18,5,0.3,1015,25
133,2016-05-13,19,3,0.2,1015,26
134,2016-05-14,20,3,0.0,1014,27
135,2016-05-15,20,3,0.1,1016,27
136,2016-05-16,20,3,0.0,1015,27
137,2016-05-17,19,5,1.3,1016,25
138,2016-05-18,21,2,0.4,1015,27
139,2016-05-19,20,5,0.0,1013,27
140,2016-05-20,20,5,0.0,1013,27
141,2016-05-21,20,6,0.2,1013,27
142,2016-05-22,20,2,0.1,1015,28
143,2016-05-23,20,2,0.0,1016,29
144,2016-05-24,20,1,0.7,1016,28
145,2016-05-25,20,2,0.5,1015,27
146,2016-05-26,17,4,0.2,1017,20
147,2016-05-27,14,1,0.3,1018,14
148,2016-05-28,16,4,0.0,1017,16
149,2016-05-29,20,3,0.1,1016,27
150,2016-05-30,18,3,0.0,1015,20
151,2016-05-31,19,2,0.0,1015,26
152,2016-06-01,19,4,0.7,1013,26
153,2016-06-02,20,3,0.0,1015,27
154,2016-06-03,21,1,0.0,1014,29
155,2016-06-04,20,1,0.2,1012,29
156,2016-06-05,20,1,0.5,1014,27
157,2016-06-06,20,1,0.1,1015,28
158,2016-06-07,20,1,0.1,1015,27
159,2016-06-08,20,1,0.1,1015,27
160,2016-06-09,19,3,0.3,1015,27
161,2016-06-10,18,4,0.0,1017,24
162,2016-06-11,20,3,0.1,1015,28
163,2016-06-12,20,1,0.0,1015,28
164,2016-06-13,19,3,0.8,1014,27
165,2016-06-14,18,4,0.1,1016,26
166,2016-06-15,17,3,0.0,1019,24
167,2016-06-16,18,4,0.7,1014,25
168,2016-06-17,17,6,1.1,1015,25
169,2016-06-18,18,4,0.8,1015,26
170,2016-06-19,18,4,0.5,1017,25
171,2016-06-20,18,3,0.6,1016,25
172,2016-06-21,17,3,0.3,1015,25
173,2016-06-22,17,4,0.2,1016,26
174,2016-06-23,18,4,0.9,1017,26
175,2016-06-24,18,3,0.2,1015,25
176,2016-06-25,18,4,0.2,1014,26
177,2016-06-26,18,5,0.4,1016,26
178,2016-06-27,18,5,0.5,1015,26
179,2016-06-28,17,4,0.5,1015,26
180,2016-06-29,18,5,0.5,1016,26
181,2016-06-30,18,3,0.2,1016,26
182,2016-07-01,18,4,0.6,1016,26
183,2016-07-02,18,6,0.4,1016,26
184,2016-07-03,18,4,0.6,1016,26
185,2016-07-04,17,7,0.6,1016,25
186,2016-07-05,17,5,0.6,1016,24
187,2016-07-06,17,4,1.2,1016,25
188,2016-07-07,17,4,1.0,1017,24
189,2016-07-08,17,3,0.6,1016,25
190,2016-07-09,18,4,0.1,1015,26
191,2016-07-10,17,4,0.6,1016,25
192,2016-07-11,16,0,1.4,1016,21
193,2016-07-12,17,4,0.5,1016,25
194,2016-07-13,17,4,0.2,1015,25
195,2016-07-14,16,5,0.4,1014,25
196,2016-07-15,17,4,0.1,1014,26
197,2016-07-16,17,3,0.2,1014,26
198,2016-07-17,18,4,0.0,1015,26
199,2016-07-18,15,5,2.4,1016,19
200,2016-07-19,16,5,0.8,1016,21
201,2016-07-20,16,6,0.9,1015,20
202,2016-07-21,16,6,1.5,1016,20
203,2016-07-22,16,5,1.1,1015,21
204,2016-07-23,16,5,1.3,1015,21
205,2016-07-24,16,5,1.6,1015,20
206,2016-07-25,15,4,2.7,1016,19
207,2016-07-26,15,5,1.3,1016,19
208,2016-07-27,16,5,0.9,1015,21
209,2016-07-28,16,6,1.7,1016,19
210,2016-07-29,16,7,0.3,1015,21
211,2016-07-30,15,5,0.4,1016,18
212,2016-07-31,16,6,0.1,1014,21
213,2016-08-01,16,8,0.6,1015,24
214,2016-08-02,16,7,0.4,1016,25
215,2016-08-03,16,8,0.4,1015,21
216,2016-08-04,16,6,0.4,1014,25
217,2016-08-05,17,4,0.4,1015,25
218,2016-08-06,15,5,1.0,1018,20
219,2016-08-07,16,4,0.1,1014,26
220,2016-08-08,16,6,0.2,1015,25
221,2016-08-09,16,5,0.6,1016,25
222,2016-08-10,15,5,0.9,1018,19
223,2016-08-11,16,4,0.6,1016,25
224,2016-08-12,16,4,0.2,1015,25
225,2016-08-13,17,3,0.2,1014,26
226,2016-08-14,17,2,0.1,1015,26
227,2016-08-15,17,4,0.2,1015,26
228,2016-08-16,17,4,0.0,1014,27
229,2016-08-17,17,7,0.8,1016,25
230,2016-08-18,17,4,0.7,1015,25
231,2016-08-19,16,5,1.0,1015,25
232,2016-08-20,16,6,0.3,1016,24
233,2016-08-21,16,4,0.3,1017,25
234,2016-08-22,17,3,0.2,1015,26
235,2016-08-23,17,3,0.0,1015,26
236,2016-08-24,17,4,0.1,1014,26
237,2016-08-25,17,4,0.4,1015,25
238,2016-08-26,16,3,0.2,1015,26
239,2016-08-27,16,3,0.1,1016,26
240,2016-08-28,16,3,0.1,1015,26
241,2016-08-29,16,5,0.4,1015,25
242,2016-08-30,15,4,0.0,1015,17
243,2016-08-31,20,3,0.4,1016,25
244,2016-09-01,16,4,0.3,1015,26
245,2016-09-02,16,4,0.9,1015,25
246,2016-09-03,16,3,0.4,1015,25
247,2016-09-04,16,5,0.0,1016,26
248,2016-09-05,17,5,0.0,1017,27
249,2016-09-06,17,2,0.0,1016,28
250,2016-09-07,18,3,0.0,1015,27
251,2016-09-08,16,4,0.8,1017,25
252,2016-09-09,17,3,0.3,1016,26
253,2016-09-10,16,3,0.2,1017,26
254,2016-09-11,16,3,0.3,1016,26
255,2016-09-12,16,3,0.2,1015,26
256,2016-09-13,17,3,0.3,1015,26
257,2016-09-14,16,3,0.2,1014,26
258,2016-09-15,17,4,0.0,1013,26
259,2016-09-16,16,3,0.1,1014,26
260,2016-09-17,16,5,0.5,1016,25
261,2016-09-18,16,2,1.0,1017,25
262,2016-09-19,16,3,0.5,1015,26
263,2016-09-20,16,3,0.1,1014,26
264,2016-09-21,16,2,0.2,1015,26
265,2016-09-22,17,4,0.0,1015,26
266,2016-09-23,17,2,0.1,1015,27
267,2016-09-24,17,1,0.4,1014,27
268,2016-09-25,16,4,0.5,1014,26
269,2016-09-26,17,4,0.2,1013,26
270,2016-09-27,17,4,0.3,1015,26
271,2016-09-28,17,4,0.3,1016,26
272,2016-09-29,17,3,0.5,1015,26
273,2016-09-30,17,3,0.6,1015,25
274,2016-10-01,17,3,0.1,1012,26
275,2016-10-02,17,7,0.1,1012,25
276,2016-10-03,16,6,0.0,1014,26
277,2016-10-04,16,5,0.0,1014,26
278,2016-10-05,16,5,0.0,1013,26
279,2016-10-06,17,5,0.0,1013,26
280,2016-10-07,17,5,0.0,1014,26
281,2016-10-08,17,6,0.0,1014,26
282,2016-10-09,17,3,0.0,1014,26
283,2016-10-10,17,5,0.2,1015,26
284,2016-10-11,17,5,0.0,1015,26
285,2016-10-12,16,4,0.7,1015,25
286,2016-10-13,17,3,0.5,1015,25
287,2016-10-14,17,6,0.0,1015,25
288,2016-10-15,16,4,0.0,1014,26
