,Fire Intensity,Dates
0,74.6727545116982,2020-10-01
1,76.78277476256164,2020-10-02
2,75.72511395183346,2020-10-03
3,72.08296260777746,2020-10-04
4,69.53539037816682,2020-10-05
5,79.02999566281505,2020-10-06
6,80.56301434630086,2020-10-07
7,73.66603582359176,2020-10-08
8,66.68794022567852,2020-10-09
9,62.84812216703858,2020-10-10
10,72.73014576355502,2020-10-11
11,82.59303587449068,2020-10-12
12,88.56579127652219,2020-10-13
13,76.33003345485844,2020-10-14
14,82.0297059938137,2020-10-15
15,82.65133923395354,2020-10-16
16,78.13819929617205,2020-10-17
17,82.50464880684484,2020-10-18
18,83.57326504226495,2020-10-19
19,78.77249292497794,2020-10-20
20,106.59454965244649,2020-10-21
21,95.60476093305033,2020-10-22
22,86.9267685364336,2020-10-23
23,87.07062298926547,2020-10-24
24,80.51732240534818,2020-10-25
25,81.84538949190892,2020-10-26
26,80.53874615098641,2020-10-27
27,82.072008288142,2020-10-28
28,85.1884409361017,2020-10-29
29,83.68880840260277,2020-10-30
30,84.36605317295908,2020-10-31
31,86.47085838024549,2020-11-01
32,90.03585219329261,2020-11-02
33,85.682123542652,2020-11-03
34,82.1382201798063,2020-11-04
35,79.59268242898014,2020-11-05
36,76.31662292379417,2020-11-06
37,75.68157361683285,2020-11-07
38,78.36012014614681,2020-11-08
39,74.05219606135165,2020-11-09
40,76.31066510480872,2020-11-10
41,80.31057865500111,2020-11-11
42,79.38234491561974,2020-11-12
43,84.93481409846919,2020-11-13
44,86.78088633253395,2020-11-14
