,Fire Intensity,Dates
0,56.87500790827016,2020-10-01
1,23.059613238872316,2020-10-02
2,58.30169361003527,2020-10-03
3,41.389730073822875,2020-10-04
4,37.95285943016097,2020-10-05
5,53.47831435857006,2020-10-06
6,18.261467039314766,2020-10-07
7,46.624333927421276,2020-10-08
8,43.2554033580152,2020-10-09
9,41.26818748908022,2020-10-10
10,61.13798501035535,2020-10-11
11,42.59231440655253,2020-10-12
12,46.01803965793374,2020-10-13
13,112.53223520646475,2020-10-14
14,40.116911850971064,2020-10-15
15,38.56394270842742,2020-10-16
16,50.24276839946356,2020-10-17
17,48.96310230009749,2020-10-18
18,36.50630773216602,2020-10-19
19,127.62985157488447,2020-10-20
20,87.86890535466932,2020-10-21
21,34.054283068010534,2020-10-22
22,62.65147034200754,2020-10-23
23,125.82852741138959,2020-10-24
24,57.93316144544269,2020-10-25
25,28.87599863013969,2020-10-26
26,67.46242063125396,2020-10-27
27,40.323670146264874,2020-10-28
28,89.21119152132451,2020-10-29
29,33.40946483591637,2020-10-30
30,63.73302987228726,2020-10-31
31,23.339614634574616,2020-11-01
32,18.54274884514706,2020-11-02
33,30.705463652374362,2020-11-03
34,53.20151537991296,2020-11-04
35,55.38622218822388,2020-11-05
36,24.93511311348857,2020-11-06
37,108.07860582631315,2020-11-07
38,126.47495838350756,2020-11-08
39,46.48285962392447,2020-11-09
40,58.84863842994173,2020-11-10
