,Washington Region Fires,Dates
0,86.47259943324514,2020-10-01
1,82.55812182817829,2020-10-02
2,78.89230807373178,2020-10-03
3,77.63302610482691,2020-10-04
4,87.3197621090589,2020-10-05
5,91.14282856405822,2020-10-06
6,83.4901085686451,2020-10-07
7,75.30088613300893,2020-10-08
8,60.38301912319474,2020-10-09
9,54.64601450271624,2020-10-10
10,54.182286234359026,2020-10-11
11,64.44319855252655,2020-10-12
12,62.302595104793,2020-10-13
13,62.060561469512265,2020-10-14
14,55.02852733837017,2020-10-15
15,52.740275127455675,2020-10-16
16,51.75954931476531,2020-10-17
17,68.26688730899048,2020-10-18
18,68.07849468875685,2020-10-19
19,59.6506919517509,2020-10-20
20,58.42310707175312,2020-10-21
21,59.505334909959345,2020-10-22
22,55.992325663473935,2020-10-23
23,61.12488361546599,2020-10-24
24,50.39461211672847,2020-10-25
25,54.719290992115134,2020-10-26
26,58.13128350104557,2020-10-27
27,58.292548431376304,2020-10-28
28,79.36452561221995,2020-10-29
29,81.9483146678848,2020-10-30
30,77.84421484600466,2020-10-31
31,90.24228515727708,2020-11-01
32,81.46876314637757,2020-11-02
33,83.78509621958858,2020-11-03
34,85.54295791604011,2020-11-04
35,77.73893919899626,2020-11-05
36,80.11487460909132,2020-11-06
37,80.48829447757765,2020-11-07
38,72.9853650186077,2020-11-08
39,72.88456526184694,2020-11-09
40,80.9461385488558,2020-11-10
41,78.13035168615733,2020-11-11
42,81.71719504321311,2020-11-12
43,61.91761711170659,2020-11-13
44,68.58677519080356,2020-11-14
45,67.3891771698353,2020-11-15
46,64.83594579316787,2020-11-16
47,67.0798675356935,2020-11-17
48,67.05169905361964,2020-11-18
49,51.20618023609876,2020-11-19
50,51.63822472641999,2020-11-20
51,61.10451698324363,2020-11-21
52,63.706985947601765,2020-11-22
