,Fire Intensity,Dates
0,5.497999670787806,2020-10-01
1,65.8147171388353,2020-10-02
2,25.258619306244327,2020-10-03
3,35.31492959396746,2020-10-04
4,35.57770619806104,2020-10-05
5,56.479557681705785,2020-10-06
6,139.52656783131613,2020-10-07
7,155.77643191249092,2020-10-08
8,161.51733055041746,2020-10-09
9,148.4684057743873,2020-10-10
10,181.07400434217806,2020-10-11
11,171.7637489608345,2020-10-12
12,187.54706972840353,2020-10-13
13,125.49163154991777,2020-10-14
14,186.20836531831122,2020-10-15
15,182.16930326028086,2020-10-16
16,225.26002317102245,2020-10-17
17,267.9386062915071,2020-10-18
18,179.462273909996,2020-10-19
19,98.45605753512598,2020-10-20
20,84.72939952517936,2020-10-21
21,221.849574980149,2020-10-22
22,184.4821035820184,2020-10-23
23,255.02090599517686,2020-10-24
24,280.3043519560388,2020-10-25
25,266.38638217083144,2020-10-26
26,250.1070251725556,2020-10-27
27,294.2362014246641,2020-10-28
28,257.9195122593075,2020-10-29
29,309.55679651557836,2020-10-30
30,267.9129553335892,2020-10-31
31,329.654199194431,2020-11-01
32,273.83618148273166,2020-11-02
33,293.69987618498186,2020-11-03
34,247.99638129483225,2020-11-04
35,258.91662209289353,2020-11-05
36,204.7502956028357,2020-11-06
37,193.2089086075278,2020-11-07
38,290.52132079925224,2020-11-08
39,218.0144993529869,2020-11-09
40,268.37439005288724,2020-11-10
41,276.1803119061585,2020-11-11
42,264.7001012641996,2020-11-12
43,254.44727469010684,2020-11-13
44,269.13612475193133,2020-11-14
45,248.74694808164122,2020-11-15
46,257.2383203390174,2020-11-16
47,103.42652641061926,2020-11-17
48,231.6334851146898,2020-11-18
49,208.69038145703763,2020-11-19
50,236.27498409814325,2020-11-20
51,239.67406632173333,2020-11-21
52,286.0648969444216,2020-11-22
53,276.48235319003004,2020-11-23
54,369.26607304424596,2020-11-24
55,293.5785939379129,2020-11-25
56,255.40663189611683,2020-11-26
57,132.520173343149,2020-11-27
58,139.08227551036737,2020-11-28
59,131.9970096188854,2020-11-29
60,135.71004474484454,2020-11-30
