,Fire Intensity,Dates
0,27.103788394023,2020-10-01
1,31.663921272025412,2020-10-02
2,35.97858797119808,2020-10-03
3,29.885571574837037,2020-10-04
4,30.41417565916712,2020-10-05
5,32.67650380783992,2020-10-06
6,30.1471357425759,2020-10-07
7,31.55225471873881,2020-10-08
8,28.943283231111543,2020-10-09
9,28.905722108565108,2020-10-10
10,28.386221665837404,2020-10-11
11,30.793404018798903,2020-10-12
12,33.71864233538029,2020-10-13
13,32.590402881019244,2020-10-14
14,35.44680015374947,2020-10-15
15,37.857012062765065,2020-10-16
16,34.178905056017236,2020-10-17
17,34.79706579627294,2020-10-18
18,26.275231548877326,2020-10-19
19,31.520321755612386,2020-10-20
20,31.528797058202265,2020-10-21
21,31.266542246094208,2020-10-22
22,32.335763930072574,2020-10-23
23,29.45398642900726,2020-10-24
24,28.32799914647948,2020-10-25
25,31.291431175682334,2020-10-26
26,32.51086225453358,2020-10-27
27,35.53010679151548,2020-10-28
28,29.52375514111824,2020-10-29
29,32.490366299804656,2020-10-30
30,33.049617046642105,2020-10-31
31,31.76428124036118,2020-11-01
32,34.49862452353646,2020-11-02
33,32.5658170124153,2020-11-03
34,33.334659413086115,2020-11-04
35,32.88090970978684,2020-11-05
36,32.22185479144153,2020-11-06
37,31.010186931678007,2020-11-07
38,31.12899766559003,2020-11-08
39,35.2766756642753,2020-11-09
40,35.5815879624111,2020-11-10
41,35.78120090637086,2020-11-11
42,35.098951401989815,2020-11-12
43,36.4795986266906,2020-11-13
44,31.489306035312644,2020-11-14
45,31.127667896311138,2020-11-15
46,32.26069669035658,2020-11-16
47,30.273708345957438,2020-11-17
48,35.23246533136587,2020-11-18
49,35.8735711056229,2020-11-19
50,34.17533275523562,2020-11-20
51,31.374742593256784,2020-11-21
52,34.74302378071337,2020-11-22
53,31.972234631728867,2020-11-23
54,33.568075520800974,2020-11-24
55,32.33117790481661,2020-11-25
56,31.368614415652107,2020-11-26
57,31.072318171352677,2020-11-27
58,29.902513173004866,2020-11-28
59,26.41957491209513,2020-11-29
60,34.35047200725591,2020-11-30
