,Fire Intensity,Dates
0,8.774986947455659,2020-10-01
1,47.55440612011785,2020-10-02
2,206.4097041386019,2020-10-03
3,17.14286176560654,2020-10-04
4,65.95235611037515,2020-10-05
5,86.93675418787359,2020-10-06
6,81.63324794078608,2020-10-07
7,339.3255702721599,2020-10-08
8,361.93824143785105,2020-10-09
9,433.0643658517711,2020-10-10
10,395.7739758237303,2020-10-11
11,194.55804964585286,2020-10-12
12,24.344783161277405,2020-10-13
13,14.123682504977069,2020-10-14
14,11.098729945905575,2020-10-15
15,259.8691522065226,2020-10-16
16,46.324072118552294,2020-10-17
17,22.837930737673332,2020-10-18
18,152.84148756446803,2020-10-19
19,2.784644163046437,2020-10-20
20,32.57037770846557,2020-10-21
21,122.11498812940044,2020-10-22
22,71.48564145565877,2020-10-23
23,65.99646130978817,2020-10-24
24,60.29414045458395,2020-10-25
25,65.95333297696016,2020-10-26
26,97.89272022802311,2020-10-27
27,220.58546158784816,2020-10-28
28,143.2071369984253,2020-10-29
29,119.79075920174,2020-10-30
30,131.8479469679421,2020-10-31
31,92.97303002000183,2020-11-01
32,192.89859687652392,2020-11-02
33,69.54827243806824,2020-11-03
34,13.011539855012984,2020-11-04
35,65.53911012335539,2020-11-05
36,50.65089760355886,2020-11-06
37,34.60237497825324,2020-11-07
38,27.647726433505227,2020-11-08
39,30.992289563290115,2020-11-09
40,68.50664058291454,2020-11-10
41,38.54346646887939,2020-11-11
42,261.7763640105443,2020-11-12
43,291.98427812416503,2020-11-13
44,26.788347995561367,2020-11-14
45,256.15015771517915,2020-11-15
46,353.1400438985386,2020-11-16
47,113.09369575369283,2020-11-17
48,86.13847324459414,2020-11-18
49,58.68976150217361,2020-11-19
50,20.473606783285618,2020-11-20
51,94.48094604019138,2020-11-21
52,92.3867969138031,2020-11-22
53,17.497385850460432,2020-11-23
54,30.037181047307627,2020-11-24
55,36.08189840898717,2020-11-25
56,95.3694536420212,2020-11-26
57,20.16424295818922,2020-11-27
58,93.45687055741644,2020-11-28
59,103.78928850972557,2020-11-29
60,100.96934087176987,2020-11-30
