,Dates,Temperature,Wind Speed,Precipitation,Pressure,Heat Index
0,2015-03-01,-8,10,0.0,1024,-4
1,2015-03-02,-3,3,0.0,1011,1
2,2015-03-03,-7,13,0.0,1014,-7
3,2015-03-04,-11,12,0.0,1028,-10
4,2015-03-05,-7,4,0.0,1028,3
5,2015-03-06,-1,7,0.0,1026,9
6,2015-03-07,1,11,0.0,1023,8
7,2015-03-08,0,8,0.0,1019,6
8,2015-03-09,3,9,0.0,1014,12
9,2015-03-10,4,8,0.0,1017,10
10,2015-03-11,3,12,0.0,1016,10
11,2015-03-12,4,9,0.0,1016,10
12,2015-03-13,4,8,0.0,1015,12
13,2015-03-14,6,9,0.0,1013,14
14,2015-03-15,6,10,0.0,1015,12
15,2015-03-16,6,10,0.0,1015,13
16,2015-03-17,6,8,0.0,1011,13
17,2015-03-18,4,14,0.0,1015,9
18,2015-03-19,4,8,0.0,1020,6
19,2015-03-20,7,5,0.0,1020,18
20,2015-03-21,9,8,0.0,1015,20
21,2015-03-22,11,2,0.0,1015,19
22,2015-03-23,10,14,0.0,1011,17
23,2015-03-24,7,13,0.0,1014,14
24,2015-03-25,1,15,0.0,1025,-2
25,2015-03-26,3,8,0.0,1022,11
26,2015-03-27,9,3,0.0,1019,18
27,2015-03-28,13,7,0.0,1015,24
28,2015-03-29,10,12,0.0,1024,14
29,2015-03-30,12,3,0.0,1018,22
30,2015-03-31,13,5,0.0,1013,24
31,2015-04-01,13,7,0.0,1004,20
32,2015-04-02,4,6,0.0,1009,10
33,2015-04-03,-0,10,0.0,1028,4
34,2015-04-04,5,14,0.0,1016,14
35,2015-04-05,10,10,0.0,1004,20
36,2015-04-06,13,2,0.0,1003,24
37,2015-04-07,9,2,0.0,1009,20
38,2015-04-08,8,8,0.0,1000,19
39,2015-04-09,4,13,0.0,1018,8
40,2015-04-10,6,9,0.0,1015,15
41,2015-04-11,11,1,0.0,1010,20
42,2015-04-12,11,17,0.0,1010,16
43,2015-04-13,7,14,0.0,1011,12
44,2015-04-14,6,13,0.0,1012,13
45,2015-04-15,6,16,0.0,1010,13
46,2015-04-16,1,10,0.0,1018,1
47,2015-04-17,1,6,0.0,1012,3
48,2015-04-18,2,9,0.0,1012,7
49,2015-04-19,3,8,0.0,1018,6
50,2015-04-20,3,8,0.0,1013,10
51,2015-04-21,7,10,0.0,1011,16
52,2015-04-22,10,6,0.0,1009,19
53,2015-04-23,12,6,0.0,1007,21
54,2015-04-24,10,8,0.0,1002,18
55,2015-04-25,10,5,0.0,1003,20
56,2015-04-26,4,12,0.0,1008,6
57,2015-04-27,5,8,1.0,1021,8
58,2015-04-28,8,12,0.0,1009,15
59,2015-04-29,12,7,0.0,1014,23
60,2015-04-30,15,6,0.0,1011,24
61,2015-05-01,12,8,0.0,1017,18
62,2015-05-02,15,3,0.0,1011,24
63,2015-05-03,13,9,0.0,1011,22
64,2015-05-04,10,8,0.0,1016,14
65,2015-05-05,9,13,0.0,1010,11
66,2015-05-06,11,5,0.0,1003,17
67,2015-05-07,8,11,0.0,1010,13
68,2015-05-08,8,11,0.0,1013,10
69,2015-05-09,6,21,0.0,1006,7
70,2015-05-10,0,11,0.0,1014,4
71,2015-05-11,4,10,0.0,1021,9
72,2015-05-12,11,5,0.0,1013,20
73,2015-05-13,11,15,0.0,1013,15
74,2015-05-14,13,12,0.0,1011,21
75,2015-05-15,11,9,0.0,1002,17
76,2015-05-16,9,8,0.0,1002,16
77,2015-05-17,10,7,0.0,1012,17
78,2015-05-18,8,8,0.0,1024,9
79,2015-05-19,6,13,0.0,1018,6
80,2015-05-20,5,10,0.0,1022,9
81,2015-05-21,7,6,0.0,1018,12
82,2015-05-22,9,8,0.0,1012,13
83,2015-05-23,10,11,0.0,1011,14
84,2015-05-24,9,15,0.0,1008,13
85,2015-05-25,10,4,0.0,1011,19
86,2015-05-26,12,5,0.1,1013,21
87,2015-05-27,15,5,0.0,1014,24
88,2015-05-28,15,3,0.0,1013,23
89,2015-05-29,11,9,0.0,1019,18
90,2015-05-30,13,12,0.0,1020,20
91,2015-05-31,17,9,0.0,1014,26
92,2015-06-01,19,6,0.0,1013,26
93,2015-06-02,20,7,0.0,1010,29
94,2015-06-03,17,8,0.0,1013,24
95,2015-06-04,17,7,0.0,1011,27
96,2015-06-05,16,8,0.0,1016,19
97,2015-06-06,17,7,0.0,1012,25
98,2015-06-07,16,14,0.0,1015,23
99,2015-06-08,18,9,0.0,1018,25
100,2015-06-09,20,14,0.0,1013,27
101,2015-06-10,18,9,1.5,1009,25
102,2015-06-11,15,13,0.0,1009,24
103,2015-06-12,15,6,0.0,1013,20
104,2015-06-13,19,6,0.1,1008,26
105,2015-06-14,19,13,0.1,1010,25
106,2015-06-15,17,13,0.0,1019,21
107,2015-06-16,19,5,0.2,1013,28
108,2015-06-17,16,3,0.0,1018,16
109,2015-06-18,20,10,0.0,1017,26
110,2015-06-19,24,4,0.0,1011,36
111,2015-06-20,22,8,0.0,1013,29
112,2015-06-21,25,8,0.0,1011,33
113,2015-06-22,21,10,0.0,1016,25
114,2015-06-23,22,5,0.0,1016,32
115,2015-06-24,23,8,0.0,1014,30
116,2015-06-25,22,9,0.0,1017,27
117,2015-06-26,19,15,0.0,1020,25
118,2015-06-27,21,11,0.0,1019,28
119,2015-06-28,23,5,0.0,1017,29
120,2015-06-29,21,8,0.0,1018,28
121,2015-06-30,23,8,0.0,1014,33
122,2015-07-01,22,13,0.0,1015,28
123,2015-07-02,20,4,0.0,1017,27
124,2015-07-03,20,8,0.0,1016,27
125,2015-07-04,23,6,0.0,1010,31
126,2015-07-05,22,12,0.0,1009,29
127,2015-07-06,14,9,0.0,1021,14
128,2015-07-07,16,3,0.0,1018,25
129,2015-07-08,15,4,0.0,1014,19
130,2015-07-09,17,11,0.0,1014,25
131,2015-07-10,20,3,0.0,1012,30
132,2015-07-11,20,8,0.0,1016,29
133,2015-07-12,22,2,0.0,1017,31
134,2015-07-13,22,5,0.0,1016,28
135,2015-07-14,21,12,0.0,1013,27
136,2015-07-15,19,11,0.0,1014,26
137,2015-07-16,21,1,0.0,1014,32
138,2015-07-17,23,3,0.0,1010,31
139,2015-07-18,20,12,0.0,1014,27
140,2015-07-19,19,10,0.0,1018,25
141,2015-07-20,19,10,0.0,1018,25
142,2015-07-21,19,5,0.0,1014,26
143,2015-07-22,21,1,0.0,1011,30
144,2015-07-23,23,5,0.0,1014,34
145,2015-07-24,22,10,0.0,1017,27
146,2015-07-25,23,10,0.0,1015,30
147,2015-07-26,23,10,0.0,1013,30
148,2015-07-27,24,8,0.0,1008,30
149,2015-07-28,22,6,0.0,1016,30
150,2015-07-29,20,13,0.0,1021,27
151,2015-07-30,22,11,0.0,1022,27
152,2015-07-31,22,12,0.0,1021,28
153,2015-08-01,24,7,0.0,1015,31
154,2015-08-02,23,13,0.0,1013,29
155,2015-08-03,22,14,0.0,1013,25
156,2015-08-04,21,10,0.0,1013,29
157,2015-08-05,23,5,0.0,1014,31
158,2015-08-06,23,6,0.0,1013,32
159,2015-08-07,22,7,0.0,1011,29
160,2015-08-08,21,4,0.0,1012,28
161,2015-08-09,20,12,0.0,1016,27
162,2015-08-10,19,12,0.0,1019,26
163,2015-08-11,21,8,0.0,1020,27
164,2015-08-12,22,9,0.0,1021,28
165,2015-08-13,23,7,0.0,1020,30
166,2015-08-14,24,10,0.0,1020,30
167,2015-08-15,25,8,0.0,1016,33
168,2015-08-16,22,14,0.0,1016,27
169,2015-08-17,20,7,0.0,1013,28
170,2015-08-18,16,13,0.0,1011,23
171,2015-08-19,12,12,0.0,1016,17
172,2015-08-20,19,3,0.0,1011,30
173,2015-08-21,22,6,0.0,1009,32
174,2015-08-22,20,7,0.0,1010,31
175,2015-08-23,16,9,0.0,1019,24
176,2015-08-24,21,9,0.0,1018,29
177,2015-08-25,23,7,0.0,1018,32
178,2015-08-26,24,6,0.0,1018,31
179,2015-08-27,20,8,0.0,1016,28
180,2015-08-28,19,11,0.0,1020,25
181,2015-08-29,21,7,0.0,1018,30
182,2015-08-30,24,6,0.0,1014,34
183,2015-08-31,20,8,0.7,1014,25
184,2015-09-01,20,7,0.0,1014,27
185,2015-09-02,22,4,0.0,1014,29
186,2015-09-03,20,10,0.0,1013,26
187,2015-09-04,20,9,0.0,1015,25
188,2015-09-05,17,10,0.0,1017,22
189,2015-09-06,22,6,0.0,1016,29
190,2015-09-07,15,8,0.0,1017,17
191,2015-09-08,18,10,0.0,1018,25
192,2015-09-09,19,8,0.0,1015,29
193,2015-09-10,19,7,0.0,1015,29
194,2015-09-11,16,5,0.0,1021,25
195,2015-09-12,19,6,0.0,1017,28
196,2015-09-13,21,9,0.0,1009,30
197,2015-09-14,20,6,0.0,1008,28
198,2015-09-15,20,15,0.0,1009,25
199,2015-09-16,18,7,0.0,1017,24
200,2015-09-17,16,6,0.0,1016,25
201,2015-09-18,17,6,0.0,1015,26
202,2015-09-19,18,9,0.0,1014,25
203,2015-09-20,20,4,0.0,1016,28
204,2015-09-21,19,10,0.0,1013,27
205,2015-09-22,18,10,0.0,1012,23
206,2015-09-23,18,6,0.0,1014,24
207,2015-09-24,17,10,0.0,1022,25
208,2015-09-25,17,9,0.0,1021,26
209,2015-09-26,18,7,0.0,1018,26
210,2015-09-27,20,5,0.0,1012,31
