,Dates,Temperature,Wind Speed,Precipitation,Pressure,Heat Index
0,2015-03-01,10,19,0.1,1013,17
1,2015-03-02,10,12,0.3,1012,15
2,2015-03-03,9,8,0.0,1013,19
3,2015-03-04,10,8,0.0,1019,23
4,2015-03-05,11,5,0.0,1024,24
5,2015-03-06,13,9,0.0,1020,27
6,2015-03-07,15,8,0.0,1016,28
7,2015-03-08,15,14,0.0,1015,25
8,2015-03-09,11,20,0.0,1014,24
9,2015-03-10,18,13,0.1,1018,21
10,2015-03-11,11,13,0.0,1017,21
11,2015-03-12,11,14,0.0,1017,21
12,2015-03-13,11,13,0.0,1017,21
13,2015-03-14,11,15,0.1,1017,21
14,2015-03-15,12,15,0.0,1017,22
15,2015-03-16,12,14,0.0,1017,22
16,2015-03-17,12,14,0.4,1015,21
17,2015-03-18,11,15,0.1,1016,21
18,2015-03-19,13,23,0.0,1015,25
19,2015-03-20,15,19,0.0,1017,26
20,2015-03-21,13,13,0.0,1019,25
21,2015-03-22,14,12,0.1,1020,20
22,2015-03-23,13,23,0.0,1020,24
23,2015-03-24,13,19,0.0,1018,24
24,2015-03-25,15,9,0.0,1018,28
25,2015-03-26,16,9,0.0,1018,30
26,2015-03-27,18,13,0.0,1017,29
27,2015-03-28,16,13,0.0,1016,27
28,2015-03-29,13,16,0.0,1016,26
29,2015-03-30,13,18,0.0,1015,26
30,2015-03-31,12,18,0.0,1014,25
31,2015-04-01,12,17,0.0,1014,24
32,2015-04-02,12,8,0.0,1016,24
33,2015-04-03,14,6,0.0,1017,27
34,2015-04-04,16,16,0.0,1012,25
35,2015-04-05,12,18,0.0,1011,21
36,2015-04-06,11,18,0.0,1014,18
37,2015-04-07,9,16,0.0,1015,15
38,2015-04-08,9,21,0.0,1018,21
39,2015-04-09,11,15,0.0,1013,23
40,2015-04-10,10,16,0.0,1015,21
41,2015-04-11,11,19,0.0,1013,24
42,2015-04-12,12,21,0.0,1013,25
43,2015-04-13,12,17,1.6,1015,20
44,2015-04-14,12,18,0.0,1015,21
45,2015-04-15,13,16,0.0,1014,19
46,2015-04-16,15,18,0.0,1015,19
47,2015-04-17,14,23,0.0,1016,25
48,2015-04-18,13,18,0.0,1014,25
49,2015-04-19,13,18,0.0,1012,25
50,2015-04-20,12,17,0.0,1010,24
51,2015-04-21,11,10,0.0,1011,17
52,2015-04-22,12,17,0.1,1010,19
53,2015-04-23,12,18,0.1,1011,19
54,2015-04-24,13,15,0.0,1014,17
55,2015-04-25,12,24,0.3,1014,16
56,2015-04-26,12,24,0.0,1015,24
57,2015-04-27,14,10,0.0,1013,27
58,2015-04-28,13,21,0.0,1013,23
59,2015-04-29,16,14,0.0,1011,29
60,2015-04-30,17,15,0.0,1010,28
61,2015-05-01,17,14,0.0,1011,28
62,2015-05-02,17,21,0.0,1010,26
63,2015-05-03,14,18,0.0,1011,25
64,2015-05-04,14,20,0.0,1012,24
65,2015-05-05,11,18,0.0,1012,20
66,2015-05-06,11,18,0.0,1010,19
67,2015-05-07,13,18,0.7,1010,14
68,2015-05-08,9,18,0.0,1014,17
69,2015-05-09,12,17,0.0,1017,19
70,2015-05-10,12,20,0.0,1014,25
71,2015-05-11,13,15,0.0,1011,25
72,2015-05-12,14,18,0.0,1010,24
73,2015-05-13,11,14,0.1,1013,19
74,2015-05-14,12,13,0.0,1011,16
75,2015-05-15,11,16,0.0,1011,18
76,2015-05-16,12,18,0.2,1015,20
77,2015-05-17,13,20,0.0,1015,24
78,2015-05-18,12,18,0.2,1016,20
79,2015-05-19,12,20,0.0,1016,21
80,2015-05-20,13,18,0.0,1013,21
81,2015-05-21,13,15,0.1,1013,19
82,2015-05-22,13,19,0.0,1015,18
83,2015-05-23,13,18,0.0,1016,24
84,2015-05-24,12,21,0.0,1014,21
85,2015-05-25,13,15,0.0,1014,24
86,2015-05-26,14,14,0.0,1014,22
87,2015-05-27,13,17,0.0,1014,25
88,2015-05-28,13,16,0.0,1013,25
89,2015-05-29,13,16,0.0,1013,26
90,2015-05-30,14,14,0.0,1013,25
91,2015-05-31,14,18,0.0,1012,25
92,2015-06-01,14,17,0.0,1015,25
93,2015-06-02,14,17,0.0,1013,25
94,2015-06-03,14,13,0.0,1011,24
95,2015-06-04,14,15,0.0,1010,20
96,2015-06-05,13,19,0.0,1010,25
97,2015-06-06,14,19,0.0,1011,25
98,2015-06-07,15,19,0.0,1010,27
99,2015-06-08,17,14,0.0,1010,30
100,2015-06-09,20,16,0.0,1010,28
101,2015-06-10,20,11,0.0,1012,25
102,2015-06-11,16,20,0.0,1011,26
103,2015-06-12,17,16,0.0,1009,26
104,2015-06-13,16,11,0.2,1008,25
105,2015-06-14,17,11,0.1,1008,26
106,2015-06-15,17,15,0.0,1009,27
107,2015-06-16,16,10,0.0,1011,28
108,2015-06-17,15,6,0.0,1011,22
109,2015-06-18,16,18,0.0,1012,29
110,2015-06-19,17,17,0.0,1010,30
111,2015-06-20,17,18,0.0,1010,29
112,2015-06-21,17,18,0.0,1013,28
113,2015-06-22,17,18,0.0,1012,29
114,2015-06-23,17,17,0.0,1012,28
115,2015-06-24,17,15,0.0,1012,28
116,2015-06-25,16,15,0.0,1013,28
117,2015-06-26,17,14,0.0,1014,28
118,2015-06-27,18,19,0.0,1014,28
119,2015-06-28,20,10,0.8,1013,30
120,2015-06-29,21,17,0.0,1012,31
