,Dates,Temperature,Wind Speed,Precipitation,Pressure,Heat Index
0,2015-03-01,17,18,0.0,1015,19
1,2015-03-02,13,22,0.0,1014,11
2,2015-03-03,12,12,0.0,1014,15
3,2015-03-04,13,5,0.0,1016,17
4,2015-03-05,14,10,0.0,1025,19
5,2015-03-06,17,23,0.0,1020,22
6,2015-03-07,19,9,0.0,1017,24
7,2015-03-08,19,4,0.0,1016,25
8,2015-03-09,20,4,0.0,1013,24
9,2015-03-10,19,5,0.0,1018,21
10,2015-03-11,18,6,0.0,1017,22
11,2015-03-12,18,7,0.0,1017,23
12,2015-03-13,19,7,0.0,1016,23
13,2015-03-14,19,7,0.0,1016,24
14,2015-03-15,19,7,0.0,1017,23
15,2015-03-16,19,7,0.0,1017,23
16,2015-03-17,19,8,0.0,1015,23
17,2015-03-18,19,7,0.0,1015,22
18,2015-03-19,18,1,0.0,1016,19
19,2015-03-20,20,4,0.0,1019,24
20,2015-03-21,21,4,0.0,1018,28
21,2015-03-22,22,5,0.0,1020,25
22,2015-03-23,22,4,0.0,1018,27
23,2015-03-24,21,4,0.0,1016,24
24,2015-03-25,22,1,0.0,1016,27
25,2015-03-26,23,11,0.0,1020,26
26,2015-03-27,24,5,0.0,1019,27
27,2015-03-28,24,3,0.0,1018,30
28,2015-03-29,25,5,0.0,1018,27
29,2015-03-30,27,5,0.0,1017,28
30,2015-03-31,26,8,0.0,1014,29
31,2015-04-01,25,11,0.0,1012,27
32,2015-04-02,23,5,0.0,1013,24
33,2015-04-03,22,11,0.0,1018,25
34,2015-04-04,22,3,0.0,1014,26
35,2015-04-05,23,12,0.0,1010,26
36,2015-04-06,21,5,0.0,1012,26
37,2015-04-07,21,12,0.0,1014,24
38,2015-04-08,18,9,0.0,1014,23
39,2015-04-09,18,8,0.0,1014,24
40,2015-04-10,20,1,0.0,1015,24
41,2015-04-11,21,1,0.0,1014,24
42,2015-04-12,22,11,0.0,1013,24
43,2015-04-13,21,7,0.0,1014,25
44,2015-04-14,21,12,0.0,1014,24
45,2015-04-15,21,7,0.0,1014,24
46,2015-04-16,15,14,0.0,1015,15
47,2015-04-17,18,2,0.0,1017,24
48,2015-04-18,22,8,0.0,1014,26
49,2015-04-19,24,4,0.0,1013,29
50,2015-04-20,24,4,0.0,1010,28
51,2015-04-21,24,9,0.0,1010,28
52,2015-04-22,22,8,0.0,1011,25
53,2015-04-23,20,2,0.0,1010,24
54,2015-04-24,19,7,0.0,1014,21
55,2015-04-25,20,8,0.0,1012,24
56,2015-04-26,18,11,0.0,1011,20
57,2015-04-27,21,4,0.0,1012,25
58,2015-04-28,24,10,0.0,1011,27
59,2015-04-29,26,9,0.0,1014,29
60,2015-04-30,28,9,0.0,1012,30
61,2015-05-01,29,3,0.0,1012,32
62,2015-05-02,28,4,0.0,1011,31
63,2015-05-03,27,11,0.0,1012,28
64,2015-05-04,25,5,0.0,1011,26
65,2015-05-05,23,4,0.0,1013,25
66,2015-05-06,25,15,0.0,1008,26
67,2015-05-07,22,18,0.0,1009,24
68,2015-05-08,19,13,0.0,1012,20
69,2015-05-09,18,2,0.0,1016,23
70,2015-05-10,22,4,0.0,1014,27
71,2015-05-11,26,9,0.0,1012,28
72,2015-05-12,26,21,0.0,1011,28
73,2015-05-13,25,13,0.0,1013,27
74,2015-05-14,24,31,0.0,1010,25
75,2015-05-15,19,21,0.0,1011,20
76,2015-05-16,18,5,0.0,1015,20
77,2015-05-17,22,2,0.0,1015,24
78,2015-05-18,24,8,0.0,1013,26
79,2015-05-19,23,4,0.0,1015,27
80,2015-05-20,25,6,0.0,1013,26
81,2015-05-21,25,22,0.0,1010,26
82,2015-05-22,22,13,0.0,1012,24
83,2015-05-23,21,6,0.0,1015,24
84,2015-05-24,23,4,0.0,1013,25
85,2015-05-25,25,10,0.0,1014,27
86,2015-05-26,26,3,0.0,1013,30
87,2015-05-27,28,5,0.0,1013,28
88,2015-05-28,28,4,0.0,1014,34
89,2015-05-29,29,5,0.0,1014,34
90,2015-05-30,31,6,0.0,1013,36
91,2015-05-31,32,4,0.0,1012,39
92,2015-06-01,31,7,0.0,1013,37
93,2015-06-02,31,6,0.0,1012,37
94,2015-06-03,29,4,0.0,1010,35
95,2015-06-04,28,11,0.0,1009,33
96,2015-06-05,27,19,0.0,1010,29
97,2015-06-06,28,12,0.0,1011,29
98,2015-06-07,29,5,0.0,1012,34
99,2015-06-08,32,1,0.0,1012,36
100,2015-06-09,30,4,0.0,1013,29
101,2015-06-10,29,11,0.5,1010,31
102,2015-06-11,31,3,0.0,1008,33
103,2015-06-12,31,2,0.0,1008,37
104,2015-06-13,32,9,0.0,1007,35
105,2015-06-14,33,8,0.0,1007,36
106,2015-06-15,36,3,0.0,1009,40
107,2015-06-16,35,6,0.0,1011,43
108,2015-06-17,34,8,0.0,1010,34
109,2015-06-18,37,5,0.0,1011,47
110,2015-06-19,36,10,0.0,1010,43
111,2015-06-20,34,5,0.0,1010,43
112,2015-06-21,34,1,0.0,1013,40
113,2015-06-22,34,7,0.0,1013,39
114,2015-06-23,35,1,0.0,1012,40
115,2015-06-24,36,4,0.0,1012,41
116,2015-06-25,35,4,0.0,1013,38
117,2015-06-26,35,5,0.0,1013,41
118,2015-06-27,35,2,0.0,1015,40
119,2015-06-28,35,5,0.0,1014,40
120,2015-06-29,35,1,0.0,1013,43
121,2015-06-30,35,13,0.0,1014,37
122,2015-07-01,33,9,0.0,1014,36
123,2015-07-02,34,11,0.0,1013,36
124,2015-07-03,33,1,0.0,1012,35
125,2015-07-04,34,6,0.0,1011,40
126,2015-07-05,34,6,0.0,1014,36
127,2015-07-06,32,6,0.0,1015,37
128,2015-07-07,34,3,0.0,1012,38
129,2015-07-08,34,14,0.0,1009,36
130,2015-07-09,32,26,0.0,1011,33
131,2015-07-10,31,19,0.0,1012,32
132,2015-07-11,32,11,0.0,1014,34
133,2015-07-12,33,3,0.0,1015,36
134,2015-07-13,34,8,0.0,1013,39
135,2015-07-14,34,10,0.0,1011,36
136,2015-07-15,34,17,0.0,1013,34
137,2015-07-16,34,4,0.0,1014,40
138,2015-07-17,33,12,0.0,1013,36
139,2015-07-18,32,8,0.0,1015,36
140,2015-07-19,30,4,0.0,1018,33
141,2015-07-20,32,2,0.0,1016,36
142,2015-07-21,34,6,0.0,1011,38
143,2015-07-22,33,3,0.0,1012,35
144,2015-07-23,33,5,0.0,1016,35
145,2015-07-24,33,2,0.0,1017,34
146,2015-07-25,35,7,0.0,1014,37
147,2015-07-26,35,6,0.0,1012,38
148,2015-07-27,34,4,0.0,1011,41
149,2015-07-28,34,2,0.0,1013,36
150,2015-07-29,33,9,0.0,1016,35
151,2015-07-30,33,3,0.0,1017,38
152,2015-07-31,34,8,0.0,1015,39
153,2015-08-01,33,5,0.0,1014,37
154,2015-08-02,35,6,0.0,1011,39
155,2015-08-03,35,4,0.0,1012,41
156,2015-08-04,36,3,0.0,1013,41
157,2015-08-05,36,4,0.0,1014,45
158,2015-08-06,35,8,0.0,1014,37
159,2015-08-07,35,14,0.0,1011,37
160,2015-08-08,32,10,0.0,1012,36
161,2015-08-09,34,4,0.0,1013,39
162,2015-08-10,33,3,0.0,1013,36
163,2015-08-11,33,12,0.0,1015,33
164,2015-08-12,35,6,0.0,1016,40
165,2015-08-13,37,3,0.0,1015,45
166,2015-08-14,38,9,0.0,1014,41
167,2015-08-15,37,3,0.0,1013,43
168,2015-08-16,37,1,0.0,1013,43
169,2015-08-17,36,10,0.0,1013,40
170,2015-08-18,34,5,0.0,1011,41
171,2015-08-19,34,2,0.0,1011,40
172,2015-08-20,34,3,0.0,1011,39
173,2015-08-21,34,8,0.0,1012,39
174,2015-08-22,34,8,0.0,1014,38
175,2015-08-23,34,8,0.0,1014,39
176,2015-08-24,34,9,0.0,1015,38
177,2015-08-25,33,3,0.0,1016,37
178,2015-08-26,33,5,0.0,1017,38
179,2015-08-27,34,4,0.0,1016,39
180,2015-08-28,34,4,0.0,1014,43
181,2015-08-29,36,5,0.0,1013,41
182,2015-08-30,35,9,0.0,1013,40
183,2015-08-31,34,9,0.0,1012,38
184,2015-09-01,33,6,0.0,1012,37
185,2015-09-02,33,6,0.0,1014,35
186,2015-09-03,31,7,0.0,1012,34
187,2015-09-04,33,7,0.0,1012,37
188,2015-09-05,32,7,0.0,1012,36
189,2015-09-06,34,3,0.0,1014,38
190,2015-09-07,32,5,0.0,1011,32
191,2015-09-08,33,7,0.0,1013,37
192,2015-09-09,32,4,0.0,1013,34
193,2015-09-10,30,4,0.0,1015,32
194,2015-09-11,30,5,0.0,1014,35
195,2015-09-12,33,4,0.0,1015,37
196,2015-09-13,33,9,0.0,1011,37
197,2015-09-14,30,4,0.0,1011,34
198,2015-09-15,29,7,0.0,1013,32
199,2015-09-16,31,8,0.0,1014,34
200,2015-09-17,30,8,0.0,1013,34
201,2015-09-18,31,7,0.0,1013,35
202,2015-09-19,30,7,0.0,1013,34
203,2015-09-20,33,2,0.0,1013,37
204,2015-09-21,28,3,0.0,1010,32
205,2015-09-22,27,2,0.0,1014,30
206,2015-09-23,28,4,0.0,1014,37
207,2015-09-24,31,1,0.0,1013,38
208,2015-09-25,33,17,0.0,1015,34
209,2015-09-26,32,18,0.0,1013,35
210,2015-09-27,32,6,0.0,1012,33
211,2015-09-28,32,1,0.0,1013,35
212,2015-09-29,32,3,0.0,1012,39
213,2015-09-30,32,3,0.0,1012,39
214,2015-10-01,32,7,0.0,1013,37
215,2015-10-02,29,6,0.0,1010,34
216,2015-10-03,26,4,0.0,1004,31
217,2015-10-04,27,23,0.0,1005,29
218,2015-10-05,24,23,0.0,1012,27
219,2015-10-06,22,2,0.0,1018,25
220,2015-10-07,22,5,0.0,1018,25
221,2015-10-08,25,4,0.0,1016,28
222,2015-10-09,27,8,0.0,1018,31
223,2015-10-10,28,10,0.0,1019,31
224,2015-10-11,29,6,0.0,1016,31
225,2015-10-12,29,3,0.0,1016,33
226,2015-10-13,29,2,0.0,1019,37
227,2015-10-14,29,4,0.0,1016,35
228,2015-10-15,29,4,0.0,1013,31
229,2015-10-16,28,15,0.0,1013,31
230,2015-10-17,26,13,0.0,1015,28
231,2015-10-18,25,17,0.0,1014,28
232,2015-10-19,24,5,0.0,1014,28
233,2015-10-20,23,12,0.0,1011,25
234,2015-10-21,21,13,0.0,1013,21
235,2015-10-22,20,1,0.0,1015,24
236,2015-10-23,19,6,0.0,1014,20
237,2015-10-24,24,7,0.0,1016,27
238,2015-10-25,25,13,0.0,1016,27
239,2015-10-26,25,3,0.0,1015,27
240,2015-10-27,24,6,0.0,1015,27
241,2015-10-28,24,8,0.0,1014,24
242,2015-10-29,22,12,0.0,1007,25
243,2015-10-30,19,4,0.0,1009,24
244,2015-10-31,19,3,0.0,1017,25
245,2015-11-01,20,4,0.0,1018,25
246,2015-11-02,21,11,0.0,1012,25
247,2015-11-03,20,20,0.0,1008,25
248,2015-11-04,16,14,0.0,1014,17
249,2015-11-05,14,1,0.0,1023,17
250,2015-11-06,15,8,0.0,1020,19
251,2015-11-07,17,4,0.0,1019,24
252,2015-11-08,19,7,0.0,1016,25
253,2015-11-09,18,8,0.0,1015,23
254,2015-11-10,16,11,0.0,1015,19
255,2015-11-11,13,2,0.0,1025,19
256,2015-11-12,15,8,0.0,1019,20
257,2015-11-13,17,14,0.0,1016,22
258,2015-11-14,16,5,0.0,1016,23
259,2015-11-15,15,12,0.0,1015,18
260,2015-11-16,12,23,0.0,1010,13
261,2015-11-17,11,2,0.0,1019,16
262,2015-11-18,11,5,0.0,1018,17
263,2015-11-19,14,4,0.0,1017,21
264,2015-11-20,16,8,0.0,1015,22
265,2015-11-21,18,14,0.0,1019,23
266,2015-11-22,18,14,0.0,1018,22
267,2015-11-23,17,9,0.0,1015,22
268,2015-11-24,16,8,0.0,1015,22
269,2015-11-25,17,10,0.0,1009,23
270,2015-11-26,13,6,0.0,1013,15
271,2015-11-27,10,3,0.0,1016,14
272,2015-11-28,10,4,0.0,1018,15
273,2015-11-29,9,1,0.0,1019,15
274,2015-11-30,8,2,0.0,1022,15
275,2015-12-01,9,1,0.0,1021,15
276,2015-12-02,10,2,0.0,1023,15
277,2015-12-03,9,8,0.0,1020,10
278,2015-12-04,14,6,0.0,1019,18
279,2015-12-05,14,6,0.0,1026,20
280,2015-12-06,15,8,0.0,1025,20
281,2015-12-07,16,8,0.0,1021,23
282,2015-12-08,14,6,0.0,1019,20
283,2015-12-09,14,5,0.0,1018,19
284,2015-12-10,15,5,0.0,1016,22
285,2015-12-11,15,6,0.0,1008,17
286,2015-12-12,11,17,0.0,1011,12
287,2015-12-13,9,8,0.0,1018,13
288,2015-12-14,9,4,0.0,1011,10
289,2015-12-15,6,5,0.0,1017,10
290,2015-12-16,6,1,0.0,1022,12
291,2015-12-17,7,3,0.0,1024,10
292,2015-12-18,13,9,0.0,1019,16
293,2015-12-19,12,10,0.0,1020,15
294,2015-12-20,12,8,0.0,1019,16
295,2015-12-21,10,3,0.0,1021,13
296,2015-12-22,9,8,0.0,1012,10
297,2015-12-23,13,6,0.0,1007,14
298,2015-12-24,13,2,0.0,1013,16
299,2015-12-25,11,10,0.0,1016,13
300,2015-12-26,7,17,0.0,1019,10
301,2015-12-27,7,3,0.0,1024,12
302,2015-12-28,10,6,0.0,1022,14
303,2015-12-29,8,6,0.0,1016,9
304,2015-12-30,7,6,0.0,1024,13
305,2015-12-31,7,3,0.0,1020,10
