,Dates,Temperature,Wind Speed,Precipitation,Pressure,Heat Index
0,2015-03-01,11,10,0.0,1014,17
1,2015-03-02,11,8,0.0,1010,14
2,2015-03-03,11,6,0.0,1016,17
3,2015-03-04,11,2,0.0,1020,20
4,2015-03-05,13,8,0.0,1026,21
5,2015-03-06,13,5,0.0,1024,24
6,2015-03-07,14,6,0.0,1019,24
7,2015-03-08,12,2,0.0,1018,20
8,2015-03-09,14,8,0.0,1016,19
9,2015-03-10,12,10,0.0,1021,16
10,2015-03-11,11,14,0.0,1019,17
11,2015-03-12,12,17,0.0,1019,17
12,2015-03-13,12,15,0.5,1019,17
13,2015-03-14,12,12,0.4,1021,16
14,2015-03-15,12,14,0.1,1020,17
15,2015-03-16,12,16,0.1,1020,17
16,2015-03-17,12,11,0.1,1018,18
17,2015-03-18,11,14,0.4,1018,17
18,2015-03-19,14,9,0.0,1017,20
19,2015-03-20,13,14,0.0,1019,19
20,2015-03-21,14,12,0.0,1021,19
21,2015-03-22,14,21,0.0,1021,16
22,2015-03-23,13,18,0.0,1025,16
23,2015-03-24,14,18,0.0,1025,17
24,2015-03-25,14,9,0.0,1022,20
25,2015-03-26,16,4,0.0,1019,25
26,2015-03-27,14,15,0.0,1020,20
27,2015-03-28,15,13,0.0,1020,21
28,2015-03-29,15,8,0.0,1017,25
29,2015-03-30,13,14,0.0,1017,19
30,2015-03-31,13,35,0.0,1021,17
31,2015-04-01,12,23,0.0,1020,16
32,2015-04-02,12,18,0.0,1022,18
33,2015-04-03,12,15,0.0,1022,19
34,2015-04-04,11,26,0.0,1017,16
35,2015-04-05,10,22,0.0,1013,14
36,2015-04-06,11,27,0.0,1014,14
37,2015-04-07,11,28,0.0,1013,13
38,2015-04-08,11,5,0.0,1022,15
39,2015-04-09,12,4,0.0,1016,17
40,2015-04-10,12,16,0.0,1017,17
41,2015-04-11,13,23,0.0,1018,19
42,2015-04-12,15,9,0.0,1016,20
43,2015-04-13,12,18,0.1,1018,18
44,2015-04-14,11,20,0.0,1020,16
45,2015-04-15,12,16,0.0,1018,14
46,2015-04-16,14,14,0.0,1016,18
47,2015-04-17,14,11,0.0,1018,24
48,2015-04-18,13,9,0.0,1015,24
49,2015-04-19,13,12,0.0,1013,18
50,2015-04-20,13,15,0.0,1010,17
51,2015-04-21,12,17,0.0,1011,13
52,2015-04-22,12,10,0.0,1011,18
53,2015-04-23,12,16,0.0,1011,17
54,2015-04-24,13,29,0.0,1016,16
55,2015-04-25,12,19,0.0,1016,15
56,2015-04-26,13,17,0.0,1020,18
57,2015-04-27,15,10,0.0,1016,19
58,2015-04-28,13,19,0.0,1018,18
59,2015-04-29,13,13,0.0,1015,19
60,2015-04-30,17,6,0.0,1010,27
61,2015-05-01,16,15,0.0,1011,24
62,2015-05-02,13,13,0.0,1010,20
63,2015-05-03,12,18,0.0,1011,16
64,2015-05-04,12,18,0.0,1014,15
65,2015-05-05,12,18,0.0,1014,16
66,2015-05-06,12,15,0.0,1011,17
67,2015-05-07,13,20,0.0,1007,18
68,2015-05-08,12,10,0.0,1012,18
69,2015-05-09,12,15,0.0,1018,16
70,2015-05-10,12,12,0.0,1017,17
71,2015-05-11,12,27,0.0,1014,15
72,2015-05-12,12,32,0.0,1014,15
73,2015-05-13,12,23,0.0,1014,15
74,2015-05-14,12,18,1.4,1009,15
75,2015-05-15,12,24,0.0,1013,16
76,2015-05-16,12,18,0.0,1015,15
77,2015-05-17,12,15,0.0,1017,15
78,2015-05-18,12,16,0.0,1018,14
79,2015-05-19,13,15,0.0,1017,16
80,2015-05-20,13,16,0.0,1014,15
81,2015-05-21,13,13,0.2,1013,16
82,2015-05-22,14,16,0.0,1016,16
83,2015-05-23,13,13,0.0,1018,16
84,2015-05-24,13,16,0.0,1015,17
85,2015-05-25,13,16,0.0,1014,16
86,2015-05-26,13,14,0.1,1015,15
