,Dates,Temperature,Wind Speed,Precipitation,Pressure,Heat Index
0,2015-03-01,6,5,0.0,1020,12
1,2015-03-02,5,14,0.0,1018,9
2,2015-03-03,3,6,0.0,1023,9
3,2015-03-04,4,3,0.0,1024,11
4,2015-03-05,5,3,0.0,1027,13
5,2015-03-06,6,2,0.0,1029,13
6,2015-03-07,7,10,0.0,1025,15
7,2015-03-08,8,4,0.0,1021,16
8,2015-03-09,9,7,0.0,1018,17
9,2015-03-10,7,14,0.0,1018,9
10,2015-03-11,5,10,0.1,1019,9
11,2015-03-12,6,11,0.0,1015,10
12,2015-03-13,6,13,0.2,1012,9
13,2015-03-14,6,15,0.0,1013,9
14,2015-03-15,7,12,0.0,1012,10
15,2015-03-16,6,12,0.0,1017,9
16,2015-03-17,5,10,0.0,1020,8
17,2015-03-18,5,9,0.0,1019,9
18,2015-03-19,10,13,0.0,1018,14
19,2015-03-20,11,13,0.1,1012,14
20,2015-03-21,10,20,0.0,1019,11
21,2015-03-22,7,9,0.0,1015,10
22,2015-03-23,7,17,0.0,1014,8
23,2015-03-24,8,11,0.1,1023,10
24,2015-03-25,9,18,0.0,1023,11
25,2015-03-26,12,3,0.0,1022,18
26,2015-03-27,12,15,0.0,1015,17
27,2015-03-28,10,13,0.0,1026,14
28,2015-03-29,10,14,0.1,1022,14
29,2015-03-30,12,9,0.0,1015,16
30,2015-03-31,8,7,0.0,1018,11
31,2015-04-01,6,8,1.0,1023,10
32,2015-04-02,7,6,0.0,1028,12
33,2015-04-03,6,20,0.0,1020,8
34,2015-04-04,6,6,0.0,1017,13
35,2015-04-05,8,6,0.0,1007,14
36,2015-04-06,8,8,0.0,1011,11
37,2015-04-07,8,8,0.0,1012,12
38,2015-04-08,9,6,0.0,1018,15
39,2015-04-09,9,6,0.0,1017,16
40,2015-04-10,9,18,0.0,1011,12
41,2015-04-11,7,19,0.0,1014,10
42,2015-04-12,8,7,0.0,1022,11
43,2015-04-13,7,12,0.0,1016,11
44,2015-04-14,7,9,0.1,1018,12
45,2015-04-15,7,6,0.0,1026,10
46,2015-04-16,7,8,0.0,1026,11
47,2015-04-17,10,9,0.0,1023,19
48,2015-04-18,10,10,0.0,1025,16
49,2015-04-19,11,11,0.0,1019,18
50,2015-04-20,13,4,0.0,1011,24
51,2015-04-21,10,5,0.0,1013,14
52,2015-04-22,8,4,0.0,1019,14
53,2015-04-23,7,17,0.0,1009,8
54,2015-04-24,8,19,0.0,1009,10
55,2015-04-25,7,4,0.0,1015,13
56,2015-04-26,9,9,0.0,1023,14
57,2015-04-27,11,8,0.0,1021,14
58,2015-04-28,9,7,0.0,1018,13
59,2015-04-29,10,10,0.0,1023,15
60,2015-04-30,10,3,0.0,1023,17
61,2015-05-01,11,5,0.0,1015,17
62,2015-05-02,10,10,0.0,1016,18
63,2015-05-03,11,9,0.0,1014,18
64,2015-05-04,11,21,0.0,1012,15
65,2015-05-05,9,12,0.1,1017,12
66,2015-05-06,8,11,0.0,1018,14
67,2015-05-07,10,10,0.0,1017,18
68,2015-05-08,13,12,0.0,1016,21
69,2015-05-09,15,4,0.0,1018,25
70,2015-05-10,13,8,0.0,1017,19
71,2015-05-11,11,6,0.0,1013,16
72,2015-05-12,12,11,0.0,1010,14
73,2015-05-13,10,11,0.0,1011,12
74,2015-05-14,11,4,0.0,1011,17
75,2015-05-15,12,5,0.0,1010,19
76,2015-05-16,12,8,0.0,1014,15
77,2015-05-17,13,6,0.0,1018,18
78,2015-05-18,15,8,0.0,1017,24
79,2015-05-19,14,5,0.0,1017,21
80,2015-05-20,14,7,0.0,1013,24
81,2015-05-21,16,4,0.0,1011,25
82,2015-05-22,13,9,0.1,1014,18
83,2015-05-23,13,5,0.0,1019,19
84,2015-05-24,12,5,0.0,1017,16
85,2015-05-25,13,10,0.0,1015,17
86,2015-05-26,13,5,0.0,1016,19
87,2015-05-27,15,5,0.0,1016,25
88,2015-05-28,17,5,0.0,1017,26
89,2015-05-29,17,6,0.0,1013,26
90,2015-05-30,14,6,0.0,1012,25
91,2015-05-31,15,9,0.0,1009,24
92,2015-06-01,13,13,0.1,1011,18
93,2015-06-02,13,14,0.0,1015,14
94,2015-06-03,13,5,0.0,1017,18
95,2015-06-04,14,8,0.0,1018,21
96,2015-06-05,16,11,0.0,1017,25
97,2015-06-06,17,6,0.0,1015,26
98,2015-06-07,19,8,0.0,1015,28
99,2015-06-08,19,8,0.0,1014,29
100,2015-06-09,17,4,0.0,1012,28
101,2015-06-10,15,5,0.0,1013,25
102,2015-06-11,15,4,0.0,1018,25
103,2015-06-12,13,1,0.0,1019,20
104,2015-06-13,13,6,0.0,1017,22
105,2015-06-14,15,10,0.0,1015,25
106,2015-06-15,18,8,0.0,1013,26
107,2015-06-16,14,6,0.0,1017,19
108,2015-06-17,13,7,0.0,1017,16
109,2015-06-18,16,7,0.0,1013,24
110,2015-06-19,15,5,0.3,1019,19
111,2015-06-20,15,6,0.0,1016,24
112,2015-06-21,16,4,0.0,1012,24
113,2015-06-22,15,7,0.0,1017,24
114,2015-06-23,16,3,0.0,1018,26
115,2015-06-24,17,6,0.0,1018,24
116,2015-06-25,19,5,0.0,1020,27
117,2015-06-26,20,13,0.0,1016,27
118,2015-06-27,21,13,0.0,1013,28
119,2015-06-28,20,7,1.1,1015,26
120,2015-06-29,20,6,0.0,1015,31
121,2015-06-30,19,4,0.0,1018,28
122,2015-07-01,20,13,0.0,1015,28
123,2015-07-02,21,9,0.0,1015,31
124,2015-07-03,20,5,0.0,1012,31
125,2015-07-04,20,6,0.0,1010,29
126,2015-07-05,20,8,0.0,1011,30
127,2015-07-06,19,9,0.0,1015,27
128,2015-07-07,18,4,0.0,1014,28
129,2015-07-08,19,6,0.0,1010,28
130,2015-07-09,19,4,0.0,1006,31
131,2015-07-10,17,6,0.0,1009,25
132,2015-07-11,17,10,0.0,1011,24
133,2015-07-12,18,8,0.0,1015,25
134,2015-07-13,17,5,0.0,1017,25
135,2015-07-14,17,8,0.0,1015,25
136,2015-07-15,17,4,0.0,1016,25
137,2015-07-16,17,7,0.1,1019,25
138,2015-07-17,17,13,0.0,1017,25
139,2015-07-18,20,9,0.0,1015,28
140,2015-07-19,23,7,0.0,1015,30
141,2015-07-20,18,14,0.0,1016,25
142,2015-07-21,17,9,0.0,1013,20
143,2015-07-22,16,6,0.0,1012,24
144,2015-07-23,17,1,0.0,1015,20
145,2015-07-24,16,12,0.0,1018,20
146,2015-07-25,16,4,0.0,1018,19
147,2015-07-26,14,1,0.9,1016,18
148,2015-07-27,15,4,0.0,1021,24
149,2015-07-28,17,8,0.0,1023,26
150,2015-07-29,20,11,0.0,1020,27
151,2015-07-30,21,10,0.0,1018,31
152,2015-07-31,21,4,0.0,1017,33
153,2015-08-01,20,8,0.0,1014,28
154,2015-08-02,20,4,0.0,1013,28
155,2015-08-03,19,6,0.0,1012,27
156,2015-08-04,17,8,0.0,1014,25
157,2015-08-05,15,9,0.0,1017,21
158,2015-08-06,16,7,0.0,1018,24
159,2015-08-07,17,6,0.0,1013,26
160,2015-08-08,17,14,0.0,1011,25
161,2015-08-09,18,6,0.0,1014,27
162,2015-08-10,19,8,0.0,1013,27
163,2015-08-11,19,17,0.1,1013,26
164,2015-08-12,20,2,0.0,1013,27
165,2015-08-13,19,4,0.0,1014,30
166,2015-08-14,15,16,0.8,1015,17
167,2015-08-15,16,4,0.0,1023,20
168,2015-08-16,16,9,0.0,1022,26
169,2015-08-17,17,9,0.0,1018,25
170,2015-08-18,19,13,0.0,1016,27
171,2015-08-19,20,4,0.0,1011,32
172,2015-08-20,16,13,0.0,1012,20
173,2015-08-21,15,4,0.0,1015,19
174,2015-08-22,17,6,0.0,1018,26
175,2015-08-23,17,4,0.0,1014,25
176,2015-08-24,15,6,0.0,1016,25
177,2015-08-25,15,7,0.0,1016,25
178,2015-08-26,17,5,0.0,1015,26
179,2015-08-27,18,5,0.0,1016,26
180,2015-08-28,17,9,0.0,1013,20
181,2015-08-29,16,28,0.0,1005,17
182,2015-08-30,15,18,0.0,1013,19
183,2015-08-31,14,18,0.1,1014,15
184,2015-09-01,15,6,0.0,1018,23
185,2015-09-02,13,12,0.0,1011,18
186,2015-09-03,12,8,0.0,1014,19
187,2015-09-04,15,8,0.0,1017,24
188,2015-09-05,16,9,0.1,1016,23
189,2015-09-06,13,6,0.0,1020,14
190,2015-09-07,13,4,0.0,1022,16
191,2015-09-08,16,5,0.0,1019,20
192,2015-09-09,16,6,0.0,1017,25
193,2015-09-10,16,12,0.0,1018,25
194,2015-09-11,18,9,0.0,1017,27
195,2015-09-12,17,6,0.0,1014,28
196,2015-09-13,14,9,0.0,1012,19
197,2015-09-14,12,7,0.0,1008,16
198,2015-09-15,12,11,0.0,1009,17
199,2015-09-16,15,9,0.0,1015,22
200,2015-09-17,15,9,0.0,1014,21
201,2015-09-18,15,8,0.0,1014,22
202,2015-09-19,14,8,0.0,1015,22
203,2015-09-20,15,21,0.0,1011,18
204,2015-09-21,13,5,0.0,1016,24
205,2015-09-22,11,5,0.0,1014,24
206,2015-09-23,12,7,0.0,1016,19
207,2015-09-24,15,12,0.0,1015,24
208,2015-09-25,12,7,0.0,1016,14
209,2015-09-26,11,4,0.1,1020,18
210,2015-09-27,10,13,0.0,1020,17
211,2015-09-28,12,13,0.0,1016,20
212,2015-09-29,13,6,0.0,1013,25
213,2015-09-30,11,4,0.0,1015,25
214,2015-10-01,12,6,0.0,1016,20
215,2015-10-02,12,10,0.0,1019,15
216,2015-10-03,12,15,0.0,1017,17
217,2015-10-04,13,11,0.0,1012,21
218,2015-10-05,15,5,0.0,1012,25
219,2015-10-06,14,12,0.0,1016,20
220,2015-10-07,13,10,0.0,1020,14
221,2015-10-08,15,3,0.0,1020,19
222,2015-10-09,14,9,0.0,1015,14
223,2015-10-10,15,28,0.0,1003,17
224,2015-10-11,12,4,0.0,1020,18
225,2015-10-12,13,12,0.0,1018,15
226,2015-10-13,12,7,0.0,1023,15
227,2015-10-14,10,14,0.0,1022,15
228,2015-10-15,13,9,0.0,1018,20
229,2015-10-16,13,4,0.0,1013,21
230,2015-10-17,13,5,0.0,1011,18
231,2015-10-18,13,6,0.0,1016,14
232,2015-10-19,14,9,0.0,1014,17
233,2015-10-20,11,5,0.0,1023,18
234,2015-10-21,10,7,0.0,1020,17
235,2015-10-22,10,6,0.0,1024,15
236,2015-10-23,7,5,0.0,1021,8
237,2015-10-24,9,7,0.0,1017,15
238,2015-10-25,12,5,0.0,1007,18
239,2015-10-26,11,14,0.0,1015,11
