,Dates,Temperature,Wind Speed,Precipitation,Pressure,Heat Index
0,2016-01-01,-6,13,0.0,1029,-2
1,2016-01-02,-7,11,0.0,1023,-3
2,2016-01-03,-4,9,2.9,1015,-2
3,2016-01-04,1,12,1.1,1018,4
4,2016-01-05,1,6,0.0,1003,2
5,2016-01-06,0,9,0.0,1004,3
6,2016-01-07,-1,1,0.0,1014,4
7,2016-01-08,-1,4,0.0,1018,5
8,2016-01-09,0,4,0.4,1021,3
9,2016-01-10,0,7,0.0,1024,4
10,2016-01-11,2,8,3.1,1024,4
11,2016-01-12,4,10,6.2,1014,4
12,2016-01-13,3,11,5.2,1009,3
13,2016-01-14,1,6,0.5,1011,3
14,2016-01-15,1,5,0.0,1017,4
15,2016-01-16,4,19,2.1,1012,5
16,2016-01-17,3,4,5.2,1009,5
17,2016-01-18,3,6,0.0,1016,7
18,2016-01-19,3,4,5.9,1003,3
19,2016-01-20,2,8,0.0,1022,4
20,2016-01-21,7,9,0.0,1013,11
21,2016-01-22,5,4,0.0,1013,8
22,2016-01-23,4,8,2.0,1009,4
23,2016-01-24,2,4,0.3,1019,3
24,2016-01-25,2,4,0.0,1024,8
25,2016-01-26,7,5,0.9,1026,8
26,2016-01-27,7,4,0.0,1023,12
27,2016-01-28,6,13,6.8,1017,5
28,2016-01-29,2,20,2.2,1011,2
29,2016-01-30,-1,8,0.6,1016,1
30,2016-01-31,-4,4,0.0,1018,1
31,2016-02-01,-2,6,0.2,1024,0
32,2016-02-02,-1,5,0.0,1022,3
33,2016-02-03,1,7,1.9,1020,3
34,2016-02-04,2,8,1.7,1029,3
35,2016-02-05,4,7,0.0,1024,9
36,2016-02-06,3,2,0.0,1030,7
37,2016-02-07,7,4,0.0,1032,13
38,2016-02-08,8,10,0.0,1029,14
39,2016-02-09,9,5,0.0,1022,16
40,2016-02-10,7,4,0.1,1025,9
41,2016-02-11,8,5,0.9,1020,12
42,2016-02-12,6,5,3.0,1022,7
43,2016-02-13,4,8,0.1,1026,6
44,2016-02-14,7,9,2.2,1024,7
45,2016-02-15,8,11,0.1,1021,8
46,2016-02-16,7,4,0.0,1015,11
47,2016-02-17,7,10,0.4,993,12
48,2016-02-18,2,16,3.2,997,2
49,2016-02-19,2,23,3.6,1009,2
50,2016-02-20,1,4,0.0,1027,4
51,2016-02-21,1,5,6.1,1025,3
52,2016-02-22,-0,4,0.0,1029,6
53,2016-02-23,3,10,0.0,1019,9
54,2016-02-24,5,3,0.0,1021,12
55,2016-02-25,7,3,0.0,1021,14
56,2016-02-26,7,6,0.0,1014,12
57,2016-02-27,5,5,0.1,1020,9
58,2016-02-28,4,23,2.2,1019,4
59,2016-02-29,3,5,0.0,1022,8
60,2016-03-01,5,11,6.0,1008,6
61,2016-03-02,6,9,0.0,1012,13
62,2016-03-03,7,16,0.0,1016,10
63,2016-03-04,8,8,0.0,1010,14
64,2016-03-05,9,9,0.0,997,15
65,2016-03-06,4,17,0.2,1004,6
66,2016-03-07,2,6,0.0,1013,4
67,2016-03-08,1,5,2.1,1013,2
68,2016-03-09,5,7,3.7,1006,7
69,2016-03-10,4,17,2.6,1011,6
70,2016-03-11,5,2,0.9,1002,8
71,2016-03-12,3,19,2.2,1008,3
72,2016-03-13,2,22,5.9,1000,3
73,2016-03-14,0,13,3.8,1017,1
74,2016-03-15,1,6,1.9,1025,2
75,2016-03-16,4,4,0.2,1024,7
76,2016-03-17,3,9,0.0,1021,10
77,2016-03-18,5,11,0.0,1017,10
78,2016-03-19,8,1,0.0,1015,14
79,2016-03-20,6,8,2.2,1009,10
80,2016-03-21,3,7,4.4,1007,5
81,2016-03-22,2,11,1.3,1021,4
82,2016-03-23,5,9,0.0,1025,9
83,2016-03-24,3,14,0.3,1025,4
84,2016-03-25,2,4,0.3,1023,4
85,2016-03-26,5,1,0.0,1016,8
86,2016-03-27,2,14,1.4,1020,3
87,2016-03-28,-0,5,0.1,1021,3
88,2016-03-29,3,10,0.0,1017,10
89,2016-03-30,6,3,0.0,1017,15
90,2016-03-31,8,6,0.0,1019,16
91,2016-04-01,9,6,0.0,1020,18
92,2016-04-02,8,10,0.0,1018,15
93,2016-04-03,10,12,0.1,1015,17
94,2016-04-04,4,12,1.2,1027,5
95,2016-04-05,5,6,0.0,1032,12
96,2016-04-06,12,3,0.0,1024,23
97,2016-04-07,16,5,0.0,1013,25
98,2016-04-08,15,7,0.0,1009,24
99,2016-04-09,11,7,0.0,1008,17
100,2016-04-10,9,8,0.0,1010,15
101,2016-04-11,8,9,0.0,1016,14
102,2016-04-12,8,7,0.2,1015,13
103,2016-04-13,4,12,0.7,1018,7
104,2016-04-14,3,10,0.9,1018,7
105,2016-04-15,4,8,1.2,1019,7
106,2016-04-16,5,10,1.0,1019,9
107,2016-04-17,5,10,1.0,1019,9
108,2016-04-18,6,9,0.3,1019,12
109,2016-04-19,6,9,1.0,1017,11
110,2016-04-20,10,7,0.0,1013,13
111,2016-04-21,12,5,0.0,1006,20
112,2016-04-22,8,9,0.2,1007,11
113,2016-04-23,6,9,0.3,1017,8
114,2016-04-24,4,9,0.7,1018,6
115,2016-04-25,3,9,0.0,1022,6
116,2016-04-26,5,11,0.0,1016,11
117,2016-04-27,5,7,0.4,1014,7
118,2016-04-28,6,8,0.1,1018,9
119,2016-04-29,5,9,1.3,1019,6
120,2016-04-30,8,6,0.0,1024,15
121,2016-05-01,13,15,0.0,1015,20
122,2016-05-02,15,4,0.0,1014,24
123,2016-05-03,12,8,0.5,1015,19
124,2016-05-04,11,7,1.8,1012,16
125,2016-05-05,10,6,0.1,1013,15
126,2016-05-06,13,12,0.0,1013,24
127,2016-05-07,15,11,0.0,1010,24
128,2016-05-08,9,9,0.1,1013,11
129,2016-05-09,7,9,0.0,1017,13
130,2016-05-10,11,9,0.0,1020,19
131,2016-05-11,14,10,0.0,1015,23
132,2016-05-12,13,12,0.0,1014,23
133,2016-05-13,15,1,0.0,1012,24
134,2016-05-14,8,6,1.0,1014,9
135,2016-05-15,7,5,3.7,1016,8
136,2016-05-16,8,6,0.2,1021,10
137,2016-05-17,11,7,0.0,1021,21
138,2016-05-18,4,3,0.0,1016,5
139,2016-05-19,10,10,0.9,1016,15
140,2016-05-20,10,10,0.4,1017,15
141,2016-05-21,6,6,0.0,1014,7
142,2016-05-22,7,10,1.0,1014,9
143,2016-05-23,8,8,0.5,1012,11
144,2016-05-24,9,11,0.3,1013,15
145,2016-05-25,9,6,0.2,1020,11
146,2016-05-26,8,8,0.1,1021,9
147,2016-05-27,10,10,0.2,1020,11
148,2016-05-28,13,9,0.0,1017,18
149,2016-05-29,10,11,0.0,1019,16
150,2016-05-30,13,5,0.0,1020,23
151,2016-05-31,11,9,0.3,1014,17
152,2016-06-01,15,10,0.0,1012,24
153,2016-06-02,12,9,0.1,1019,16
154,2016-06-03,18,4,0.0,1019,27
155,2016-06-04,23,6,0.0,1014,30
156,2016-06-05,23,6,0.1,1012,31
157,2016-06-06,20,9,0.0,1010,28
158,2016-06-07,19,10,0.0,1007,27
159,2016-06-08,13,10,0.2,1011,15
160,2016-06-09,11,15,0.4,1011,17
161,2016-06-10,8,11,0.9,1016,9
162,2016-06-11,9,8,0.1,1022,16
163,2016-06-12,11,9,0.0,1020,20
164,2016-06-13,7,11,0.5,1016,10
165,2016-06-14,5,12,0.9,1016,7
166,2016-06-15,8,6,0.4,1018,9
167,2016-06-16,9,6,0.0,1018,10
168,2016-06-17,10,2,0.4,1017,17
169,2016-06-18,8,14,0.8,1022,12
170,2016-06-19,11,5,0.0,1022,20
171,2016-06-20,14,12,0.0,1019,21
172,2016-06-21,12,8,0.0,1021,21
173,2016-06-22,12,9,0.0,1015,23
174,2016-06-23,9,7,2.3,1017,11
175,2016-06-24,9,8,0.2,1023,15
176,2016-06-25,13,8,0.0,1020,24
177,2016-06-26,17,3,0.0,1017,26
178,2016-06-27,17,9,0.0,1019,26
179,2016-06-28,16,8,0.0,1019,25
180,2016-06-29,14,9,0.0,1018,24
181,2016-06-30,13,10,0.0,1019,24
182,2016-07-01,14,9,0.0,1016,24
183,2016-07-02,17,10,0.0,1014,25
184,2016-07-03,14,10,0.0,1018,20
185,2016-07-04,11,11,0.0,1019,19
186,2016-07-05,11,11,0.0,1017,19
187,2016-07-06,13,10,0.0,1014,24
