,Unnamed: 0,Dates,Temperature,Wind Speed,Precipitation,Pressure,Heat Index
0,0,2015-03-01,6,5,0.0,1020,12
1,1,2015-03-02,5,14,0.0,1018,9
2,2,2015-03-03,3,6,0.0,1023,9
3,3,2015-03-04,4,3,0.0,1024,11
4,4,2015-03-05,5,3,0.0,1027,13
5,5,2015-03-06,6,2,0.0,1029,13
6,6,2015-03-07,7,10,0.0,1025,15
7,7,2015-03-08,8,4,0.0,1021,16
8,8,2015-03-09,9,7,0.0,1018,17
9,9,2015-03-10,7,14,0.0,1018,9
10,10,2015-03-11,5,10,0.1,1019,9
11,11,2015-03-12,6,11,0.0,1015,10
12,12,2015-03-13,6,13,0.2,1012,9
13,13,2015-03-14,6,15,0.0,1013,9
14,14,2015-03-15,7,12,0.0,1012,10
15,15,2015-03-16,6,12,0.0,1017,9
16,16,2015-03-17,5,10,0.0,1020,8
17,17,2015-03-18,5,9,0.0,1019,9
18,18,2015-03-19,10,13,0.0,1018,14
19,19,2015-03-20,11,13,0.1,1012,14
20,20,2015-03-21,10,20,0.0,1019,11
21,21,2015-03-22,7,9,0.0,1015,10
22,22,2015-03-23,7,17,0.0,1014,8
23,23,2015-03-24,8,11,0.1,1023,10
24,24,2015-03-25,9,18,0.0,1023,11
25,25,2015-03-26,12,3,0.0,1022,18
26,26,2015-03-27,12,15,0.0,1015,17
27,27,2015-03-28,10,13,0.0,1026,14
28,28,2015-03-29,10,14,0.1,1022,14
29,29,2015-03-30,12,9,0.0,1015,16
30,30,2015-03-31,8,7,0.0,1018,11
31,31,2015-04-01,6,8,1.0,1023,10
32,32,2015-04-02,7,6,0.0,1028,12
33,33,2015-04-03,6,20,0.0,1020,8
34,34,2015-04-04,6,6,0.0,1017,13
35,35,2015-04-05,8,6,0.0,1007,14
36,36,2015-04-06,8,8,0.0,1011,11
37,37,2015-04-07,8,8,0.0,1012,12
38,38,2015-04-08,9,6,0.0,1018,15
39,39,2015-04-09,9,6,0.0,1017,16
40,40,2015-04-10,9,18,0.0,1011,12
41,41,2015-04-11,7,19,0.0,1014,10
42,42,2015-04-12,8,7,0.0,1022,11
43,43,2015-04-13,7,12,0.0,1016,11
44,44,2015-04-14,7,9,0.1,1018,12
45,45,2015-04-15,7,6,0.0,1026,10
46,46,2015-04-16,7,8,0.0,1026,11
47,47,2015-04-17,10,9,0.0,1023,19
48,48,2015-04-18,10,10,0.0,1025,16
49,49,2015-04-19,11,11,0.0,1019,18
50,50,2015-04-20,13,4,0.0,1011,24
51,51,2015-04-21,10,5,0.0,1013,14
52,52,2015-04-22,8,4,0.0,1019,14
53,53,2015-04-23,7,17,0.0,1009,8
54,54,2015-04-24,8,19,0.0,1009,10
55,55,2015-04-25,7,4,0.0,1015,13
56,56,2015-04-26,9,9,0.0,1023,14
57,57,2015-04-27,11,8,0.0,1021,14
58,58,2015-04-28,9,7,0.0,1018,13
59,59,2015-04-29,10,10,0.0,1023,15
60,60,2015-04-30,10,3,0.0,1023,17
61,61,2015-05-01,11,5,0.0,1015,17
62,62,2015-05-02,10,10,0.0,1016,18
63,63,2015-05-03,11,9,0.0,1014,18
64,64,2015-05-04,11,21,0.0,1012,15
65,65,2015-05-05,9,12,0.1,1017,12
66,66,2015-05-06,8,11,0.0,1018,14
67,67,2015-05-07,10,10,0.0,1017,18
68,68,2015-05-08,13,12,0.0,1016,21
69,69,2015-05-09,15,4,0.0,1018,25
70,70,2015-05-10,13,8,0.0,1017,19
71,71,2015-05-11,11,6,0.0,1013,16
72,72,2015-05-12,12,11,0.0,1010,14
73,73,2015-05-13,10,11,0.0,1011,12
74,74,2015-05-14,11,4,0.0,1011,17
75,75,2015-05-15,12,5,0.0,1010,19
76,76,2015-05-16,12,8,0.0,1014,15
77,77,2015-05-17,13,6,0.0,1018,18
78,78,2015-05-18,15,8,0.0,1017,24
79,79,2015-05-19,14,5,0.0,1017,21
80,80,2015-05-20,14,7,0.0,1013,24
81,81,2015-05-21,16,4,0.0,1011,25
82,82,2015-05-22,13,9,0.1,1014,18
