,Unnamed: 0,Latitude,Longitude,Date,Fire Intensity,Brightness,dist
4261,4261,47.5659,-122.3778,2015-03-16,4.0,300.7,5.671998836555394
12469,12469,47.5685,-122.3649,2015-04-01,6.3,303.4,4.928650599223441
18317,18317,47.5673,-122.3668,2015-04-19,5.4,310.9,5.11263026894938
18374,18374,47.5694,-122.3754,2015-04-19,5.6,310.5,5.249382710777209
20402,20402,47.5672,-122.3695,2015-04-26,5.3,306.4,5.219412286748485
24724,24724,47.5727,-122.3674,2015-05-19,7.7,312.8,4.612462722307995
25822,25822,47.2368,-122.1213,2015-05-28,6.8,310.9,44.315952439324626
25857,25857,47.2335,-122.1261,2015-05-28,3.3,309.2,44.529407484940236
26039,26039,47.5703,-122.3679,2015-05-30,7.4,317.2,4.86068359729332
27224,27224,47.574,-122.3632,2015-06-09,6.1,302.0,4.328426808053526
33352,33352,46.9127,-122.7051,2015-06-22,14.8,321.8,82.22650135281997
33353,33353,46.9105,-122.7186,2015-06-22,16.1,323.6,82.80757913815798
35549,35549,47.0143,-122.6264,2015-06-23,52.0,317.3,69.59506473746558
46953,46953,47.5698,-122.37100000000001,2015-06-27,6.8,306.8,5.029134243357222
48114,48114,46.911,-122.7193,2015-06-29,27.5,333.5,82.77392344147789
49527,49527,47.0121,-122.618,2015-06-30,78.9,320.3,69.63078924953733
49548,49548,47.022,-122.5951,2015-06-30,58.3,314.8,68.06553290426316
49549,49549,47.0089,-122.6412,2015-06-30,68.5,317.0,70.52298732180574
51198,51198,47.5722,-122.3722,2015-07-04,5.9,305.7,4.856528815886865
51324,51324,47.5735,-122.3679,2015-07-04,4.6,301.1,4.557016872791377
54669,54669,47.5771,-122.3686,2015-07-06,5.2,300.1,4.255886397890341
58032,58032,47.016999999999996,-122.5997,2015-07-07,86.1,316.6,68.69850260116188
58033,58033,47.0015,-122.6096,2015-07-07,52.0,311.8,70.5662780785339
58034,58034,47.0045,-122.6006,2015-07-07,60.1,312.9,70.05016380543123
58035,58035,47.02,-122.5908,2015-07-07,68.2,314.3,68.18632199434775
58501,58501,47.011,-122.6273,2015-07-09,51.7,318.3,69.96501909106583
58511,58511,47.0035,-122.6404,2015-07-09,70.8,312.8,71.07163538199653
63082,63082,46.9131,-122.7304,2015-07-15,22.3,331.4,82.85299656526793
63083,63083,46.915,-122.7175,2015-07-15,91.9,364.7,82.30922410797449
63327,63327,47.0374,-122.6588,2015-07-17,20.9,308.4,67.99820601736366
63384,63384,47.5692,-122.3689,2015-07-17,8.1,319.6,5.004187755621516
63700,63700,46.9968,-122.6031,2015-07-20,5.0,301.2,70.925244126657
63701,63701,47.5704,-122.3704,2015-07-20,7.1,306.4,4.948663505687835
64328,64328,47.8631,-121.8138,2015-07-22,6.2,310.6,48.23084990378272
70362,70362,47.0755,-122.2828,2015-08-01,30.6,321.0,59.36269074658255
70364,70364,47.0773,-122.2477,2015-08-01,163.5,343.7,59.39808017820305
70368,70368,47.0806,-122.2533,2015-08-01,177.6,345.5,58.98764149479363
71732,71732,46.9094,-122.7116,2015-08-04,86.2,356.0,82.73936289864874
71733,71733,46.9076,-122.6964,2015-08-04,17.1,323.4,82.5414375963575
73671,73671,47.0177,-122.4496,2015-08-07,26.8,327.8,66.22507172537998
73897,73897,47.0133,-122.4509,2015-08-07,20.0,329.7,66.72314035509456
74650,74650,47.5663,-122.3699,2015-08-09,6.8,317.6,5.321351338783912
77710,77710,47.1058,-122.50399999999999,2015-08-13,16.3,318.4,57.29130810887641
85810,85810,47.0105,-122.4322,2015-08-19,63.1,325.7,66.86293859468762
88635,88635,46.9076,-122.709,2015-08-20,25.1,319.5,82.86053944559546
102938,102938,47.0776,-122.3785,2015-08-28,25.8,315.7,59.08807877730687
105825,105825,47.0122,-122.4679,2015-09-04,97.3,339.9,67.02391257593806
105826,105826,47.013999999999996,-122.4448,2015-09-04,20.5,309.7,66.58725856612537
106826,106826,47.0312,-122.6578,2015-09-08,16.4,314.8,68.61608082315794
106827,106827,47.0339,-122.67299999999999,2015-09-08,40.5,331.8,68.75146758338644
111136,111136,47.5714,-122.3682,2015-09-21,8.2,309.4,4.767140239818904
113071,113071,47.5707,-122.3612,2015-09-28,4.0,304.9,4.586841339647051
114241,114241,47.5697,-122.3645,2015-10-03,6.2,306.8,4.796152166680289
114315,114315,47.5659,-122.3752,2015-10-03,5.1,306.4,5.564341472163939
114783,114783,47.0703,-122.4804,2015-10-05,10.1,307.5,60.80326584710896
114784,114784,47.5658,-122.374,2015-10-05,4.5,303.0,5.5257211361444405
122687,122687,48.3801,-121.9893,2015-10-21,9.0,305.4,89.65474477076873
125479,125479,47.1377,-123.1469,2015-11-02,11.3,304.2,80.46938996375522
125988,125988,48.2693,-122.0996,2015-11-04,9.5,304.4,75.62025013580828
125989,125989,48.2668,-122.0855,2015-11-04,10.9,306.6,75.60156528376457
127364,127364,48.3146,-122.2643,2015-11-11,13.8,306.7,78.77059435099534
127568,127568,48.312,-122.2738,2015-11-11,10.7,305.1,78.43764612143818
129514,129514,46.7445,-122.2506,2015-11-20,11.8,306.3,96.26097572413747
139773,139773,47.5677,-122.3721,2016-02-08,7.1,303.7,5.270974513017349
168246,168246,46.9867,-122.6966,2016-04-07,4.1,302.6,74.29217358011643
174671,174671,47.5738,-122.3671,2016-04-19,5.6,301.7,4.49668382280829
175018,175018,47.5681,-122.369,2016-04-19,7.2,318.4,5.113849808197076
177371,177371,47.5673,-122.3671,2016-04-30,6.2,313.5,5.123115630158056
177432,177432,47.5689,-122.3736,2016-04-30,7.3,313.0,5.219197566217442
180045,180045,47.8984,-123.3137,2016-05-12,4.1,301.3,79.98787689954231
180059,180059,48.2901,-121.9749,2016-05-13,90.8,315.7,80.47590183628449
180060,180060,48.2925,-121.9707,2016-05-13,84.0,314.4,80.83197115524537
180061,180061,48.2876,-121.9648,2016-05-13,37.7,303.4,80.46891958904055
180062,180062,48.3019,-121.97200000000001,2016-05-13,42.6,305.1,81.78462622842588
180324,180324,47.8219,-121.6444,2016-05-14,377.9,414.3,56.9066721566916
180325,180325,47.8242,-121.6306,2016-05-14,780.5,450.9,57.9510704288822
180326,180326,47.8264,-121.617,2016-05-14,46.7,340.3,58.97791240868375
180327,180327,47.8153,-121.6269,2016-05-14,9.0,309.0,57.80531003668056
180330,180330,47.5706,-122.3746,2016-05-14,5.0,300.5,5.105724529124754
180333,180333,47.8215,-121.6052,2016-05-14,9.7,303.6,59.566667019686264
