,Dates,Temperature,Wind Speed,Precipitation,Pressure,Heat Index
0,2015-03-01,13,6,0.0,1027,17
1,2015-03-02,15,7,0.0,1026,16
2,2015-03-03,18,13,0.0,1019,21
3,2015-03-04,20,16,0.0,1014,26
4,2015-03-05,5,21,0.0,1027,1
5,2015-03-06,2,14,0.0,1033,8
6,2015-03-07,6,3,0.0,1031,19
7,2015-03-08,10,7,0.0,1024,19
8,2015-03-09,12,11,0.0,1020,13
9,2015-03-10,16,12,0.0,1019,22
10,2015-03-11,15,11,0.0,1018,19
11,2015-03-12,13,14,0.0,1019,17
12,2015-03-13,13,11,0.0,1020,18
13,2015-03-14,14,12,0.0,1019,19
14,2015-03-15,14,11,0.0,1019,20
15,2015-03-16,14,10,0.0,1020,20
16,2015-03-17,15,12,0.0,1019,21
17,2015-03-18,16,10,0.0,1017,21
18,2015-03-19,18,5,0.0,1017,25
19,2015-03-20,20,10,0.0,1019,27
20,2015-03-21,18,7,0.0,1019,24
21,2015-03-22,17,4,0.0,1013,20
22,2015-03-23,15,13,0.0,1017,18
23,2015-03-24,16,8,0.0,1019,25
24,2015-03-25,18,10,0.0,1018,25
25,2015-03-26,17,6,0.0,1011,25
26,2015-03-27,11,15,0.0,1017,16
27,2015-03-28,9,3,0.0,1025,17
28,2015-03-29,12,14,0.0,1025,19
29,2015-03-30,18,12,0.0,1023,26
30,2015-03-31,20,15,0.0,1018,27
31,2015-04-01,20,12,0.0,1018,26
32,2015-04-02,22,18,0.0,1019,27
33,2015-04-03,23,17,0.0,1017,30
34,2015-04-04,16,15,0.0,1025,19
35,2015-04-05,14,10,0.0,1020,24
36,2015-04-06,19,8,0.0,1020,26
37,2015-04-07,22,11,0.0,1021,28
38,2015-04-08,23,11,0.0,1019,30
39,2015-04-09,23,18,0.0,1017,30
40,2015-04-10,22,10,0.0,1018,28
41,2015-04-11,19,7,0.0,1020,27
42,2015-04-12,20,10,0.0,1018,27
43,2015-04-13,18,12,0.0,1018,26
44,2015-04-14,18,13,0.0,1017,23
45,2015-04-15,16,16,0.0,1019,22
46,2015-04-16,19,6,0.0,1017,19
47,2015-04-17,21,8,0.0,1016,26
48,2015-04-18,19,9,0.0,1013,21
49,2015-04-19,22,18,0.0,1008,28
50,2015-04-20,19,18,0.0,1011,25
51,2015-04-21,16,6,0.0,1017,24
52,2015-04-22,19,7,0.0,1015,28
53,2015-04-23,21,6,0.0,1014,30
54,2015-04-24,20,11,0.0,1015,26
55,2015-04-25,24,21,0.0,1008,29
56,2015-04-26,22,8,0.0,1007,30
57,2015-04-27,19,13,0.0,1010,25
58,2015-04-28,20,13,0.0,1016,27
59,2015-04-29,17,13,0.0,1010,24
60,2015-04-30,18,10,0.0,1013,25
61,2015-05-01,18,7,0.0,1017,25
62,2015-05-02,18,4,0.0,1019,27
63,2015-05-03,20,9,0.0,1020,27
64,2015-05-04,20,7,0.0,1023,26
65,2015-05-05,21,14,0.0,1022,28
66,2015-05-06,21,10,0.0,1018,28
67,2015-05-07,23,9,0.0,1018,30
68,2015-05-08,23,12,0.0,1017,31
69,2015-05-09,23,9,0.0,1018,28
70,2015-05-10,24,12,0.0,1018,32
71,2015-05-11,24,12,0.0,1019,32
72,2015-05-12,24,6,0.0,1023,31
73,2015-05-13,24,6,0.0,1022,32
74,2015-05-14,23,8,0.0,1021,29
75,2015-05-15,24,14,0.0,1019,32
76,2015-05-16,24,18,0.0,1018,31
77,2015-05-17,24,16,0.0,1020,31
78,2015-05-18,24,5,0.0,1023,29
79,2015-05-19,25,3,0.0,1019,36
80,2015-05-20,24,10,0.0,1016,33
81,2015-05-21,23,7,0.0,1017,31
82,2015-05-22,19,8,0.0,1022,25
83,2015-05-23,23,7,0.0,1023,33
84,2015-05-24,24,21,0.0,1019,33
85,2015-05-25,23,15,0.0,1020,30
86,2015-05-26,24,5,0.0,1018,33
87,2015-05-27,23,14,0.0,1020,32
88,2015-05-28,24,6,0.0,1020,32
89,2015-05-29,24,12,0.0,1019,32
90,2015-05-30,25,8,0.0,1018,33
91,2015-05-31,24,6,0.0,1016,32
92,2015-06-01,24,2,0.0,1017,33
93,2015-06-02,24,8,0.0,1016,31
94,2015-06-03,24,6,0.0,1013,31
95,2015-06-04,24,8,0.0,1016,31
96,2015-06-05,25,6,0.0,1017,33
97,2015-06-06,26,10,0.0,1015,33
98,2015-06-07,27,5,0.0,1015,37
99,2015-06-08,27,9,0.0,1015,36
100,2015-06-09,25,6,0.0,1013,33
101,2015-06-10,26,3,0.3,1011,41
102,2015-06-11,25,4,0.0,1014,37
103,2015-06-12,25,14,0.0,1017,33
104,2015-06-13,26,14,1.1,1017,36
105,2015-06-14,27,14,0.7,1017,36
106,2015-06-15,27,14,0.0,1018,36
107,2015-06-16,27,10,0.1,1018,37
108,2015-06-17,25,3,0.0,1018,29
109,2015-06-18,28,13,0.0,1018,38
110,2015-06-19,28,14,0.0,1017,37
111,2015-06-20,28,11,0.0,1018,37
112,2015-06-21,28,6,0.0,1020,40
113,2015-06-22,30,4,0.0,1020,44
114,2015-06-23,30,6,0.0,1020,42
115,2015-06-24,28,7,0.0,1020,38
116,2015-06-25,27,4,0.0,1019,41
117,2015-06-26,27,9,0.0,1016,37
118,2015-06-27,27,13,0.0,1014,37
119,2015-06-28,26,2,0.0,1016,34
120,2015-06-29,26,12,0.0,1016,34
121,2015-06-30,25,7,0.0,1018,30
122,2015-07-01,26,13,0.0,1018,36
123,2015-07-02,26,14,0.0,1018,31
124,2015-07-03,28,14,0.0,1017,37
125,2015-07-04,26,11,0.0,1018,34
126,2015-07-05,24,9,0.0,1021,30
127,2015-07-06,26,10,0.0,1021,35
128,2015-07-07,28,12,0.0,1020,38
129,2015-07-08,28,10,0.0,1020,38
130,2015-07-09,29,3,0.0,1020,42
131,2015-07-10,28,6,0.0,1021,39
132,2015-07-11,28,8,0.0,1022,38
133,2015-07-12,29,5,0.0,1019,40
134,2015-07-13,29,5,0.0,1014,37
135,2015-07-14,29,9,0.0,1013,39
136,2015-07-15,29,10,0.0,1013,39
137,2015-07-16,30,6,0.0,1016,39
138,2015-07-17,29,8,0.0,1016,40
139,2015-07-18,30,6,0.0,1017,42
140,2015-07-19,30,8,0.0,1017,41
141,2015-07-20,30,7,0.0,1014,42
142,2015-07-21,29,9,0.0,1013,40
143,2015-07-22,29,8,0.0,1014,40
144,2015-07-23,29,12,0.0,1016,38
145,2015-07-24,29,12,0.0,1016,40
146,2015-07-25,29,12,0.0,1013,40
147,2015-07-26,28,7,0.0,1014,39
148,2015-07-27,29,6,0.0,1015,39
149,2015-07-28,30,3,0.0,1016,43
150,2015-07-29,29,12,0.0,1016,40
151,2015-07-30,30,12,0.0,1016,41
152,2015-07-31,27,12,0.0,1015,33
153,2015-08-01,27,13,0.0,1014,32
154,2015-08-02,28,7,0.0,1013,37
155,2015-08-03,29,9,0.0,1013,36
156,2015-08-04,30,5,0.0,1015,40
157,2015-08-05,29,5,0.0,1016,42
158,2015-08-06,30,16,0.0,1014,38
159,2015-08-07,30,13,0.0,1013,41
160,2015-08-08,30,8,0.0,1013,42
161,2015-08-09,31,8,0.0,1014,41
162,2015-08-10,31,3,0.0,1014,47
163,2015-08-11,29,12,0.0,1015,39
164,2015-08-12,28,10,0.0,1016,38
165,2015-08-13,27,8,0.0,1016,35
166,2015-08-14,27,6,0.0,1017,36
167,2015-08-15,27,15,0.0,1017,34
168,2015-08-16,26,12,0.0,1017,33
169,2015-08-17,26,14,0.0,1016,34
170,2015-08-18,27,11,0.0,1014,37
171,2015-08-19,26,15,0.0,1015,35
172,2015-08-20,26,5,0.0,1016,37
173,2015-08-21,28,1,0.0,1017,41
174,2015-08-22,29,3,0.0,1017,43
175,2015-08-23,28,10,0.2,1016,38
176,2015-08-24,28,10,0.0,1016,37
177,2015-08-25,24,12,0.0,1018,28
178,2015-08-26,22,15,0.0,1018,28
179,2015-08-27,23,11,0.0,1016,30
180,2015-08-28,26,10,0.0,1016,33
181,2015-08-29,25,8,0.0,1018,34
182,2015-08-30,26,6,0.0,1017,35
183,2015-08-31,28,8,0.0,1017,36
184,2015-09-01,26,12,0.0,1015,35
185,2015-09-02,27,4,0.0,1018,34
186,2015-09-03,27,6,0.0,1015,37
187,2015-09-04,26,11,0.0,1015,33
188,2015-09-05,24,10,0.0,1015,31
189,2015-09-06,28,9,0.0,1016,37
190,2015-09-07,23,6,0.0,1016,25
191,2015-09-08,26,5,0.0,1014,36
192,2015-09-09,26,5,0.0,1014,36
193,2015-09-10,25,2,0.0,1014,36
194,2015-09-11,24,11,0.0,1015,31
195,2015-09-12,22,14,0.0,1014,27
196,2015-09-13,18,10,0.0,1019,24
197,2015-09-14,19,9,0.0,1021,26
198,2015-09-15,21,10,0.0,1023,28
199,2015-09-16,25,9,0.0,1017,33
200,2015-09-17,25,9,0.0,1016,34
201,2015-09-18,25,8,0.0,1016,34
202,2015-09-19,24,9,0.0,1017,33
203,2015-09-20,29,3,0.0,1015,40
204,2015-09-21,22,7,0.0,1016,25
205,2015-09-22,22,11,0.0,1017,29
206,2015-09-23,23,12,0.0,1018,31
207,2015-09-24,24,14,0.0,1017,31
208,2015-09-25,24,11,0.0,1015,30
209,2015-09-26,24,4,0.0,1014,34
210,2015-09-27,22,11,0.0,1015,26
211,2015-09-28,22,11,0.0,1011,26
212,2015-09-29,23,9,0.0,1010,29
213,2015-09-30,23,14,0.0,1012,30
214,2015-10-01,20,16,0.0,1013,25
215,2015-10-02,17,15,0.0,1010,25
216,2015-10-03,16,12,0.0,1009,19
217,2015-10-04,16,14,0.0,1012,20
218,2015-10-05,20,12,0.0,1015,28
219,2015-10-06,23,5,0.0,1017,32
220,2015-10-07,24,2,0.0,1017,34
221,2015-10-08,24,7,0.0,1018,31
222,2015-10-09,24,3,0.0,1018,34
223,2015-10-10,18,12,0.0,1019,20
224,2015-10-11,16,6,0.0,1016,25
225,2015-10-12,20,10,0.0,1012,27
226,2015-10-13,22,8,0.0,1013,28
227,2015-10-14,19,6,0.0,1018,27
228,2015-10-15,21,3,0.0,1020,33
229,2015-10-16,21,12,0.0,1021,28
230,2015-10-17,17,17,0.0,1026,22
231,2015-10-18,15,15,0.0,1028,21
232,2015-10-19,14,11,0.0,1027,22
233,2015-10-20,17,10,0.0,1024,26
234,2015-10-21,19,9,0.0,1024,27
235,2015-10-22,21,12,0.0,1022,29
236,2015-10-23,19,6,0.0,1020,19
237,2015-10-24,16,12,0.0,1019,23
238,2015-10-25,20,14,0.0,1016,20
239,2015-10-26,20,27,0.0,1009,20
240,2015-10-27,21,10,0.0,1007,25
241,2015-10-28,20,11,0.0,1010,25
242,2015-10-29,19,12,0.0,1013,26
243,2015-10-30,17,11,0.0,1017,25
244,2015-10-31,19,17,0.0,1011,25
245,2015-11-01,19,5,0.0,1014,20
246,2015-11-02,19,11,0.0,1013,20
247,2015-11-03,19,6,0.0,1018,21
248,2015-11-04,20,4,0.0,1020,25
249,2015-11-05,22,8,0.0,1020,28
250,2015-11-06,23,6,0.0,1019,29
251,2015-11-07,19,9,0.0,1020,20
252,2015-11-08,15,11,0.0,1019,18
253,2015-11-09,14,10,0.0,1020,18
254,2015-11-10,14,6,0.0,1021,21
255,2015-11-11,17,12,0.0,1016,25
256,2015-11-12,17,8,0.0,1020,19
257,2015-11-13,13,15,0.0,1024,18
258,2015-11-14,11,16,0.0,1029,17
259,2015-11-15,11,7,0.0,1027,17
260,2015-11-16,17,11,0.0,1020,25
261,2015-11-17,22,19,0.0,1012,27
262,2015-11-18,15,7,0.0,1012,14
263,2015-11-19,14,11,0.0,1020,20
264,2015-11-20,14,11,0.0,1020,20
265,2015-11-21,12,2,0.0,1016,15
266,2015-11-22,5,14,0.0,1023,8
267,2015-11-23,5,5,0.0,1027,13
268,2015-11-24,8,9,0.0,1027,15
269,2015-11-25,12,16,0.0,1027,20
270,2015-11-26,16,15,0.0,1030,24
271,2015-11-27,18,12,0.0,1026,25
272,2015-11-28,18,9,0.0,1022,25
273,2015-11-29,19,7,0.0,1019,24
274,2015-11-30,19,12,0.0,1017,26
275,2015-12-01,17,3,0.0,1015,17
276,2015-12-02,12,10,0.0,1017,12
277,2015-12-03,5,8,0.0,1025,5
278,2015-12-04,7,9,0.0,1031,13
279,2015-12-05,9,7,0.0,1032,16
280,2015-12-06,12,1,0.0,1029,21
281,2015-12-07,12,7,0.0,1024,19
282,2015-12-08,11,7,0.0,1020,18
283,2015-12-09,15,13,0.0,1016,24
284,2015-12-10,17,14,0.0,1015,24
285,2015-12-11,20,17,0.0,1016,26
286,2015-12-12,19,15,0.0,1019,26
287,2015-12-13,21,19,0.0,1011,25
288,2015-12-14,14,15,0.0,1010,19
289,2015-12-15,13,6,0.0,1013,20
290,2015-12-16,16,9,0.0,1011,24
291,2015-12-17,13,11,0.0,1014,14
292,2015-12-18,10,7,0.0,1022,14
293,2015-12-19,10,12,0.0,1021,14
294,2015-12-20,12,15,0.0,1018,16
295,2015-12-21,15,14,0.0,1019,18
296,2015-12-22,19,9,0.0,1012,20
297,2015-12-23,20,24,0.0,1006,25
298,2015-12-24,22,14,0.0,1015,27
299,2015-12-25,22,13,0.0,1019,27
300,2015-12-26,22,12,0.0,1019,25
301,2015-12-27,22,13,0.0,1013,25
302,2015-12-28,9,9,0.0,1023,11
303,2015-12-29,11,2,0.0,1020,16
304,2015-12-30,12,7,0.0,1023,12
305,2015-12-31,9,11,0.0,1024,10
