,Dates,Temperature,Wind Speed,Precipitation,Pressure,Heat Index
0,2016-01-01,6,16,0.0,1028,9
1,2016-01-02,6,8,0.0,1028,8
2,2016-01-03,6,5,0.0,1022,11
3,2016-01-04,6,12,0.0,1026,10
4,2016-01-05,3,11,0.0,1029,8
5,2016-01-06,5,8,0.0,1025,11
6,2016-01-07,7,9,0.0,1017,10
7,2016-01-08,11,5,0.0,1014,13
8,2016-01-09,12,7,0.0,1007,15
9,2016-01-10,5,15,0.0,1023,6
10,2016-01-11,1,2,0.0,1026,9
11,2016-01-12,5,10,0.0,1025,13
12,2016-01-13,7,5,0.0,1025,15
13,2016-01-14,9,9,0.0,1018,15
14,2016-01-15,11,13,0.0,1006,15
15,2016-01-16,10,5,0.0,1013,15
16,2016-01-17,6,11,0.0,1020,9
17,2016-01-18,3,10,0.0,1029,8
18,2016-01-19,3,8,0.0,1031,9
19,2016-01-20,11,13,0.0,1021,17
20,2016-01-21,14,11,0.0,1016,17
21,2016-01-22,6,24,0.0,1014,3
22,2016-01-23,1,14,0.0,1023,4
23,2016-01-24,3,6,0.0,1023,10
24,2016-01-25,8,8,0.0,1021,11
25,2016-01-26,13,10,0.0,1020,15
26,2016-01-27,6,12,0.0,1022,8
27,2016-01-28,6,9,0.0,1018,10
28,2016-01-29,10,5,0.0,1019,18
29,2016-01-30,12,17,0.0,1018,19
30,2016-01-31,16,14,0.0,1015,20
31,2016-02-01,19,8,0.0,1014,25
32,2016-02-02,20,17,0.0,1010,24
33,2016-02-03,13,9,0.0,1017,14
34,2016-02-04,6,16,0.0,1026,10
35,2016-02-05,4,9,0.0,1033,9
36,2016-02-06,4,9,0.0,1027,11
37,2016-02-07,7,3,0.0,1024,15
38,2016-02-08,7,21,0.0,1017,11
39,2016-02-09,4,19,0.0,1018,8
40,2016-02-10,3,10,0.0,1027,7
41,2016-02-11,11,13,0.0,1021,19
42,2016-02-12,14,14,0.0,1023,19
43,2016-02-13,6,11,0.0,1031,9
44,2016-02-14,8,15,0.0,1023,14
45,2016-02-15,14,22,0.0,1009,19
46,2016-02-16,11,14,0.0,1013,17
47,2016-02-17,9,8,0.0,1025,13
48,2016-02-18,10,9,0.0,1029,17
49,2016-02-19,13,14,0.0,1026,20
50,2016-02-20,17,11,0.0,1023,20
51,2016-02-21,18,10,0.0,1020,25
52,2016-02-22,16,8,0.0,1014,17
53,2016-02-23,17,13,0.0,1006,20
54,2016-02-24,9,18,0.0,1012,8
55,2016-02-25,8,15,0.0,1021,15
56,2016-02-26,6,6,0.0,1029,12
57,2016-02-27,8,0,0.0,1027,18
58,2016-02-28,11,13,0.0,1022,18
59,2016-02-29,15,5,0.0,1020,21
60,2016-03-01,17,19,0.0,1017,25
61,2016-03-02,11,10,0.0,1023,15
62,2016-03-03,12,20,0.0,1014,14
63,2016-03-04,11,10,0.0,1022,15
64,2016-03-05,12,6,0.0,1023,20
65,2016-03-06,14,9,0.0,1024,20
66,2016-03-07,15,16,0.0,1021,24
67,2016-03-08,17,19,0.0,1019,24
68,2016-03-09,20,18,0.0,1016,25
69,2016-03-10,20,17,0.0,1016,25
70,2016-03-11,19,12,0.0,1020,20
71,2016-03-12,18,13,0.0,1017,24
72,2016-03-13,19,14,0.0,1012,25
73,2016-03-14,19,15,0.0,1012,24
74,2016-03-15,20,16,0.0,1012,27
75,2016-03-16,20,6,0.0,1017,25
76,2016-03-17,18,6,0.0,1015,25
77,2016-03-18,16,10,0.0,1013,18
78,2016-03-19,14,18,0.0,1016,14
79,2016-03-20,8,18,0.0,1022,12
80,2016-03-21,7,4,0.0,1030,16
81,2016-03-22,11,15,0.0,1026,17
82,2016-03-23,16,19,0.0,1018,25
83,2016-03-24,19,15,0.0,1010,24
84,2016-03-25,13,7,0.0,1015,19
85,2016-03-26,17,7,0.0,1016,26
86,2016-03-27,19,9,0.0,1018,19
87,2016-03-28,18,3,0.0,1020,27
88,2016-03-29,16,11,0.0,1020,25
89,2016-03-30,18,19,0.0,1016,27
90,2016-03-31,21,18,0.0,1009,26
91,2016-04-01,17,13,0.0,1012,15
92,2016-04-02,13,18,0.0,1019,18
93,2016-04-03,14,1,0.0,1022,25
94,2016-04-04,16,10,0.0,1022,24
95,2016-04-05,18,8,0.0,1024,25
96,2016-04-06,18,21,0.0,1017,25
97,2016-04-07,18,7,0.0,1015,25
98,2016-04-08,16,18,0.0,1019,20
99,2016-04-09,15,7,0.0,1022,24
100,2016-04-10,18,20,0.0,1021,25
101,2016-04-11,18,19,0.0,1019,24
102,2016-04-12,19,8,0.1,1020,24
103,2016-04-13,18,12,0.0,1018,26
104,2016-04-14,18,13,0.0,1017,23
105,2016-04-15,16,16,0.0,1019,22
