latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-24.418,151.512,315.3,1,1,2020-09-21,00:00,T,49,6.0NRT,296.9,9.1,D
-24.408,151.499,328.3,1,1,2020-09-21,00:00,T,81,6.0NRT,296.7,22.7,D
-24.41,151.509,341.7,1,1,2020-09-21,00:00,T,91,6.0NRT,300.7,42.8,D
-24.416,151.502,325.1,1,1,2020-09-21,00:00,T,67,6.0NRT,294.5,18.5,D
-25.507,150.818,324.7,1.1,1,2020-09-21,00:05,T,72,6.0NRT,303.5,14.4,D
-25.509,150.828,318.9,1.1,1,2020-09-21,00:05,T,59,6.0NRT,302.6,8.1,D
-25.45,149.781,321.4,1.2,1.1,2020-09-21,00:05,T,68,6.0NRT,303.9,11.2,D
-25.452,149.793,322.1,1.2,1.1,2020-09-21,00:05,T,70,6.0NRT,302.2,12.5,D
-25.461,149.791,326.5,1.2,1.1,2020-09-21,00:05,T,76,6.0NRT,302.2,17.3,D
-25.921,152.435,330.8,1,1,2020-09-21,00:05,T,82,6.0NRT,301.5,22.1,D
-25.876,151.039,318.3,1,1,2020-09-21,00:05,T,56,6.0NRT,303.6,7.2,D
-25.877,151.049,320.6,1,1,2020-09-21,00:05,T,64,6.0NRT,302.7,9.3,D
-26.143,152.629,328,1,1,2020-09-21,00:05,T,79,6.0NRT,299.2,19,D
-25.88,150.211,319.6,1.1,1,2020-09-21,00:05,T,48,6.0NRT,302.1,6.5,D
-25.882,150.222,327.9,1.1,1,2020-09-21,00:05,T,77,6.0NRT,302.8,17.1,D
-25.884,150.233,323.4,1.1,1,2020-09-21,00:05,T,66,6.0NRT,303,11.4,D
-26.176,149.704,322.6,1.1,1.1,2020-09-21,00:05,T,71,6.0NRT,299.8,15.3,D
-26.178,149.715,344.9,1.1,1.1,2020-09-21,00:05,T,92,6.0NRT,300.4,53.8,D
-27.342,152.342,315.7,1,1,2020-09-21,00:05,T,30,6.0NRT,300.2,5.3,D
-28.289,153.413,319.5,1.1,1,2020-09-21,00:05,T,73,6.0NRT,299,12.3,D
-28.291,153.424,328.7,1.1,1,2020-09-21,00:05,T,82,6.0NRT,299.5,23.2,D
-28.885,152.137,320.4,1,1,2020-09-21,00:05,T,73,6.0NRT,294.3,14.6,D
-30.188,152.79,308.2,1.1,1,2020-09-21,00:05,T,51,6.0NRT,294.4,6.1,D
-30.198,152.788,365.9,1.1,1,2020-09-21,00:05,T,100,6.0NRT,296.5,108.6,D
-30.199,152.799,374.1,1.1,1,2020-09-21,00:05,T,100,6.0NRT,298.8,138.6,D
-30.201,152.81,311.9,1.1,1,2020-09-21,00:05,T,69,6.0NRT,293.7,9.3,D
-29.277,145.459,312.9,1.8,1.3,2020-09-21,00:05,T,63,6.0NRT,296.4,16,D
-34.46,150.885,318.9,1,1,2020-09-21,00:05,T,59,6.0NRT,299.4,10.8,D
-34.621,145.907,313.3,1.3,1.1,2020-09-21,00:05,T,72,6.0NRT,293.8,13.4,D
-34.623,145.922,307.2,1.3,1.1,2020-09-21,00:05,T,58,6.0NRT,294.4,6.8,D
-25.372,150.585,320.7,1.1,1,2020-09-21,00:05,T,59,6.0NRT,302.5,8.9,D
-25.277,149.554,315.7,1.2,1.1,2020-09-21,00:05,T,34,6.0NRT,300.5,7.2,D
-25.279,149.566,318.6,1.2,1.1,2020-09-21,00:05,T,47,6.0NRT,300.6,10,D
-14.842,131.859,331.4,1.1,1,2020-09-21,01:40,T,62,6.0NRT,296.2,19.9,D
-15.105,131.501,416.5,1.1,1,2020-09-21,01:40,T,100,6.0NRT,310.3,377.9,D
-15.113,131.49,359.1,1.1,1,2020-09-21,01:40,T,99,6.0NRT,302.8,72.2,D
-15.115,131.5,406.3,1.1,1,2020-09-21,01:40,T,100,6.0NRT,301.1,297.7,D
-13.959,123.318,310,2.4,1.5,2020-09-21,01:40,T,23,6.0NRT,294.5,23.2,D
-15.383,131.396,333,1,1,2020-09-21,01:40,T,63,6.0NRT,304.1,19.3,D
-15.465,128.874,336.8,1,1,2020-09-21,01:40,T,78,6.0NRT,308.3,20.8,D
-15.466,128.884,339.4,1,1,2020-09-21,01:40,T,82,6.0NRT,307.7,25.3,D
-16.854,137.092,326,2.5,1.5,2020-09-21,01:40,T,61,6.0NRT,304.9,34.9,D
-11.17,132.343,321.4,1.1,1,2020-09-21,01:40,T,36,6.0NRT,300.6,8,D
-12.213,136.408,319,1.9,1.3,2020-09-21,01:40,T,0,6.0NRT,299.8,20.1,D
-11.95,134.116,339.9,1.3,1.1,2020-09-21,01:40,T,87,6.0NRT,302.5,45.3,D
-11.977,134.088,333.8,1.3,1.1,2020-09-21,01:40,T,80,6.0NRT,301.5,30.7,D
