latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
41.181,-87.862,303.4,1,1,2020-08-15,03:55,T,55,6.0NRT,292.6,5.4,N
42.295,-83.158,312.2,1.6,1.3,2020-08-15,03:55,T,84,6.0NRT,290.3,21.5,N
42.293,-83.178,302.2,1.6,1.3,2020-08-15,03:55,T,45,6.0NRT,288.4,8.2,N
41.482,-90.829,306,1,1,2020-08-15,03:55,T,67,6.0NRT,293.1,7.4,N
51.342,-85.662,305.9,1.6,1.2,2020-08-15,04:00,T,63,6.0NRT,285.9,16.5,N
40.602,-105.884,301,2.1,1.4,2020-08-15,05:35,T,8,6.0NRT,284.2,18,N
44.875,-113.384,308.4,1,1,2020-08-15,05:35,T,74,6.0NRT,284,11.6,N
44.891,-113.402,309,1,1,2020-08-15,05:35,T,68,6.0NRT,281.8,11.8,N
44.918,-113.34,328.4,1,1,2020-08-15,05:35,T,100,6.0NRT,284.7,31.7,N
44.924,-113.348,305.6,1,1,2020-08-15,05:35,T,65,6.0NRT,281.5,10.8,N
40.622,-105.787,334.6,2.1,1.4,2020-08-15,05:35,T,100,6.0NRT,293,108,N
40.621,-105.808,328.7,2.1,1.4,2020-08-15,05:35,T,64,6.0NRT,290.8,81.1,N
40.635,-105.788,309,2.1,1.4,2020-08-15,05:35,T,67,6.0NRT,285.1,32.4,N
40.633,-105.81,316,2.1,1.4,2020-08-15,05:35,T,48,6.0NRT,289.1,45,N
40.644,-105.837,314.7,2.1,1.4,2020-08-15,05:35,T,53,6.0NRT,286.1,41,N
40.642,-105.861,309,2.1,1.4,2020-08-15,05:35,T,47,6.0NRT,285.7,30,N
41.154,-123.49,304,2.5,1.5,2020-08-15,05:35,T,30,6.0NRT,292.6,17.6,N
41.16,-123.5,312.9,2.5,1.5,2020-08-15,05:35,T,86,6.0NRT,293.4,39.3,N
41.208,-123.42,302.5,2.5,1.5,2020-08-15,05:35,T,42,6.0NRT,291.8,13.2,N
41.185,-123.518,310.4,2.5,1.5,2020-08-15,05:35,T,80,6.0NRT,294.6,29.8,N
41.179,-123.541,316.5,2.5,1.5,2020-08-15,05:35,T,93,6.0NRT,294.3,48.8,N
41.198,-123.523,327,2.5,1.5,2020-08-15,05:35,T,100,6.0NRT,295.6,89.7,N
41.191,-123.552,331.2,2.5,1.5,2020-08-15,05:35,T,100,6.0NRT,295.4,110.7,N
51.442,-88.625,300.8,1,1,2020-08-15,08:05,A,33,6.0NRT,288.9,4.4,N
51.444,-88.639,302.3,1,1,2020-08-15,08:05,A,48,6.0NRT,289.1,5.3,N
40.638,-89.631,312.6,1.1,1,2020-08-15,08:10,A,85,6.0NRT,292.7,12.6,N
40.64,-105.795,305.6,2.9,1.6,2020-08-15,09:45,A,51,6.0NRT,283.7,45.5,N
40.625,-105.8,323.8,2.9,1.6,2020-08-15,09:45,A,100,6.0NRT,284.4,115.3,N
40.625,-105.808,317.8,2.9,1.6,2020-08-15,09:45,A,45,6.0NRT,283,82.5,N
41.21,-123.403,307.4,1.8,1.3,2020-08-15,09:45,A,71,6.0NRT,291.8,17.4,N
41.162,-123.488,312.3,1.9,1.3,2020-08-15,09:45,A,45,6.0NRT,293.5,23.5,N
41.185,-123.548,309.4,1.9,1.3,2020-08-15,09:45,A,77,6.0NRT,294,19.6,N
44.879,-113.377,306.3,1,1,2020-08-15,09:45,A,68,6.0NRT,282.5,11.6,N
40.647,-105.827,305.3,2.9,1.6,2020-08-15,09:45,A,61,6.0NRT,282.4,44.3,N
52.055,-59.34,306.1,2.2,1.5,2020-08-15,15:50,T,61,6.0NRT,295.5,16.7,D
52.052,-59.335,310.3,2.2,1.5,2020-08-15,15:50,T,69,6.0NRT,296.1,25.7,D
45.913,-75.881,306.3,1.1,1.1,2020-08-15,15:55,T,51,6.0NRT,295.3,5.2,D
43.174,-73.741,309.1,1,1,2020-08-15,15:55,T,39,6.0NRT,297.9,4.2,D
40.602,-105.877,336.8,1.7,1.3,2020-08-15,17:35,T,70,6.0NRT,306.2,64.2,D
40.6,-105.86,348.3,1.7,1.3,2020-08-15,17:35,T,66,6.0NRT,303.8,108.7,D
43.251,-93.643,309.5,1.3,1.1,2020-08-15,17:35,T,49,6.0NRT,297.2,8.7,D
42.878,-97.638,319.5,1,1,2020-08-15,17:35,T,63,6.0NRT,301.7,11.9,D
42.238,-96.999,313.3,1.1,1,2020-08-15,17:35,T,56,6.0NRT,302.1,7.7,D
42.466,-99.209,323.8,1,1,2020-08-15,17:35,T,75,6.0NRT,302.9,12.4,D
42.464,-99.197,324.8,1,1,2020-08-15,17:35,T,76,6.0NRT,303.4,14.1,D
40.656,-105.865,331.5,1.7,1.3,2020-08-15,17:35,T,49,6.0NRT,289.7,51.4,D
52.05,-59.33,314.1,2.8,1.6,2020-08-15,17:40,A,72,6.0NRT,296.1,45.2,D
41.181,-123.436,334.1,1,1,2020-08-15,19:10,T,85,6.0NRT,301.6,26.2,D
41.151,-123.48,350.1,1,1,2020-08-15,19:10,T,95,6.0NRT,302.1,54.6,D
41.153,-123.492,332.7,1,1,2020-08-15,19:10,T,83,6.0NRT,302.5,24.5,D
41.162,-123.489,327.6,1,1,2020-08-15,19:10,T,78,6.0NRT,300.9,18.7,D
41.164,-123.501,319.5,1,1,2020-08-15,19:10,T,22,6.0NRT,301.5,9.8,D
41.162,-123.429,334.6,1,1,2020-08-15,19:10,T,82,6.0NRT,304.9,25.7,D
41.164,-123.441,327.1,1,1,2020-08-15,19:10,T,73,6.0NRT,304.3,16.8,D
41.171,-123.487,320.5,1,1,2020-08-15,19:10,T,38,6.0NRT,300.5,11,D
41.18,-123.546,355.7,1,1,2020-08-15,19:10,T,98,6.0NRT,303.6,69.3,D
41.181,-123.557,342.3,1,1,2020-08-15,19:10,T,90,6.0NRT,302,41.6,D
41.169,-123.415,321.1,1,1,2020-08-15,19:10,T,47,6.0NRT,306.1,8.7,D
41.171,-123.427,348.5,1,1,2020-08-15,19:10,T,94,6.0NRT,304,49.4,D
41.173,-123.438,327.4,1,1,2020-08-15,19:10,T,68,6.0NRT,302.1,16.7,D
41.176,-123.401,334.9,1,1,2020-08-15,19:10,T,85,6.0NRT,305.5,25.2,D
41.178,-123.413,451.3,1,1,2020-08-15,19:10,T,100,6.0NRT,325.6,721.3,D
41.18,-123.424,391.3,1,1,2020-08-15,19:10,T,100,6.0NRT,308.9,196.1,D
41.189,-123.422,345,1,1,2020-08-15,19:10,T,92,6.0NRT,302.4,43.3,D
41.19,-123.434,328.6,1,1,2020-08-15,19:10,T,72,6.0NRT,302,18.9,D
41.199,-123.426,325.2,1,1,2020-08-15,19:10,T,67,6.0NRT,298.9,15.4,D
41.201,-123.437,313.2,1,1,2020-08-15,19:10,T,18,6.0NRT,300.1,5.5,D
41.206,-123.411,326.4,1,1,2020-08-15,19:10,T,73,6.0NRT,301,16.2,D
41.215,-123.409,336.2,1,1,2020-08-15,19:10,T,86,6.0NRT,302.7,30.2,D
40.841,-119.63,335.1,1.3,1.1,2020-08-15,19:10,T,65,6.0NRT,319.4,20.1,D
40.844,-119.646,335.6,1.3,1.1,2020-08-15,19:10,T,68,6.0NRT,317.9,22.6,D
44.903,-113.33,323.4,2.2,1.4,2020-08-15,19:10,T,61,6.0NRT,304.8,40.1,D
44.909,-113.359,322.3,2.2,1.4,2020-08-15,19:10,T,55,6.0NRT,301,39.7,D
44.913,-113.319,331.2,2.2,1.4,2020-08-15,19:10,T,84,6.0NRT,305.2,68.9,D
44.92,-113.347,362.6,2.2,1.4,2020-08-15,19:10,T,100,6.0NRT,309.6,274.5,D
47.569,-122.369,320.1,1,1,2020-08-15,19:10,T,70,6.0NRT,305.4,8.5,D
50.614,-117.223,301.7,1.1,1.1,2020-08-15,19:10,T,15,6.0NRT,288.9,3.8,D
51.131,-114.579,312.7,1.3,1.1,2020-08-15,19:10,T,65,6.0NRT,297.3,11.4,D
40.624,-105.886,345.4,4.4,1.9,2020-08-15,19:15,A,92,6.0NRT,290.9,396.8,D
40.652,-105.854,370.8,4.3,1.9,2020-08-15,19:15,A,100,6.0NRT,298.1,965.9,D
40.64,-105.895,368.7,4.4,1.9,2020-08-15,19:15,A,100,6.0NRT,300.5,911.2,D
40.636,-105.845,347.9,4.3,1.9,2020-08-15,19:15,A,93,6.0NRT,293.1,437.2,D
40.638,-105.891,379.7,4.4,1.9,2020-08-15,19:15,A,100,6.0NRT,301.2,1236.7,D
40.649,-105.85,371.7,4.3,1.9,2020-08-15,19:15,A,100,6.0NRT,297.7,976.1,D
40.622,-105.883,350.8,4.4,1.9,2020-08-15,19:15,A,95,6.0NRT,289.3,485.9,D
40.633,-105.841,344,4.3,1.9,2020-08-15,19:15,A,87,6.0NRT,292.4,372,D
40.605,-105.877,323.6,4.4,1.9,2020-08-15,19:15,A,57,6.0NRT,295.3,143.7,D
40.617,-105.835,320.6,4.3,1.9,2020-08-15,19:15,A,33,6.0NRT,293.6,124.9,D
40.589,-105.871,349.4,4.4,1.9,2020-08-15,19:15,A,94,6.0NRT,292.7,473.2,D
40.586,-105.863,348.1,4.4,1.9,2020-08-15,19:15,A,81,6.0NRT,292.2,451.1,D
42.005,-93.45,314.6,1,1,2020-08-15,19:15,A,54,6.0NRT,302.1,7.3,D
40.728,-96.947,321,1.4,1.2,2020-08-15,19:15,A,75,6.0NRT,302.8,18.3,D
40.731,-96.932,319.8,1.4,1.2,2020-08-15,19:15,A,74,6.0NRT,303.6,15.8,D
40.732,-96.942,330.8,1.4,1.2,2020-08-15,19:15,A,84,6.0NRT,303.5,34.5,D
43.253,-93.645,312.4,1,1,2020-08-15,19:15,A,48,6.0NRT,301.3,6.6,D
40.65,-105.841,422.3,3.2,1.7,2020-08-15,20:50,A,100,6.0NRT,307.9,2255.9,D
40.62,-105.874,352.8,3.2,1.7,2020-08-15,20:50,A,84,6.0NRT,302.8,306.3,D
40.637,-105.831,430.7,3.2,1.7,2020-08-15,20:50,A,100,6.0NRT,306.3,2663,D
40.578,-105.863,352.3,3.2,1.7,2020-08-15,20:50,A,95,6.0NRT,299.2,330.4,D
40.593,-105.864,402.5,3.2,1.7,2020-08-15,20:50,A,100,6.0NRT,302.3,1416.4,D
40.591,-105.91,343.2,3.2,1.7,2020-08-15,20:50,A,82,6.0NRT,301.2,214.5,D
40.613,-105.789,358.8,3.3,1.7,2020-08-15,20:50,A,93,6.0NRT,296.3,406.7,D
40.589,-105.87,412.5,3.2,1.7,2020-08-15,20:50,A,100,6.0NRT,304,1790.4,D
40.625,-105.758,370.8,3.3,1.7,2020-08-15,20:50,A,75,6.0NRT,284.7,609.7,D
40.624,-105.793,420.9,3.3,1.7,2020-08-15,20:50,A,100,6.0NRT,305.6,2182.2,D
40.635,-105.875,423.6,3.2,1.7,2020-08-15,20:50,A,100,6.0NRT,317.6,2272.7,D
40.652,-105.832,400.7,3.2,1.7,2020-08-15,20:50,A,100,6.0NRT,298,1386.5,D
40.65,-105.873,449.2,3.2,1.7,2020-08-15,20:50,A,100,6.0NRT,321.6,3802.8,D
40.648,-105.917,331.3,3.2,1.7,2020-08-15,20:50,A,73,6.0NRT,300.4,121.2,D
40.648,-105.883,417.9,3.2,1.7,2020-08-15,20:50,A,100,6.0NRT,322.4,2028.7,D
41.156,-123.498,364.5,1.7,1.3,2020-08-15,20:55,A,100,6.0NRT,305.6,189.6,D
41.147,-123.479,338.3,1.6,1.3,2020-08-15,20:55,A,86,6.0NRT,300.8,65,D
41.144,-123.495,327.6,1.7,1.3,2020-08-15,20:55,A,68,6.0NRT,302.6,36.4,D
41.174,-123.403,331.6,1.6,1.3,2020-08-15,20:55,A,80,6.0NRT,302.1,46.8,D
41.17,-123.422,384.4,1.6,1.3,2020-08-15,20:55,A,100,6.0NRT,307.5,334.8,D
41.166,-123.444,356.3,1.6,1.3,2020-08-15,20:55,A,98,6.0NRT,304.9,135.2,D
41.157,-123.485,341.4,1.6,1.3,2020-08-15,20:55,A,89,6.0NRT,304.7,75,D
41.154,-123.501,352.7,1.7,1.3,2020-08-15,20:55,A,96,6.0NRT,304.9,124.3,D
41.185,-123.407,336.3,1.6,1.3,2020-08-15,20:55,A,85,6.0NRT,301.4,60.5,D
50.493,-116.248,309,1.2,1.1,2020-08-15,20:55,A,34,6.0NRT,296,7.4,D
41.181,-123.428,416.9,1.6,1.3,2020-08-15,20:55,A,100,6.0NRT,310,744,D
41.176,-123.45,337,1.6,1.3,2020-08-15,20:55,A,85,6.0NRT,302.4,59.7,D
41.168,-123.491,320.6,1.6,1.3,2020-08-15,20:55,A,43,6.0NRT,302.5,20.7,D
41.165,-123.507,337.3,1.7,1.3,2020-08-15,20:55,A,86,6.0NRT,303.1,65.4,D
41.192,-123.433,326.1,1.6,1.3,2020-08-15,20:55,A,73,6.0NRT,298.3,34.9,D
41.207,-123.417,345.8,1.6,1.3,2020-08-15,20:55,A,92,6.0NRT,301.7,96.5,D
41.178,-123.555,335,1.7,1.3,2020-08-15,20:55,A,84,6.0NRT,301.2,61.1,D
44.878,-113.389,333.5,1.4,1.2,2020-08-15,20:55,A,66,6.0NRT,306.4,32.4,D
44.902,-113.357,339.4,1.4,1.2,2020-08-15,20:55,A,86,6.0NRT,308.5,45.1,D
44.909,-113.346,347.1,1.4,1.2,2020-08-15,20:55,A,92,6.0NRT,314.2,65.1,D
44.908,-113.364,351.2,1.4,1.2,2020-08-15,20:55,A,95,6.0NRT,310.6,79.9,D
44.92,-113.348,330.9,1.4,1.2,2020-08-15,20:55,A,78,6.0NRT,314.4,24.8,D
47.567,-122.369,319.4,1.1,1.1,2020-08-15,20:55,A,51,6.0NRT,307,7,D
48,-120.705,328.7,1,1,2020-08-15,20:55,A,78,6.0NRT,305.3,21,D
49.119,-121.939,327.1,1,1,2020-08-15,20:55,A,59,6.0NRT,304.5,15.7,D
41.156,-123.435,340.7,1.6,1.3,2020-08-15,20:55,A,89,6.0NRT,306.3,72.4,D
41.148,-123.476,343,1.6,1.3,2020-08-15,20:55,A,90,6.0NRT,302.2,82,D
41.145,-123.491,343.5,1.7,1.3,2020-08-15,20:55,A,91,6.0NRT,303.5,85.7,D
41.172,-123.418,380.7,1.6,1.3,2020-08-15,20:55,A,100,6.0NRT,307.9,303.7,D
41.167,-123.439,373.8,1.6,1.3,2020-08-15,20:55,A,100,6.0NRT,305.5,242.9,D
41.155,-123.441,330.6,1.6,1.3,2020-08-15,20:55,A,67,6.0NRT,305.8,38.6,D
