latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
9.474,-64.392,307.8,1.1,1,2020-08-27,02:35,T,73,6.0NRT,289.1,8.4,N
9.227,-64.302,310.5,1.1,1,2020-08-27,02:35,T,80,6.0NRT,270.7,12.7,N
9.275,-64.044,308.5,1.1,1,2020-08-27,02:35,T,75,6.0NRT,289.8,7.9,N
9.237,-64.304,315.4,1.1,1,2020-08-27,02:35,T,91,6.0NRT,272.2,17.2,N
9.371,-64.532,315.5,1.1,1,2020-08-27,02:35,T,91,6.0NRT,288.4,13.9,N
9.378,-64.529,307.6,1.1,1,2020-08-27,02:35,T,67,6.0NRT,288.1,8.4,N
9.376,-64.539,309.7,1.1,1,2020-08-27,02:35,T,78,6.0NRT,288.8,10.1,N
9.384,-64.55,312.5,1.1,1,2020-08-27,02:35,T,80,6.0NRT,288.5,12,N
9.558,-63.629,303.2,1,1,2020-08-27,02:35,T,54,6.0NRT,282.4,4.3,N
9.567,-63.63,303.5,1,1,2020-08-27,02:35,T,48,6.0NRT,284.8,4.7,N
9.654,-63.537,317.6,1,1,2020-08-27,02:35,T,95,6.0NRT,292.7,14.1,N
9.65,-63.564,344.4,1,1,2020-08-27,02:35,T,100,6.0NRT,292.6,50.9,N
9.649,-63.574,311.3,1,1,2020-08-27,02:35,T,82,6.0NRT,291.7,8.7,N
9.631,-63.694,332.2,1,1,2020-08-27,02:35,T,100,6.0NRT,292.7,31.2,N
9.63,-63.703,307.9,1,1,2020-08-27,02:35,T,73,6.0NRT,292,6.3,N
9.651,-63.621,378.1,1,1,2020-08-27,02:35,T,100,6.0NRT,297.2,149.3,N
9.65,-63.63,345.4,1,1,2020-08-27,02:35,T,100,6.0NRT,293.7,52.9,N
9.702,-63.459,303.2,1,1,2020-08-27,02:35,T,54,6.0NRT,290.9,3.7,N
9.737,-63.471,323.3,1,1,2020-08-27,02:35,T,100,6.0NRT,291.8,20,N
9.736,-63.48,318.8,1,1,2020-08-27,02:35,T,97,6.0NRT,291.8,15.4,N
9.775,-63.271,309.1,1,1,2020-08-27,02:35,T,76,6.0NRT,291.8,7.3,N
