latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
41.442,21.955,300.9,1.1,1,2020-09-19,00:25,A,35,6.0NRT,287.8,5.7,N
41.444,21.941,326,1.1,1,2020-09-19,00:25,A,100,6.0NRT,288.2,28.9,N
44.235,26.672,301.8,1,1,2020-09-19,00:25,A,45,6.0NRT,283.9,7.6,N
51.044,2.298,306.7,1,1,2020-09-19,02:00,A,69,6.0NRT,288.1,8.7,N
55.645,12.137,309.4,1.4,1.2,2020-09-19,02:00,A,77,6.0NRT,278.7,19.8,N
51.488,6.718,313.2,1.1,1.1,2020-09-19,02:00,A,77,6.0NRT,286,15.6,N
55.639,12.128,307.4,1.4,1.2,2020-09-19,02:00,A,71,6.0NRT,278.5,17.9,N
35.817,-0.268,311,1.1,1,2020-09-19,02:05,A,81,6.0NRT,292,10.5,N
35.815,-0.257,310.3,1.1,1,2020-09-19,02:05,A,80,6.0NRT,292.9,9.6,N
46.187,33.411,315.2,2.4,1.5,2020-09-19,08:10,T,69,6.0NRT,294.3,29.5,D
49.998,34.282,305.7,2.3,1.5,2020-09-19,08:10,T,58,6.0NRT,291.1,15.5,D
46.182,33.416,319.7,2.4,1.5,2020-09-19,08:10,T,75,6.0NRT,295.4,40.6,D
46.185,33.441,310.5,2.3,1.5,2020-09-19,08:10,T,57,6.0NRT,296.7,16,D
53.32,22.889,302.2,1,1,2020-09-19,09:45,T,51,6.0NRT,291.9,4,D
53.157,22.741,303.6,1,1,2020-09-19,09:45,T,55,6.0NRT,291.6,5.1,D
52.779,34.096,312.9,2.7,1.6,2020-09-19,09:45,T,73,6.0NRT,284.8,55,D
55.637,12.13,305,2,1.4,2020-09-19,09:45,T,60,6.0NRT,285.8,17.6,D
54.016,24.847,301.9,1.1,1,2020-09-19,09:45,T,50,6.0NRT,288.3,4.8,D
53.376,22.834,304.6,1,1,2020-09-19,09:45,T,59,6.0NRT,292.2,4.9,D
48.671,26.27,306.8,1.6,1.2,2020-09-19,09:45,T,53,6.0NRT,291.3,10.3,D
50.033,18.492,306.5,1,1,2020-09-19,09:45,T,64,6.0NRT,291.5,5.7,D
50.49,24.48,305.2,1.2,1.1,2020-09-19,09:45,T,43,6.0NRT,292.3,6.1,D
50.113,30.493,313.8,2.3,1.5,2020-09-19,09:45,T,74,6.0NRT,291.2,36.7,D
50.111,30.499,314.6,2.3,1.5,2020-09-19,09:45,T,75,6.0NRT,290.5,37.3,D
53.128,22.744,306.4,1,1,2020-09-19,09:45,T,63,6.0NRT,291.5,6.1,D
40.947,16.405,336.6,1,1,2020-09-19,09:50,T,87,6.0NRT,305.1,26.8,D
41.073,15.777,322.3,1,1,2020-09-19,09:50,T,62,6.0NRT,304.5,9.5,D
41.377,13.445,323.7,1.2,1.1,2020-09-19,09:50,T,71,6.0NRT,299.7,17,D
41.213,15.434,327.1,1,1,2020-09-19,09:50,T,78,6.0NRT,302.5,16.1,D
41.16,16.08,316.3,1,1,2020-09-19,09:50,T,50,6.0NRT,300.9,5.2,D
41.161,16.068,319,1,1,2020-09-19,09:50,T,65,6.0NRT,301.6,8,D
41.306,15.224,324.3,1,1,2020-09-19,09:50,T,75,6.0NRT,302.6,16,D
41.379,15.083,315.1,1,1,2020-09-19,09:50,T,40,6.0NRT,300.2,5.9,D
39.212,26.798,314.9,3,1.7,2020-09-19,09:50,T,64,6.0NRT,297.8,32.6,D
41.105,19.498,314.5,1.1,1.1,2020-09-19,09:50,T,73,6.0NRT,282.3,12.9,D
41.693,20.23,305.5,1.2,1.1,2020-09-19,09:50,T,54,6.0NRT,287.2,6.9,D
41.729,20.139,320.4,1.2,1.1,2020-09-19,09:50,T,79,6.0NRT,291,20.1,D
41.731,20.126,318.2,1.2,1.1,2020-09-19,09:50,T,77,6.0NRT,292.8,17.1,D
41.438,21.945,326.6,1.4,1.2,2020-09-19,09:50,T,83,6.0NRT,296.2,30.1,D
41.448,21.948,317.6,1.4,1.2,2020-09-19,09:50,T,59,6.0NRT,295,15.3,D
41.442,21.952,320.7,1.4,1.2,2020-09-19,09:50,T,70,6.0NRT,295.4,20.3,D
41.445,21.936,332,1.4,1.2,2020-09-19,09:50,T,86,6.0NRT,295.7,41.4,D
42.293,19.132,346.7,1.1,1,2020-09-19,09:50,T,71,6.0NRT,286.4,57.9,D
42.302,19.135,348.2,1.1,1,2020-09-19,09:50,T,85,6.0NRT,285,60.1,D
42.304,19.122,340.4,1.1,1,2020-09-19,09:50,T,0,6.0NRT,284.3,45,D
42.27,19.597,302.3,1.1,1,2020-09-19,09:50,T,18,6.0NRT,284.7,4.7,D
43.761,23.17,323.9,1.5,1.2,2020-09-19,09:50,T,26,6.0NRT,298.1,23.6,D
43.765,23.152,339.3,1.4,1.2,2020-09-19,09:50,T,90,6.0NRT,298,59.3,D
43.772,23.174,325.2,1.5,1.2,2020-09-19,09:50,T,32,6.0NRT,297.7,25.5,D
43.775,23.156,327.6,1.4,1.2,2020-09-19,09:50,T,59,6.0NRT,297.4,29.9,D
43.764,23.437,314.9,1.5,1.2,2020-09-19,09:50,T,66,6.0NRT,299.8,11.2,D
43.999,23.507,311.5,1.5,1.2,2020-09-19,09:50,T,49,6.0NRT,297.1,7.6,D
43.838,24.405,316.1,1.7,1.3,2020-09-19,09:50,T,31,6.0NRT,299.9,12.6,D
43.845,24.43,315.6,1.7,1.3,2020-09-19,09:50,T,66,6.0NRT,300,13.7,D
43.849,24.41,324.5,1.7,1.3,2020-09-19,09:50,T,80,6.0NRT,300.2,31.8,D
