latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-8.573,147.549,307.9,1.1,1.1,2020-08-21,00:40,T,56,6.0NRT,293.1,6.2,D
-9.183,148.602,320.9,1.3,1.1,2020-08-21,00:40,T,78,6.0NRT,292.8,18.9,D
-9.501,148.986,330.7,1.4,1.2,2020-08-21,00:40,T,85,6.0NRT,294.8,41.8,D
-9.244,147.093,313.2,1.1,1,2020-08-21,00:40,T,68,6.0NRT,296,7.7,D
-9.645,149.61,313.7,1.6,1.2,2020-08-21,00:40,T,35,6.0NRT,296.3,9.1,D
-9.538,147.36,327.1,1.1,1.1,2020-08-21,00:40,T,82,6.0NRT,298.2,21.1,D
-9.54,147.37,317.2,1.1,1.1,2020-08-21,00:40,T,70,6.0NRT,297.6,9.9,D
-9.958,149.812,312.6,1.6,1.3,2020-08-21,00:40,T,48,6.0NRT,298.5,11.7,D
-8.236,138.103,314,2.6,1.6,2020-08-21,00:40,T,65,6.0NRT,293.2,30,D
-8.763,141.423,308.1,1.4,1.2,2020-08-21,00:40,T,37,6.0NRT,291.2,7,D
-8.767,141.416,308.7,1.4,1.2,2020-08-21,00:40,T,44,6.0NRT,291.2,7.1,D
-8.682,140.61,311.8,1.6,1.3,2020-08-21,00:40,T,59,6.0NRT,295.6,10.5,D
-8.684,140.625,314.6,1.6,1.3,2020-08-21,00:40,T,66,6.0NRT,295.6,15.1,D
-10.082,149.97,309,1.7,1.3,2020-08-21,00:40,T,22,6.0NRT,295.1,9.7,D
-11.307,142.58,315.1,1.1,1.1,2020-08-21,00:40,T,63,6.0NRT,301.7,9.3,D
-11.819,142.062,317.4,1.2,1.1,2020-08-21,00:40,T,40,6.0NRT,304,8.3,D
-11.821,142.056,317.7,1.2,1.1,2020-08-21,00:40,T,59,6.0NRT,305.7,9.8,D
-12.278,142.61,323.4,1.1,1,2020-08-21,00:40,T,58,6.0NRT,305.9,11.3,D
-4.673,144.261,327.2,1.1,1.1,2020-08-21,00:40,T,81,6.0NRT,297.2,21.7,D
-5.269,144.49,309,1.1,1,2020-08-21,00:40,T,31,6.0NRT,294,6.1,D
-4.15,143.502,319.1,1.2,1.1,2020-08-21,00:40,T,67,6.0NRT,300,11,D
-6.326,146.213,336.2,1,1,2020-08-21,00:40,T,89,6.0NRT,295.9,26.2,D
-6.335,146.212,323.7,1,1,2020-08-21,00:40,T,69,6.0NRT,294.7,11.7,D
-4.671,144.251,316.5,1.1,1.1,2020-08-21,00:40,T,67,6.0NRT,296.9,8.9,D
-6.29,145.591,311,1,1,2020-08-21,00:40,T,63,6.0NRT,296.5,5.7,D
-6.458,146.298,313.8,1,1,2020-08-21,00:40,T,41,6.0NRT,293.8,5,D
-6.46,146.307,350.3,1,1,2020-08-21,00:40,T,96,6.0NRT,294.3,56.9,D
-6.668,145.782,318.6,1,1,2020-08-21,00:40,T,40,6.0NRT,301.5,6.4,D
-8.257,147.092,328,1.1,1,2020-08-21,00:40,T,70,6.0NRT,301.6,23.5,D
-3.607,144.592,311.8,1.1,1,2020-08-21,00:40,T,51,6.0NRT,296.7,7.7,D
-3.999,143.514,336.5,1.2,1.1,2020-08-21,00:40,T,87,6.0NRT,297.2,40.8,D
-4.149,144.324,316.9,1.1,1.1,2020-08-21,00:40,T,65,6.0NRT,295.8,9.2,D
-25.117,151.799,323.8,3.7,1.8,2020-08-21,00:45,T,81,6.0NRT,291.9,135.3,D
-27.062,149.4,311.2,2.6,1.6,2020-08-21,00:45,T,67,6.0NRT,294.9,26.2,D
-27.392,147.139,308.3,1.8,1.3,2020-08-21,00:45,T,23,6.0NRT,292.2,10.6,D
-29.751,149.642,302,2.9,1.6,2020-08-21,00:45,T,36,6.0NRT,291.3,19.7,D
-29.751,149.637,302,2.9,1.6,2020-08-21,00:45,T,30,6.0NRT,291.5,18.8,D
-25.11,151.806,317.5,3.7,1.8,2020-08-21,00:45,T,74,6.0NRT,291.7,89.4,D
-12.859,142.726,345.6,1.1,1,2020-08-21,00:45,T,92,6.0NRT,307.9,45.5,D
-12.869,142.734,345.7,1.1,1,2020-08-21,00:45,T,92,6.0NRT,307.9,46,D
-12.871,142.744,322.7,1.1,1,2020-08-21,00:45,T,52,6.0NRT,307,9,D
-12.879,142.733,322.6,1.1,1,2020-08-21,00:45,T,38,6.0NRT,307.6,8.7,D
-12.775,141.884,351,1.2,1.1,2020-08-21,00:45,T,72,6.0NRT,305.8,71.2,D
-12.921,141.703,323.7,1.2,1.1,2020-08-21,00:45,T,65,6.0NRT,306.6,15.4,D
-12.286,136.876,310.5,2.7,1.6,2020-08-21,00:45,T,37,6.0NRT,295.5,15.3,D
