latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
30.345,50.296,335.7,1,1,2020-08-26,07:25,T,71,6.0NRT,320.3,10,D
30.686,47.329,346.2,1.2,1.1,2020-08-26,07:25,T,90,6.0NRT,320.5,46.6,D
28.367,49.631,327.4,1,1,2020-08-26,07:25,T,80,6.0NRT,304.7,18.7,D
28.493,49.718,337.4,1,1,2020-08-26,07:25,T,88,6.0NRT,305.2,32.3,D
28.495,49.708,324.1,1,1,2020-08-26,07:25,T,77,6.0NRT,304.8,14.8,D
29.944,49.686,315.3,1,1,2020-08-26,07:25,T,63,6.0NRT,303,8.3,D
35.715,45.689,324.4,1.8,1.3,2020-08-26,07:25,T,43,6.0NRT,310.7,13.2,D
35.269,44.234,333.7,2.2,1.4,2020-08-26,07:25,T,75,6.0NRT,318.7,39.3,D
32.245,51.424,338.7,1,1,2020-08-26,07:25,T,83,6.0NRT,314.9,21.2,D
32.244,51.434,343.7,1,1,2020-08-26,07:25,T,88,6.0NRT,316.1,29.5,D
32.236,51.422,333.4,1,1,2020-08-26,07:25,T,76,6.0NRT,314.4,13.3,D
32.235,51.432,336.7,1,1,2020-08-26,07:25,T,81,6.0NRT,315.3,18.4,D
32.103,47.548,336.3,1.3,1.1,2020-08-26,07:25,T,70,6.0NRT,324.3,13.5,D
30.994,49.944,346.3,1,1,2020-08-26,07:25,T,89,6.0NRT,322.5,29.6,D
31.028,47.276,339.7,1.3,1.1,2020-08-26,07:25,T,83,6.0NRT,322.8,26.1,D
30.3,50.731,333.8,1,1,2020-08-26,07:25,T,54,6.0NRT,321.9,6.1,D
30.347,50.286,349.3,1,1,2020-08-26,07:25,T,91,6.0NRT,323.8,33.6,D
2.459,42.761,323.2,1.1,1,2020-08-26,07:30,T,50,6.0NRT,300.1,9.8,D
13.608,42.733,316.6,1.4,1.2,2020-08-26,07:30,T,64,6.0NRT,299.6,14.6,D
4.952,35.982,324,3.4,1.7,2020-08-26,07:30,T,63,6.0NRT,299.9,49.2,D
-8.277,35.489,313.4,2.2,1.4,2020-08-26,07:35,T,30,6.0NRT,297.1,20.6,D
-6.802,36.586,321,1.9,1.4,2020-08-26,07:35,T,72,6.0NRT,299.8,30.2,D
-6.437,32.675,336.6,4,1.9,2020-08-26,07:35,T,87,6.0NRT,296.6,222.7,D
-6.442,32.71,324.2,3.9,1.8,2020-08-26,07:35,T,75,6.0NRT,296.3,103.2,D
-6.718,34.421,314.2,2.9,1.6,2020-08-26,07:35,T,49,6.0NRT,298.7,25.1,D
-6.425,32.671,321.2,4,1.9,2020-08-26,07:35,T,70,6.0NRT,297,76.1,D
-6.431,32.706,318.8,3.9,1.8,2020-08-26,07:35,T,55,6.0NRT,296.9,58.2,D
-6.72,34.415,313.6,2.9,1.6,2020-08-26,07:35,T,42,6.0NRT,298.3,24.6,D
-6.442,32.668,316.2,4,1.9,2020-08-26,07:35,T,28,6.0NRT,296,40.3,D
-6.448,32.703,321.7,3.9,1.8,2020-08-26,07:35,T,71,6.0NRT,295.6,77,D
-6.992,34.859,317.9,2.6,1.6,2020-08-26,07:35,T,63,6.0NRT,300.9,22.3,D
-7.006,34.857,328.8,2.6,1.6,2020-08-26,07:35,T,81,6.0NRT,301.3,67.1,D
-7.287,34.72,320.3,2.7,1.6,2020-08-26,07:35,T,66,6.0NRT,300.2,38.9,D
-7.292,34.713,318.3,2.7,1.6,2020-08-26,07:35,T,44,6.0NRT,299.5,31.3,D
-7.683,36.764,311,1.8,1.3,2020-08-26,07:35,T,24,6.0NRT,294.6,11.6,D
-7.43,34.561,325.1,2.7,1.6,2020-08-26,07:35,T,70,6.0NRT,296.9,62.1,D
-7.434,34.585,329.8,2.7,1.6,2020-08-26,07:35,T,79,6.0NRT,298.6,83.4,D
-7.788,36.037,327.9,2.1,1.4,2020-08-26,07:35,T,81,6.0NRT,297.8,66.7,D
-7.789,36.031,323.8,2.1,1.4,2020-08-26,07:35,T,76,6.0NRT,295.8,53.8,D
-7.644,32.418,318.9,3.9,1.8,2020-08-26,07:35,T,71,6.0NRT,294,88.5,D
-8.265,35.491,317.7,2.2,1.4,2020-08-26,07:35,T,70,6.0NRT,296.1,31.9,D
-8.268,35.511,337.7,2.2,1.4,2020-08-26,07:35,T,89,6.0NRT,298.9,108.7,D
-8.41,36.406,318.5,1.9,1.3,2020-08-26,07:35,T,72,6.0NRT,297.5,24.2,D
-8.281,35.509,328.6,2.2,1.4,2020-08-26,07:35,T,82,6.0NRT,299.2,68.4,D
-8.266,35.504,329.3,2.2,1.4,2020-08-26,07:35,T,83,6.0NRT,298.2,72.9,D
-8.279,35.502,344.1,2.2,1.4,2020-08-26,07:35,T,92,6.0NRT,299.3,147.2,D
-8.257,34.282,323.7,2.8,1.6,2020-08-26,07:35,T,72,6.0NRT,299.6,50.2,D
-9.44,39.015,320.2,1.2,1.1,2020-08-26,07:35,T,74,6.0NRT,292.6,17,D
-9.572,39.399,323.9,1.1,1.1,2020-08-26,07:35,T,73,6.0NRT,296.3,18.8,D
-9.61,39.33,321.2,1.1,1.1,2020-08-26,07:35,T,69,6.0NRT,295.5,14,D
-9.588,32.501,316.1,3.6,1.8,2020-08-26,07:35,T,55,6.0NRT,297.6,29.6,D
-9.488,31.301,318.4,4.4,1.9,2020-08-26,07:35,T,70,6.0NRT,294.7,89.9,D
-9.495,31.339,310.9,4.4,1.9,2020-08-26,07:35,T,49,6.0NRT,294.2,37.5,D
-9.49,31.295,315.5,4.4,1.9,2020-08-26,07:35,T,65,6.0NRT,294.5,69.3,D
-9.497,31.334,313.9,4.4,1.9,2020-08-26,07:35,T,61,6.0NRT,294.3,58.5,D
-3.266,34.75,318.6,3.1,1.7,2020-08-26,07:35,T,54,6.0NRT,299.2,35.5,D
-3.265,34.745,319,3.1,1.7,2020-08-26,07:35,T,52,6.0NRT,299.6,36,D
-4.085,35.906,322.2,2.4,1.5,2020-08-26,07:35,T,51,6.0NRT,296.7,42,D
-5.715,36.196,320.2,2.2,1.4,2020-08-26,07:35,T,70,6.0NRT,302.5,21.6,D
-6.025,32.273,317.3,4.3,1.9,2020-08-26,07:35,T,57,6.0NRT,296.5,63.7,D
-6.027,32.267,315.2,4.3,1.9,2020-08-26,07:35,T,52,6.0NRT,296.5,51.2,D
-6.798,36.593,326.2,1.9,1.4,2020-08-26,07:35,T,75,6.0NRT,301.2,41.3,D
-6.812,36.678,325.2,1.9,1.3,2020-08-26,07:35,T,77,6.0NRT,301.9,36.9,D
-6.804,36.672,318.3,1.9,1.3,2020-08-26,07:35,T,50,6.0NRT,301.1,19.1,D
-6.807,36.69,322.3,1.9,1.3,2020-08-26,07:35,T,63,6.0NRT,299.8,30.5,D
-7.792,36.047,315.1,2,1.4,2020-08-26,07:35,T,53,6.0NRT,297.9,27.6,D
-7.225,32.137,315.1,4.2,1.9,2020-08-26,07:35,T,59,6.0NRT,294.8,47.9,D
-7.655,32.422,314.6,3.9,1.8,2020-08-26,07:35,T,63,6.0NRT,294.1,59.2,D
36.822,35.317,321.4,2.1,1.4,2020-08-26,09:00,T,50,6.0NRT,302.7,26.8,D
36.824,35.323,322.4,2.1,1.4,2020-08-26,09:00,T,56,6.0NRT,302.8,28.7,D
37.141,36.142,326,2.3,1.5,2020-08-26,09:00,T,37,6.0NRT,306.2,30.9,D
37.214,35.933,322.2,2.2,1.4,2020-08-26,09:00,T,36,6.0NRT,305.3,22.3,D
36.304,36.643,329.5,2.6,1.5,2020-08-26,09:00,T,74,6.0NRT,309,59,D
36.839,34.996,324,2,1.4,2020-08-26,09:00,T,62,6.0NRT,303.1,33.2,D
27.039,28.17,340.5,1.2,1.1,2020-08-26,09:05,T,78,6.0NRT,318.9,25.9,D
-0.754,15.914,310,1.2,1.1,2020-08-26,09:10,T,24,6.0NRT,284.5,7.4,D
-1.662,17.549,313.2,1,1,2020-08-26,09:10,T,54,6.0NRT,292.6,6.2,D
-1.951,17.319,317.9,1,1,2020-08-26,09:10,T,70,6.0NRT,287.2,12,D
-1.663,17.558,314.5,1,1,2020-08-26,09:10,T,62,6.0NRT,293.4,7.6,D
-1.594,16.836,314.3,1.1,1,2020-08-26,09:10,T,52,6.0NRT,290.7,7.7,D
-1.43,15.584,314.2,1.3,1.1,2020-08-26,09:10,T,26,6.0NRT,293,7.2,D
-1.456,14.392,327.5,1.5,1.2,2020-08-26,09:10,T,61,6.0NRT,300.9,20.8,D
7.323,13.584,308.4,2.5,1.5,2020-08-26,09:10,T,35,6.0NRT,289.3,14.3,D
-0.509,17.418,309,1.1,1,2020-08-26,09:10,T,52,6.0NRT,283.5,5,D
-6.898,26.412,328.9,3.5,1.8,2020-08-26,09:15,T,82,6.0NRT,292.1,119,D
-6.018,16.181,320.9,1.1,1,2020-08-26,09:15,T,50,6.0NRT,297,7.9,D
-7.382,26.44,314.3,3.6,1.8,2020-08-26,09:15,T,36,6.0NRT,290.6,41.8,D
-5.934,15.997,323.4,1.1,1,2020-08-26,09:15,T,74,6.0NRT,295.4,15.2,D
-5.549,14.225,318.8,1.4,1.2,2020-08-26,09:15,T,68,6.0NRT,291.3,13.8,D
-5.547,14.213,312.3,1.4,1.2,2020-08-26,09:15,T,26,6.0NRT,291.2,4.9,D
-5.486,13.999,332.7,1.4,1.2,2020-08-26,09:15,T,73,6.0NRT,288.6,39.9,D
-5.484,13.986,320.7,1.4,1.2,2020-08-26,09:15,T,62,6.0NRT,289.8,16.5,D
-7.129,25.757,316.6,3.1,1.7,2020-08-26,09:15,T,37,6.0NRT,293.4,33.8,D
-5.389,14.033,316.9,1.4,1.2,2020-08-26,09:15,T,64,6.0NRT,288.8,12.2,D
-5.387,14.02,313.2,1.4,1.2,2020-08-26,09:15,T,50,6.0NRT,288.6,7.8,D
-6.923,25.201,321.7,2.8,1.6,2020-08-26,09:15,T,71,6.0NRT,292.2,51.3,D
-6.82,24.395,319.9,2.4,1.5,2020-08-26,09:15,T,72,6.0NRT,283.7,35.2,D
-6.817,24.373,322.9,2.4,1.5,2020-08-26,09:15,T,66,6.0NRT,286,46.4,D
-7.095,26.407,318.6,3.5,1.8,2020-08-26,09:15,T,69,6.0NRT,292.9,45.9,D
-6.987,25.593,315.3,3,1.6,2020-08-26,09:15,T,58,6.0NRT,291.1,30.5,D
-6.822,24.378,326.6,2.4,1.5,2020-08-26,09:15,T,80,6.0NRT,285.4,59.9,D
-6.92,25.207,319.8,2.8,1.6,2020-08-26,09:15,T,66,6.0NRT,293.2,43.3,D
-6.916,25.182,318.7,2.8,1.6,2020-08-26,09:15,T,63,6.0NRT,293.6,37.6,D
-5.918,18.678,313.1,1,1,2020-08-26,09:15,T,49,6.0NRT,295.7,4.9,D
-6.971,26.271,318.9,3.4,1.7,2020-08-26,09:15,T,60,6.0NRT,296.5,46.9,D
-5.22,14.2,314.3,1.4,1.2,2020-08-26,09:15,T,58,6.0NRT,284.4,14.1,D
-5.218,14.188,319.8,1.4,1.2,2020-08-26,09:15,T,70,6.0NRT,282.1,21.9,D
-6.908,26.405,314.1,3.5,1.8,2020-08-26,09:15,T,49,6.0NRT,291.7,31.9,D
-6.893,26.407,327.2,3.5,1.8,2020-08-26,09:15,T,80,6.0NRT,292.5,105.9,D
-5.465,16.493,337,1.1,1,2020-08-26,09:15,T,87,6.0NRT,296.8,32.2,D
-5.464,16.484,320.2,1.1,1,2020-08-26,09:15,T,68,6.0NRT,297.1,9.3,D
-5.207,14.984,316,1.2,1.1,2020-08-26,09:15,T,60,6.0NRT,293.6,9.1,D
-5.457,16.805,318.1,1,1,2020-08-26,09:15,T,64,6.0NRT,297.4,8.3,D
-6.581,25.373,322.8,2.8,1.6,2020-08-26,09:15,T,76,6.0NRT,290.4,62.6,D
-5.231,15.742,323.3,1.1,1.1,2020-08-26,09:15,T,74,6.0NRT,300,12.7,D
-5.23,15.732,326.2,1.1,1.1,2020-08-26,09:15,T,78,6.0NRT,300.1,16.5,D
-5.471,17.457,317,1,1,2020-08-26,09:15,T,60,6.0NRT,297.8,7,D
-5.137,15.274,317.7,1.2,1.1,2020-08-26,09:15,T,65,6.0NRT,296.6,10.3,D
-6.579,25.379,320.6,2.8,1.6,2020-08-26,09:15,T,74,6.0NRT,290.1,52.4,D
-6.576,25.353,314.5,2.8,1.6,2020-08-26,09:15,T,63,6.0NRT,291.3,27.6,D
-6.703,26.545,354.2,3.5,1.8,2020-08-26,09:15,T,97,6.0NRT,289.5,396.1,D
-6.699,26.513,320.3,3.5,1.8,2020-08-26,09:15,T,73,6.0NRT,291.8,64.2,D
-5.317,16.793,324.3,1,1,2020-08-26,09:15,T,75,6.0NRT,294.6,16.1,D
-6.582,26.44,324.3,3.4,1.7,2020-08-26,09:15,T,78,6.0NRT,292,80.5,D
-6.578,26.409,322.1,3.4,1.7,2020-08-26,09:15,T,76,6.0NRT,293.1,68.4,D
-4.88,14.657,313.1,1.3,1.1,2020-08-26,09:15,T,30,6.0NRT,292.6,7.6,D
-5.106,16.551,320.7,1.1,1,2020-08-26,09:15,T,70,6.0NRT,294,13.7,D
-6.578,27.668,313.4,4.3,1.9,2020-08-26,09:15,T,59,6.0NRT,287.9,51.7,D
-5.138,17.137,322.9,1,1,2020-08-26,09:15,T,73,6.0NRT,295,13.9,D
-4.893,16.106,318.9,1.1,1,2020-08-26,09:15,T,34,6.0NRT,297.2,5.7,D
-4.891,16.097,322.6,1.1,1,2020-08-26,09:15,T,73,6.0NRT,298.9,9.2,D
-5.512,20.442,312.6,1.2,1.1,2020-08-26,09:15,T,48,6.0NRT,279,9.3,D
-5.51,20.431,333.6,1.2,1.1,2020-08-26,09:15,T,87,6.0NRT,280.4,37.8,D
-5.502,20.443,316.1,1.2,1.1,2020-08-26,09:15,T,71,6.0NRT,278.7,13.9,D
-5.5,20.433,313.8,1.2,1.1,2020-08-26,09:15,T,67,6.0NRT,279.9,11.2,D
-5.488,22.448,310.5,1.6,1.2,2020-08-26,09:15,T,63,6.0NRT,286.8,12,D
-4.677,17.318,312.4,1,1,2020-08-26,09:15,T,57,6.0NRT,288.1,6.3,D
-4.658,17.813,316.2,1,1,2020-08-26,09:15,T,49,6.0NRT,284.2,7.7,D
-4.649,17.814,323.1,1,1,2020-08-26,09:15,T,79,6.0NRT,285.2,14.8,D
-4.912,20.744,305.5,1.2,1.1,2020-08-26,09:15,T,31,6.0NRT,279.3,4.9,D
-4.902,20.746,309.4,1.2,1.1,2020-08-26,09:15,T,65,6.0NRT,279.5,8.2,D
-4.141,16.513,318.6,1.1,1,2020-08-26,09:15,T,35,6.0NRT,294.4,8.5,D
-4.343,18.111,309.5,1,1,2020-08-26,09:15,T,59,6.0NRT,284.6,3.9,D
-4.849,21.816,302.6,1.4,1.2,2020-08-26,09:15,T,38,6.0NRT,277.4,5.9,D
-4.624,20.87,313.5,1.2,1.1,2020-08-26,09:15,T,71,6.0NRT,287.2,10.9,D
-4.089,17.209,309.5,1,1,2020-08-26,09:15,T,42,6.0NRT,286.7,4.8,D
-4.433,19.785,326.2,1.1,1,2020-08-26,09:15,T,82,6.0NRT,289.8,20.9,D
-4.424,19.787,313.9,1.1,1,2020-08-26,09:15,T,58,6.0NRT,287.3,8.2,D
-3.999,17.404,323.2,1,1,2020-08-26,09:15,T,77,6.0NRT,289.9,14.3,D
-4.061,17.888,321.4,1,1,2020-08-26,09:15,T,75,6.0NRT,293.3,11.6,D
-3.941,17.205,314.6,1,1,2020-08-26,09:15,T,54,6.0NRT,289.5,9,D
-3.932,17.206,356.6,1,1,2020-08-26,09:15,T,93,6.0NRT,288.3,75.2,D
-3.931,17.197,339.7,1,1,2020-08-26,09:15,T,68,6.0NRT,288.9,38.6,D
-5.236,26.927,314.9,3.6,1.8,2020-08-26,09:15,T,26,6.0NRT,293.6,34.2,D
