latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
57.74,158.365,318.2,1.5,1.2,2020-08-14,00:15,T,75,6.0NRT,286.4,28.1,D
57.737,158.358,335.9,1.5,1.2,2020-08-14,00:15,T,90,6.0NRT,287.9,64.2,D
38.421,26.555,346.5,2.5,1.5,2020-08-14,00:50,A,100,6.0NRT,295.8,210.2,N
38.388,26.537,321.8,2.5,1.5,2020-08-14,00:50,A,100,6.0NRT,295.7,71.3,N
38.394,26.511,327.6,2.5,1.5,2020-08-14,00:50,A,100,6.0NRT,296.2,94.3,N
38.401,26.541,349.1,2.5,1.5,2020-08-14,00:50,A,100,6.0NRT,296.6,230.2,N
38.407,26.515,324.8,2.5,1.5,2020-08-14,00:50,A,100,6.0NRT,296.1,83,N
38.408,26.576,311.8,2.5,1.5,2020-08-14,00:50,A,83,6.0NRT,294.2,36.2,N
38.414,26.547,352.9,2.5,1.5,2020-08-14,00:50,A,100,6.0NRT,296.4,262,N
38.408,26.549,339.4,2.5,1.5,2020-08-14,00:50,A,100,6.0NRT,295.7,159.8,N
38.427,26.553,311.5,2.5,1.5,2020-08-14,00:50,A,83,6.0NRT,294.5,36,N
38.414,26.522,336.2,2.5,1.5,2020-08-14,00:50,A,100,6.0NRT,296.1,139.1,N
60.014,138.737,318.6,1.1,1,2020-08-14,01:55,T,59,6.0NRT,294.2,16.3,D
63.548,131.535,335.9,2.1,1.4,2020-08-14,01:55,T,17,6.0NRT,291.8,88.9,D
60.406,140.863,307.9,1,1,2020-08-14,01:55,T,66,6.0NRT,294.3,6.8,D
63.767,129.418,335.9,2.5,1.5,2020-08-14,01:55,T,85,6.0NRT,285.6,131.8,D
59.998,138.79,325.9,1.1,1,2020-08-14,01:55,T,70,6.0NRT,294.2,23.7,D
60.403,140.881,317.7,1,1,2020-08-14,01:55,T,78,6.0NRT,296.5,14.5,D
60.043,138.859,318.7,1.1,1,2020-08-14,01:55,T,59,6.0NRT,293.2,15.5,D
60.039,138.734,336.8,1.1,1,2020-08-14,01:55,T,90,6.0NRT,300.4,40,D
60.027,138.75,319.1,1.1,1,2020-08-14,01:55,T,39,6.0NRT,294.8,13.4,D
60,138.771,323.9,1.1,1,2020-08-14,01:55,T,42,6.0NRT,294.7,20.4,D
63.554,131.41,338.3,2.1,1.4,2020-08-14,01:55,T,52,6.0NRT,294.3,97.6,D
33.215,132.567,321.6,1,1,2020-08-14,02:00,T,17,6.0NRT,305.8,9.7,D
33.681,133.723,310.1,1.1,1,2020-08-14,02:00,T,31,6.0NRT,298.1,4.9,D
35.083,133.693,314,1,1,2020-08-14,02:00,T,52,6.0NRT,298,6.5,D
34.985,134.253,319.3,1.1,1,2020-08-14,02:00,T,58,6.0NRT,300,10.5,D
34.734,135.082,314.6,1.2,1.1,2020-08-14,02:00,T,42,6.0NRT,295.9,7.4,D
34.732,135.094,313.9,1.2,1.1,2020-08-14,02:00,T,44,6.0NRT,295.7,7.4,D
34.882,134.138,315.4,1.1,1,2020-08-14,02:00,T,61,6.0NRT,297.6,8.7,D
33.26,131.651,331.7,1,1,2020-08-14,02:00,T,43,6.0NRT,306.9,11.8,D
34.385,135.732,315.4,1.3,1.1,2020-08-14,02:00,T,58,6.0NRT,295,10.1,D
34.632,134.145,321.2,1.1,1,2020-08-14,02:00,T,69,6.0NRT,298.8,13.1,D
34.664,132.704,318.5,1,1,2020-08-14,02:00,T,55,6.0NRT,302.1,8.4,D
34.075,136.195,316.3,1.3,1.1,2020-08-14,02:00,T,33,6.0NRT,296.3,11.5,D
34.064,136.192,313.5,1.3,1.1,2020-08-14,02:00,T,35,6.0NRT,295,8.4,D
33.722,131.646,312.7,1,1,2020-08-14,02:00,T,55,6.0NRT,300.6,7.3,D
33.544,133.425,316.6,1,1,2020-08-14,02:00,T,44,6.0NRT,301.9,7.1,D
33.661,133.672,316.9,1.1,1,2020-08-14,02:00,T,67,6.0NRT,299.4,9.7,D
34.893,135.069,315.4,1.2,1.1,2020-08-14,02:00,T,61,6.0NRT,297.7,7.9,D
34.092,132.083,319,1,1,2020-08-14,02:00,T,32,6.0NRT,302.8,7.5,D
34.027,133.817,316.3,1.1,1,2020-08-14,02:00,T,46,6.0NRT,302.4,8.5,D
33.718,135.989,318.7,1.3,1.1,2020-08-14,02:00,T,0,6.0NRT,300.9,12.9,D
34.921,127.727,314.2,1.4,1.2,2020-08-14,02:00,T,0,6.0NRT,291.6,11.9,D
34.494,131.41,311.1,1,1,2020-08-14,02:00,T,46,6.0NRT,300.2,6.7,D
34.346,133.148,320.7,1,1,2020-08-14,02:00,T,0,6.0NRT,300.6,9.5,D
35.095,128.867,321.1,1.2,1.1,2020-08-14,02:00,T,0,6.0NRT,300,13.3,D
35.42,138.452,314.9,1.7,1.3,2020-08-14,02:00,T,47,6.0NRT,298.3,15.8,D
35.36,137.248,319.1,1.4,1.2,2020-08-14,02:00,T,46,6.0NRT,300.8,14.5,D
