latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
27.249,140.883,313.4,1,1,2020-09-30,01:20,T,45,6.0NRT,299.4,7.1,D
27.24,140.881,311.4,1,1,2020-09-30,01:20,T,33,6.0NRT,294.5,5.4,D
-8.532,122.922,315.6,4.3,1.9,2020-09-30,01:30,T,0,6.0NRT,295.2,58.6,D
-11.615,132.908,328,1,1,2020-09-30,01:30,T,65,6.0NRT,304.1,13.7,D
-11.602,132.817,335.8,1,1,2020-09-30,01:30,T,68,6.0NRT,308.1,21.9,D
-11.601,132.808,349,1,1,2020-09-30,01:30,T,93,6.0NRT,308.2,46.1,D
-11.599,132.798,372.6,1,1,2020-09-30,01:30,T,100,6.0NRT,307.8,112.3,D
-11.283,132.213,327.9,1,1,2020-09-30,01:30,T,57,6.0NRT,306.6,8.9,D
-11.273,132.206,336.9,1,1,2020-09-30,01:30,T,63,6.0NRT,305.3,22.5,D
-11.203,132.361,330.4,1,1,2020-09-30,01:30,T,62,6.0NRT,303.7,13.9,D
-3.939,143.771,312.6,4.1,1.9,2020-09-30,01:30,T,0,6.0NRT,277,70.2,D
-7.511,138.71,315.7,1.9,1.3,2020-09-30,01:30,T,66,6.0NRT,293,15.8,D
-7.111,131.921,316.9,1.1,1,2020-09-30,01:30,T,0,6.0NRT,289.9,8.3,D
-7.669,131.104,320.7,1.1,1.1,2020-09-30,01:30,T,0,6.0NRT,301.4,12.6,D
-8.264,123.654,314,3.8,1.8,2020-09-30,01:30,T,0,6.0NRT,293.9,37,D
23.082,115.464,314.6,1,1,2020-09-30,03:00,T,55,6.0NRT,297,5.6,D
22.89,112.824,319.1,1.1,1.1,2020-09-30,03:00,T,51,6.0NRT,298.4,9.3,D
29.345,120.098,313.6,1.2,1.1,2020-09-30,03:00,T,59,6.0NRT,296.5,8.3,D
30.388,114.181,313.9,1.2,1.1,2020-09-30,03:00,T,0,6.0NRT,299.5,9.6,D
29.345,120.092,312.9,1.2,1.1,2020-09-30,03:00,T,51,6.0NRT,296.5,6.8,D
29.205,119.839,313.4,1.2,1.1,2020-09-30,03:00,T,44,6.0NRT,296.3,7.7,D
29.078,118.382,310.5,1.1,1,2020-09-30,03:00,T,50,6.0NRT,297,6.6,D
28.89,118.87,316.2,1.1,1,2020-09-30,03:00,T,74,6.0NRT,299.7,10.3,D
28.874,118.455,311,1.1,1,2020-09-30,03:00,T,54,6.0NRT,298.8,7.2,D
27.173,120.367,310.7,1.4,1.2,2020-09-30,03:00,T,64,6.0NRT,297.6,9.4,D
27.063,120.246,309.9,1.4,1.2,2020-09-30,03:00,T,58,6.0NRT,297.1,8.7,D
26.555,119.311,301.6,1.2,1.1,2020-09-30,03:00,T,40,6.0NRT,286.5,3.5,D
30.815,119.758,310.7,1.1,1.1,2020-09-30,03:00,T,57,6.0NRT,296.6,7.1,D
30.787,118.98,309.5,1.1,1,2020-09-30,03:00,T,47,6.0NRT,295.3,5.6,D
30.746,117.398,310.8,1,1,2020-09-30,03:00,T,62,6.0NRT,298.8,5.7,D
26.553,119.322,302,1.2,1.1,2020-09-30,03:00,T,41,6.0NRT,286.8,3.9,D
15.892,107.867,334.3,1.9,1.3,2020-09-30,03:05,T,86,6.0NRT,292.3,70.5,D
-0.45,109.486,322.7,1,1,2020-09-30,03:05,T,76,6.0NRT,296.3,13.1,D
2.347,113.877,311.2,1.3,1.1,2020-09-30,03:05,T,40,6.0NRT,294.4,7.4,D
2.348,113.865,310.4,1.3,1.1,2020-09-30,03:05,T,44,6.0NRT,294.4,6.8,D
1.905,117.298,309.7,2.4,1.5,2020-09-30,03:05,T,46,6.0NRT,291.8,16.6,D
2.441,113.723,309.6,1.3,1.1,2020-09-30,03:05,T,46,6.0NRT,294,6.7,D
4.481,114.039,320.1,1.2,1.1,2020-09-30,03:05,T,52,6.0NRT,297.8,15,D
4.874,115.289,316.9,1.5,1.2,2020-09-30,03:05,T,41,6.0NRT,299.4,13.1,D
4.882,115.304,317.5,1.5,1.2,2020-09-30,03:05,T,36,6.0NRT,299,14.4,D
4.884,115.291,317.4,1.5,1.2,2020-09-30,03:05,T,43,6.0NRT,299.5,14,D
5.032,118.325,312,2.5,1.5,2020-09-30,03:05,T,31,6.0NRT,292.5,26.5,D
15.3,108.717,323.6,1.6,1.2,2020-09-30,03:05,T,73,6.0NRT,293.2,25.4,D
15.871,107.996,315.8,1.9,1.3,2020-09-30,03:05,T,45,6.0NRT,293.5,15.9,D
15.888,107.858,330.7,1.9,1.3,2020-09-30,03:05,T,84,6.0NRT,292.2,58,D
-7.035,112.293,323.5,1.4,1.2,2020-09-30,03:10,T,34,6.0NRT,300.6,14.3,D
-6.984,112.815,329.7,1.5,1.2,2020-09-30,03:10,T,76,6.0NRT,298.2,31.6,D
-2.59,115.38,314.8,2,1.4,2020-09-30,03:10,T,70,6.0NRT,294.9,15.6,D
-7.546,112.661,324.1,1.5,1.2,2020-09-30,03:10,T,51,6.0NRT,301.2,13.5,D
-6.79,108.624,324.4,1,1,2020-09-30,03:10,T,54,6.0NRT,303.3,7.3,D
-6.448,107.451,323.2,1,1,2020-09-30,03:10,T,62,6.0NRT,304.4,8.9,D
-6.107,105.434,311.9,1.3,1.1,2020-09-30,03:10,T,28,6.0NRT,297.4,8.7,D
-6.105,105.422,316.2,1.3,1.1,2020-09-30,03:10,T,63,6.0NRT,299,14.1,D
-6.095,105.424,318.6,1.3,1.1,2020-09-30,03:10,T,68,6.0NRT,301.2,17.4,D
-11.962,142.329,328.6,1.2,1.1,2020-09-30,04:20,A,34,6.0NRT,310.2,12.3,D
-11.95,142.332,335.9,1.2,1.1,2020-09-30,04:20,A,84,6.0NRT,308.7,26.9,D
-11.952,142.322,330.3,1.2,1.1,2020-09-30,04:20,A,78,6.0NRT,308.7,16.7,D
-10.954,142.15,325.1,1.2,1.1,2020-09-30,04:20,A,68,6.0NRT,298.4,16.2,D
-11.63,132.886,325.7,2.3,1.5,2020-09-30,04:20,A,45,6.0NRT,301.2,34.3,D
-11.601,132.797,323.3,2.3,1.5,2020-09-30,04:20,A,66,6.0NRT,296.9,32.8,D
-11.605,132.793,321.2,2.3,1.5,2020-09-30,04:20,A,66,6.0NRT,297.2,27.1,D
-11.952,142.327,351.1,1.2,1.1,2020-09-30,04:20,A,95,6.0NRT,309.6,62,D
-8.15,139.303,339,1,1,2020-09-30,04:25,A,89,6.0NRT,303.9,28.4,D
-8.068,139.617,324.8,1,1,2020-09-30,04:25,A,72,6.0NRT,300.3,11.8,D
-8.046,139.511,321.3,1,1,2020-09-30,04:25,A,74,6.0NRT,298.9,11.3,D
-7.784,138.382,315.2,1,1,2020-09-30,04:25,A,31,6.0NRT,295.4,5.8,D
-3.778,141.788,318.8,1.4,1.2,2020-09-30,04:25,A,60,6.0NRT,296.4,11.2,D
7.97,126.363,310.5,3.5,1.8,2020-09-30,04:25,A,34,6.0NRT,289.7,33.5,D
-8.141,139.302,333.9,1,1,2020-09-30,04:25,A,80,6.0NRT,302.3,21.1,D
23.833,97.676,308.5,2.2,1.4,2020-09-30,04:40,T,46,6.0NRT,291,16.4,D
22.564,88.188,309.2,1.1,1.1,2020-09-30,04:40,T,43,6.0NRT,285.1,4.7,D
24.536,99.35,309.6,2.8,1.6,2020-09-30,04:40,T,0,6.0NRT,290.5,24.7,D
-8.781,115.877,334.5,1.1,1,2020-09-30,06:00,A,82,6.0NRT,302.5,25.8,D
-10.311,123.605,316.2,3.5,1.8,2020-09-30,06:00,A,62,6.0NRT,291.8,37.3,D
-10.302,123.599,318.6,3.5,1.8,2020-09-30,06:00,A,64,6.0NRT,292,46,D
-8.403,123.824,311.9,3.9,1.8,2020-09-30,06:00,A,38,6.0NRT,292.4,55.2,D
-8.386,123.82,312.2,3.9,1.8,2020-09-30,06:00,A,41,6.0NRT,292.6,56.8,D
-8.381,120.925,319.5,2.3,1.5,2020-09-30,06:00,A,60,6.0NRT,297.3,29.6,D
-8.74,118.241,329.8,1.5,1.2,2020-09-30,06:00,A,52,6.0NRT,300.9,22.2,D
-8.688,118.438,327.3,1.5,1.2,2020-09-30,06:00,A,39,6.0NRT,301.3,11.8,D
-8.732,118.081,330.9,1.4,1.2,2020-09-30,06:00,A,52,6.0NRT,298.2,32.6,D
-8.734,118.069,344.9,1.4,1.2,2020-09-30,06:00,A,76,6.0NRT,304.1,64.8,D
-8.76,117.502,336.1,1.3,1.1,2020-09-30,06:00,A,78,6.0NRT,303,36.5,D
-8.707,117.453,350.6,1.3,1.1,2020-09-30,06:00,A,94,6.0NRT,303.7,76.4,D
-6.6,108.082,327.1,1.9,1.4,2020-09-30,06:00,A,79,6.0NRT,305,21.6,D
-6.894,111.621,323.2,1.1,1.1,2020-09-30,06:00,A,64,6.0NRT,299.4,13,D
-6.89,115.418,325.8,1.1,1,2020-09-30,06:00,A,47,6.0NRT,300.4,12.8,D
-7.098,114.682,313.2,1,1,2020-09-30,06:00,A,57,6.0NRT,298.9,8.1,D
-7.501,117.175,312.2,1.3,1.1,2020-09-30,06:00,A,53,6.0NRT,299.9,10.6,D
-7.499,117.187,310.6,1.3,1.1,2020-09-30,06:00,A,41,6.0NRT,298.7,8.9,D
-7.486,117.476,310,1.4,1.2,2020-09-30,06:00,A,19,6.0NRT,297.8,9.7,D
-8.03,114.344,347.3,1,1,2020-09-30,06:00,A,94,6.0NRT,309.3,40,D
-7.583,117.448,310.7,1.3,1.1,2020-09-30,06:00,A,42,6.0NRT,297.8,10,D
-8.25,117.491,328.7,1.3,1.1,2020-09-30,06:00,A,0,6.0NRT,300.1,26.1,D
-8.29,117.783,320.7,1.4,1.2,2020-09-30,06:00,A,46,6.0NRT,293,10.9,D
-8.783,115.867,341.8,1.1,1,2020-09-30,06:00,A,89,6.0NRT,302.6,39.6,D
-8.587,117.829,313.8,1.4,1.2,2020-09-30,06:00,A,45,6.0NRT,298.2,12.5,D
0.609,111.675,314.7,1,1,2020-09-30,06:05,A,53,6.0NRT,290.7,7.4,D
0.519,111.428,313.9,1,1,2020-09-30,06:05,A,62,6.0NRT,293.6,6.2,D
0.521,111.437,327.7,1,1,2020-09-30,06:05,A,83,6.0NRT,293.6,20,D
0.545,111.8,321.1,1,1,2020-09-30,06:05,A,72,6.0NRT,290.6,13.2,D
0.524,111.721,321.2,1,1,2020-09-30,06:05,A,77,6.0NRT,291.4,13.4,D
0.72,113.087,315.5,1,1,2020-09-30,06:05,A,63,6.0NRT,295.5,7,D
0.556,112.007,308.4,1,1,2020-09-30,06:05,A,22,6.0NRT,280,5,D
0.7,113.081,322,1,1,2020-09-30,06:05,A,77,6.0NRT,295.6,13.4,D
0.676,112.974,314.7,1,1,2020-09-30,06:05,A,66,6.0NRT,297.6,6.8,D
0.464,111.69,317.1,1,1,2020-09-30,06:05,A,50,6.0NRT,297.1,7.8,D
0.509,112.003,312.3,1,1,2020-09-30,06:05,A,61,6.0NRT,287.3,6.9,D
0.608,112.824,315.4,1,1,2020-09-30,06:05,A,66,6.0NRT,293.6,7.6,D
0.721,111.68,322.5,1,1,2020-09-30,06:05,A,73,6.0NRT,296.4,14,D
0.391,111.499,321.2,1,1,2020-09-30,06:05,A,59,6.0NRT,282.7,16.1,D
0.382,111.5,337.3,1,1,2020-09-30,06:05,A,75,6.0NRT,281.2,35.5,D
0.379,111.546,309.9,1,1,2020-09-30,06:05,A,24,6.0NRT,287.4,5.4,D
0.381,111.555,313.9,1,1,2020-09-30,06:05,A,66,6.0NRT,286.1,8.2,D
0.464,112.136,315,1,1,2020-09-30,06:05,A,58,6.0NRT,294.9,8.5,D
0.362,111.555,330.7,1,1,2020-09-30,06:05,A,80,6.0NRT,278.9,27.3,D
0.348,111.84,313.1,1,1,2020-09-30,06:05,A,63,6.0NRT,294.4,5.4,D
0.316,111.879,348.8,1,1,2020-09-30,06:05,A,89,6.0NRT,293.2,54.5,D
0.442,112.76,311.7,1,1,2020-09-30,06:05,A,50,6.0NRT,295.4,3.8,D
0.426,112.716,312.1,1,1,2020-09-30,06:05,A,57,6.0NRT,295.9,4.7,D
0.308,111.953,328.9,1,1,2020-09-30,06:05,A,76,6.0NRT,295.4,19.9,D
0.298,111.945,324.4,1,1,2020-09-30,06:05,A,71,6.0NRT,296.3,14.9,D
0.265,111.841,320.7,1,1,2020-09-30,06:05,A,75,6.0NRT,296,12.9,D
0.268,112.058,323.5,1,1,2020-09-30,06:05,A,38,6.0NRT,294.6,15.7,D
0.252,112.006,328.7,1,1,2020-09-30,06:05,A,74,6.0NRT,296.1,19.2,D
0.352,112.833,318,1,1,2020-09-30,06:05,A,70,6.0NRT,295.2,10.1,D
0.209,112.027,313.7,1,1,2020-09-30,06:05,A,52,6.0NRT,296.1,6,D
0.149,111.927,311.7,1,1,2020-09-30,06:05,A,33,6.0NRT,292.8,5.5,D
-0.073,110.895,324.8,1.1,1,2020-09-30,06:05,A,80,6.0NRT,289.7,18.8,D
-0.397,110.224,316.1,1.1,1.1,2020-09-30,06:05,A,70,6.0NRT,295.4,9.5,D
-0.391,110.336,317.1,1.1,1.1,2020-09-30,06:05,A,72,6.0NRT,295.7,10.1,D
-0.207,113.042,317.4,1,1,2020-09-30,06:05,A,51,6.0NRT,295.6,7.8,D
-0.836,113.664,313.4,1,1,2020-09-30,06:05,A,59,6.0NRT,296.7,6.2,D
-1.68,110.534,332.9,1.1,1.1,2020-09-30,06:05,A,87,6.0NRT,295.4,29.7,D
-1.689,110.535,333.8,1.1,1.1,2020-09-30,06:05,A,87,6.0NRT,295.7,31.7,D
-1.7,110.527,324.3,1.1,1.1,2020-09-30,06:05,A,79,6.0NRT,294.9,17.7,D
-1.796,110.604,313.2,1.1,1.1,2020-09-30,06:05,A,56,6.0NRT,294.6,6.8,D
-1.826,110.598,358,1.1,1.1,2020-09-30,06:05,A,99,6.0NRT,295.7,88.7,D
-1.824,110.608,321.9,1.1,1.1,2020-09-30,06:05,A,78,6.0NRT,295.2,15.1,D
-1.838,110.651,319.8,1.1,1.1,2020-09-30,06:05,A,75,6.0NRT,294.3,13.1,D
-1.88,110.626,316.4,1.1,1.1,2020-09-30,06:05,A,71,6.0NRT,293.2,10.3,D
-1.884,110.633,328.3,1.1,1.1,2020-09-30,06:05,A,83,6.0NRT,292.3,23.6,D
-1.898,110.604,319.1,1.1,1.1,2020-09-30,06:05,A,74,6.0NRT,295,12.1,D
-1.897,110.614,313.6,1.1,1.1,2020-09-30,06:05,A,27,6.0NRT,294.2,5.9,D
-1.973,110.553,321.1,1.1,1.1,2020-09-30,06:05,A,76,6.0NRT,292.7,14.4,D
-1.944,110.753,323.9,1.1,1.1,2020-09-30,06:05,A,79,6.0NRT,295.4,18.5,D
-2.068,110.593,323.7,1.1,1.1,2020-09-30,06:05,A,79,6.0NRT,295.7,19.8,D
-2.074,110.59,328.8,1.1,1.1,2020-09-30,06:05,A,83,6.0NRT,295.2,25.3,D
-1.871,112.102,312.5,1,1,2020-09-30,06:05,A,56,6.0NRT,293,6.7,D
-1.869,112.111,320.4,1,1,2020-09-30,06:05,A,70,6.0NRT,293.1,13.7,D
-2.762,106.354,310.3,2.3,1.5,2020-09-30,06:05,A,35,6.0NRT,290,20.4,D
