latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-21.615,-47.403,303.5,1.1,1.1,2020-09-11,01:40,T,46,6.0NRT,288.8,7.6,N
-17.145,-52.572,309.7,2.2,1.4,2020-09-11,01:40,T,78,6.0NRT,293.4,26.1,N
-17.146,-52.578,310.1,2.2,1.4,2020-09-11,01:40,T,79,6.0NRT,293.9,27.6,N
-16.593,-48.86,304.9,1.2,1.1,2020-09-11,01:40,T,62,6.0NRT,290,9.4,N
-17.378,-56.391,310.6,4.2,1.9,2020-09-11,01:40,T,80,6.0NRT,291.1,74.8,N
-17.382,-56.431,305.6,4.3,1.9,2020-09-11,01:40,T,65,6.0NRT,291.5,48.7,N
-17.374,-56.399,314,4.2,1.9,2020-09-11,01:40,T,88,6.0NRT,291.5,95.1,N
-17.269,-56.782,303.1,4.5,2,2020-09-11,01:40,T,53,6.0NRT,288.3,50.4,N
-25.664,-42.858,308.9,1,1,2020-09-11,01:40,T,63,6.0NRT,293.5,7.7,N
-25.655,-42.86,313.2,1,1,2020-09-11,01:40,T,81,6.0NRT,293.4,10.7,N
-24.951,-42.47,308.4,1.1,1,2020-09-11,01:40,T,61,6.0NRT,294.1,7.8,N
-23.596,-48.217,306.4,1.3,1.1,2020-09-11,01:40,T,68,6.0NRT,289.8,11.5,N
-23.598,-48.23,321.8,1.3,1.1,2020-09-11,01:40,T,100,6.0NRT,290.3,30.4,N
-22.914,-43.736,306.1,1,1,2020-09-11,01:40,T,14,6.0NRT,295.1,4.8,N
-22.905,-43.738,308.6,1,1,2020-09-11,01:40,T,51,6.0NRT,295.4,6.5,N
-23.252,-47.063,305.2,1.1,1.1,2020-09-11,01:40,T,49,6.0NRT,292.3,6.8,N
-23.253,-47.075,304.2,1.1,1.1,2020-09-11,01:40,T,39,6.0NRT,291.7,6.2,N
-23.242,-47.065,304,1.1,1.1,2020-09-11,01:40,T,44,6.0NRT,291.4,6,N
-23.244,-47.076,305.9,1.1,1.1,2020-09-11,01:40,T,61,6.0NRT,290.9,7.6,N
-23.024,-46.559,339.1,1.1,1,2020-09-11,01:40,T,100,6.0NRT,294.1,47.1,N
-23.025,-46.569,301.8,1.1,1,2020-09-11,01:40,T,6,6.0NRT,289.7,4.5,N
-23.013,-46.549,319.7,1.1,1,2020-09-11,01:40,T,99,6.0NRT,292.8,18.9,N
-23.014,-46.56,345.1,1.1,1,2020-09-11,01:40,T,100,6.0NRT,293.7,58.8,N
-23.016,-46.571,305,1.1,1,2020-09-11,01:40,T,48,6.0NRT,289.4,6.7,N
-22.481,-43.671,311.2,1,1,2020-09-11,01:40,T,82,6.0NRT,292.9,9.7,N
