latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
23.679,86.091,318,1.2,1.1,2020-09-17,05:10,T,50,6.0NRT,292.1,9.5,D
23.75,85.857,317.1,1.2,1.1,2020-09-17,05:10,T,67,6.0NRT,295,10.1,D
17.967,80.863,318.8,1,1,2020-09-17,05:10,T,27,6.0NRT,298.2,7.7,D
24.494,83.371,318.2,1,1,2020-09-17,05:10,T,38,6.0NRT,297.1,8,D
23.772,86.396,316.9,1.3,1.1,2020-09-17,05:10,T,37,6.0NRT,288.1,8.8,D
20.142,83.11,311.5,1,1,2020-09-17,05:10,T,0,6.0NRT,288.9,4.6,D
20.72,79.787,313.5,1.2,1.1,2020-09-17,05:10,T,42,6.0NRT,291.3,8.6,D
20.418,85.055,312.4,1.2,1.1,2020-09-17,05:10,T,47,6.0NRT,290.4,7.6,D
20.786,85.26,320.3,1.2,1.1,2020-09-17,05:10,T,73,6.0NRT,296.6,13.7,D
21.318,82.152,317.9,1,1,2020-09-17,05:10,T,63,6.0NRT,297.6,9.3,D
21.725,82.706,315.5,1,1,2020-09-17,05:10,T,0,6.0NRT,296.9,6.3,D
21.678,84.043,318.2,1.1,1,2020-09-17,05:10,T,70,6.0NRT,297.6,9.2,D
23.733,85.011,316,1.1,1,2020-09-17,05:10,T,46,6.0NRT,297.5,6.9,D
9.106,78.58,312.8,1,1,2020-09-17,05:15,T,56,6.0NRT,299.9,7.7,D
7.243,81.676,318,1.2,1.1,2020-09-17,05:15,T,56,6.0NRT,293.8,6.9,D
23.848,94.239,314.6,1.6,1.3,2020-09-17,06:40,A,71,6.0NRT,290.6,14.9,D
17.488,100.035,306.4,1,1,2020-09-17,06:40,A,47,6.0NRT,274.2,3.7,D
19.777,100.19,315.7,1,1,2020-09-17,06:40,A,28,6.0NRT,297.5,6.1,D
19.244,95.426,314.8,1.6,1.3,2020-09-17,06:40,A,43,6.0NRT,292.8,13,D
21.67,100.021,317.2,1,1,2020-09-17,06:40,A,37,6.0NRT,297.1,6.9,D
37.388,60.904,346.1,1,1,2020-09-17,06:45,T,92,6.0NRT,303,46.2,D
33.251,65.005,323.9,1.4,1.2,2020-09-17,06:45,T,46,6.0NRT,310.5,10.9,D
37.594,61.531,324.8,1,1,2020-09-17,06:45,T,65,6.0NRT,306.1,9,D
27.209,57.021,360,1.1,1,2020-09-17,06:50,T,100,6.0NRT,324.1,72.6,D
27.207,57.032,338.2,1.1,1,2020-09-17,06:50,T,77,6.0NRT,321.6,19.9,D
27.17,56.055,335.4,1.2,1.1,2020-09-17,06:50,T,71,6.0NRT,322.6,13.2,D
25.404,66.493,312,2.5,1.5,2020-09-17,06:50,T,29,6.0NRT,296.5,21.5,D
23.654,57.905,332.5,1,1,2020-09-17,06:50,T,59,6.0NRT,318.7,8.4,D
27.21,57.01,333,1.1,1,2020-09-17,06:50,T,41,6.0NRT,321,9.4,D
30.383,73.624,322.8,1,1,2020-09-17,08:20,A,69,6.0NRT,301,10.6,D
31.726,74.971,323.1,1.1,1.1,2020-09-17,08:20,A,71,6.0NRT,302.5,13,D
31.721,75.007,321.6,1.1,1.1,2020-09-17,08:20,A,69,6.0NRT,302.8,11.6,D
31.723,75.019,323.5,1.1,1.1,2020-09-17,08:20,A,72,6.0NRT,302.1,14.2,D
30.756,73.657,322.1,1,1,2020-09-17,08:20,A,66,6.0NRT,301.9,9.2,D
30.763,73.71,318.3,1,1,2020-09-17,08:20,A,47,6.0NRT,301.5,5.6,D
30.661,73.511,317.7,1,1,2020-09-17,08:20,A,43,6.0NRT,301.2,4.9,D
30.663,73.521,317.9,1,1,2020-09-17,08:20,A,46,6.0NRT,301.2,4.8,D
30.679,74.044,322.2,1,1,2020-09-17,08:20,A,68,6.0NRT,301.5,10.2,D
30.606,73.837,322.8,1,1,2020-09-17,08:20,A,69,6.0NRT,301.6,10.3,D
30.607,73.912,319.9,1,1,2020-09-17,08:20,A,63,6.0NRT,300.9,8.4,D
30.522,73.692,318.5,1,1,2020-09-17,08:20,A,45,6.0NRT,302,5.5,D
30.376,73.572,323.3,1,1,2020-09-17,08:20,A,61,6.0NRT,302.3,9.1,D
30.358,73.575,323.3,1,1,2020-09-17,08:20,A,64,6.0NRT,303,9.1,D
28.515,70.574,325.1,1.2,1.1,2020-09-17,08:20,A,57,6.0NRT,305.9,13.8,D
38.209,58.852,319.6,3.7,1.8,2020-09-17,08:25,A,53,6.0NRT,298.2,50.4,D
38.199,58.812,319.3,3.7,1.8,2020-09-17,08:25,A,47,6.0NRT,297.4,46.4,D
38.201,58.851,321.5,3.7,1.8,2020-09-17,08:25,A,61,6.0NRT,298.6,61.4,D
38.191,58.811,318.2,3.7,1.8,2020-09-17,08:25,A,31,6.0NRT,297.9,38.9,D
20.961,85.172,302.7,2.4,1.5,2020-09-17,16:05,T,51,6.0NRT,282.1,13.4,N
20.965,85.176,302.8,2.4,1.5,2020-09-17,16:05,T,49,6.0NRT,282.1,11.9,N
15.17,76.666,303.1,1,1,2020-09-17,20:30,A,18,6.0NRT,290.2,4,N
15.181,76.658,304.9,1,1,2020-09-17,20:30,A,62,6.0NRT,291.1,5.1,N
24.511,54.017,318.4,1,1,2020-09-17,22:05,A,96,6.0NRT,303.8,10.9,N
24.509,54.027,313.9,1,1,2020-09-17,22:05,A,84,6.0NRT,303.7,6.9,N
29.996,55.857,300.4,1,1,2020-09-17,22:05,A,26,6.0NRT,280.8,7.6,N
22.519,56.56,308.6,1.1,1,2020-09-17,22:10,A,72,6.0NRT,297.4,6.9,N
22.335,56.494,310.6,1.1,1,2020-09-17,22:10,A,79,6.0NRT,298.2,7.9,N
22.329,56.487,308.3,1.1,1,2020-09-17,22:10,A,73,6.0NRT,298.1,6.2,N
22.327,56.497,310.8,1.1,1,2020-09-17,22:10,A,80,6.0NRT,298.7,8.2,N
22.159,56.028,312.5,1,1,2020-09-17,22:10,A,85,6.0NRT,298.3,10,N
20.598,55.916,305.7,1.1,1,2020-09-17,22:10,A,65,6.0NRT,295.6,5.9,N
19.378,56.16,304.4,1.1,1.1,2020-09-17,22:10,A,60,6.0NRT,293.7,6,N
23.153,55.447,304.4,1,1,2020-09-17,22:10,A,60,6.0NRT,292.6,5.7,N
