latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-23.364,21.004,300.9,1,1,2020-09-18,00:00,A,30,6.0NRT,281.8,7.5,N
-23.325,20.924,307,1,1,2020-09-18,00:00,A,70,6.0NRT,283.7,11.2,N
-23.327,20.934,345.2,1,1,2020-09-18,00:00,A,100,6.0NRT,288.4,57.5,N
-23.328,20.944,328.1,1,1,2020-09-18,00:00,A,100,6.0NRT,286.6,29.9,N
-23.337,20.947,332.1,1,1,2020-09-18,00:00,A,100,6.0NRT,286.2,35.6,N
-19.899,21.321,310.3,1,1,2020-09-18,00:00,A,80,6.0NRT,288,11.4,N
-19.907,21.31,307.3,1,1,2020-09-18,00:00,A,71,6.0NRT,288.2,10.1,N
-19.908,21.319,339.9,1,1,2020-09-18,00:00,A,100,6.0NRT,291.2,46.2,N
-19.943,21.432,316.8,1,1,2020-09-18,00:00,A,94,6.0NRT,288.5,17.5,N
-20.015,21.424,302.1,1,1,2020-09-18,00:00,A,46,6.0NRT,286.6,7,N
-20.099,21.434,310.1,1,1,2020-09-18,00:00,A,79,6.0NRT,287.2,12,N
-23.22,20.958,301.8,1,1,2020-09-18,00:00,A,10,6.0NRT,281.2,7.1,N
-23.299,21,302.4,1,1,2020-09-18,00:00,A,49,6.0NRT,283.3,8.2,N
-18.551,19.741,305.5,1,1,2020-09-18,00:00,A,65,6.0NRT,284.6,10,N
-23.3,21.01,303.2,1,1,2020-09-18,00:00,A,54,6.0NRT,282.6,8.7,N
-23.338,20.957,326.8,1,1,2020-09-18,00:00,A,100,6.0NRT,287.1,28.6,N
-23.34,20.967,308.3,1,1,2020-09-18,00:00,A,50,6.0NRT,283.6,11,N
-23.349,20.965,319,1,1,2020-09-18,00:00,A,98,6.0NRT,284.6,20.2,N
-19.898,21.311,315,1,1,2020-09-18,00:00,A,90,6.0NRT,288.6,15.1,N
-7.167,31.936,323.6,3.3,1.7,2020-09-18,07:40,T,69,6.0NRT,298.5,70.7,D
-7.805,35.639,326.3,1.7,1.3,2020-09-18,07:40,T,76,6.0NRT,303.7,28.5,D
-7.011,30.726,316.8,4.2,1.9,2020-09-18,07:40,T,48,6.0NRT,297.5,50.4,D
-7.271,32.272,334,3.1,1.7,2020-09-18,07:40,T,83,6.0NRT,301.9,125.7,D
-7.275,32.3,338,3.1,1.7,2020-09-18,07:40,T,86,6.0NRT,303.9,155.2,D
-7.253,32.069,327.5,3.2,1.7,2020-09-18,07:40,T,76,6.0NRT,302.6,86.9,D
-8.357,38.88,329.6,1.1,1,2020-09-18,07:40,T,66,6.0NRT,300.3,21.1,D
-7.015,30.72,314.8,4.2,1.9,2020-09-18,07:40,T,24,6.0NRT,297.5,34.9,D
-7.249,32.064,326.6,3.2,1.7,2020-09-18,07:40,T,75,6.0NRT,302.4,84.7,D
-7.559,33.634,319.3,2.4,1.5,2020-09-18,07:40,T,53,6.0NRT,301.5,32.7,D
-7.563,33.656,316.9,2.4,1.5,2020-09-18,07:40,T,34,6.0NRT,300.8,24.8,D
-7.572,33.632,315.6,2.4,1.5,2020-09-18,07:40,T,22,6.0NRT,300.9,21.8,D
-7.576,33.654,321.9,2.4,1.5,2020-09-18,07:40,T,68,6.0NRT,300.6,42.9,D
-8.183,37.322,318.3,1.3,1.1,2020-09-18,07:40,T,59,6.0NRT,293.1,13.1,D
