latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
19.712,-87.74,305.1,2.5,1.5,2020-09-02,03:40,T,39,6.0NRT,293.6,15.6,N
19.58,-87.875,304.3,2.5,1.5,2020-09-02,03:40,T,60,6.0NRT,292.2,15.2,N
19.7,-87.756,306.8,2.5,1.5,2020-09-02,03:40,T,18,6.0NRT,292.1,18.1,N
33.018,-79.884,306.9,1.3,1.1,2020-09-02,03:40,T,60,6.0NRT,293.3,6.8,N
19.708,-87.763,303.3,2.5,1.5,2020-09-02,03:40,T,21,6.0NRT,292,12.8,N
22.704,-82.472,312.7,1,1,2020-09-02,03:40,T,85,6.0NRT,295.8,9.6,N
20.576,-101.172,302.2,1.4,1.2,2020-09-02,05:15,T,27,6.0NRT,288.3,10.1,N
39.84,-121.03,310.1,3,1.6,2020-09-02,05:20,T,79,6.0NRT,292.7,42.1,N
39.855,-120.967,310.9,3,1.6,2020-09-02,05:20,T,81,6.0NRT,294.2,46.6,N
39.816,-121.125,306.6,3,1.7,2020-09-02,05:20,T,10,6.0NRT,293.2,29,N
39.831,-121.061,313.8,3,1.6,2020-09-02,05:20,T,43,6.0NRT,293.9,50.1,N
39.855,-120.962,307.6,3,1.6,2020-09-02,05:20,T,25,6.0NRT,294,33,N
38.515,-119.564,312.2,2.7,1.6,2020-09-02,05:20,T,84,6.0NRT,284.7,52.6,N
38.495,-119.588,309.6,2.7,1.6,2020-09-02,05:20,T,78,6.0NRT,282.5,47.6,N
38.487,-119.497,305.6,2.6,1.6,2020-09-02,05:20,T,65,6.0NRT,285.9,34.2,N
38.461,-119.543,304.1,2.7,1.6,2020-09-02,05:20,T,52,6.0NRT,283.5,32.7,N
38.468,-119.517,320,2.7,1.6,2020-09-02,05:20,T,99,6.0NRT,285.8,81.5,N
38.474,-119.491,323,2.6,1.6,2020-09-02,05:20,T,100,6.0NRT,287.8,91.7,N
38.47,-119.54,310.4,2.7,1.6,2020-09-02,05:20,T,80,6.0NRT,283.8,49.1,N
38.476,-119.517,313,2.7,1.6,2020-09-02,05:20,T,86,6.0NRT,285.1,55.5,N
38.482,-119.49,313.8,2.6,1.6,2020-09-02,05:20,T,88,6.0NRT,286.9,57.4,N
