latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
40.028,-123.043,307.4,1.7,1.3,2020-09-14,05:45,T,28,6.0NRT,288.2,17.2,N
40.062,-122.933,336.6,1.7,1.3,2020-09-14,05:45,T,100,6.0NRT,291,80.4,N
40.058,-122.949,340,1.7,1.3,2020-09-14,05:45,T,100,6.0NRT,289.8,90.3,N
40.035,-123.065,332.3,1.7,1.3,2020-09-14,05:45,T,70,6.0NRT,288.6,64,N
40.031,-123.087,323.8,1.7,1.3,2020-09-14,05:45,T,91,6.0NRT,287.7,45.8,N
40.054,-123.028,328.8,1.7,1.3,2020-09-14,05:45,T,62,6.0NRT,288.9,52.9,N
40.05,-123.048,347.1,1.7,1.3,2020-09-14,05:45,T,100,6.0NRT,291.5,113.8,N
40.046,-123.069,367.4,1.7,1.3,2020-09-14,05:45,T,100,6.0NRT,292.6,227.1,N
40.042,-123.09,327.1,1.7,1.3,2020-09-14,05:45,T,100,6.0NRT,287.3,53.1,N
40.084,-122.941,319.7,1.7,1.3,2020-09-14,05:45,T,99,6.0NRT,289.9,38.1,N
40.065,-123.034,341.9,1.7,1.3,2020-09-14,05:45,T,100,6.0NRT,289.4,96.9,N
40.061,-123.054,358,1.7,1.3,2020-09-14,05:45,T,100,6.0NRT,292.4,169.6,N
40.057,-123.074,365.4,1.7,1.3,2020-09-14,05:45,T,100,6.0NRT,291.4,217.6,N
40.053,-123.093,308.2,1.7,1.3,2020-09-14,05:45,T,74,6.0NRT,285.5,19.9,N
40.052,-123.033,336.1,1.7,1.3,2020-09-14,05:45,T,100,6.0NRT,290.1,76.6,N
40.048,-123.053,336.4,1.7,1.3,2020-09-14,05:45,T,100,6.0NRT,290.5,77.3,N
41.944,-123.375,306.7,1.6,1.2,2020-09-14,05:45,T,40,6.0NRT,272,18.2,N
40.044,-123.075,349.1,1.7,1.3,2020-09-14,05:45,T,100,6.0NRT,291.5,128.4,N
40.082,-122.946,321.8,1.7,1.3,2020-09-14,05:45,T,100,6.0NRT,290,42.2,N
40.063,-123.039,356.4,1.7,1.3,2020-09-14,05:45,T,100,6.0NRT,291.8,166.1,N
40.059,-123.059,356.9,1.7,1.3,2020-09-14,05:45,T,100,6.0NRT,292.6,168.8,N
40.055,-123.079,367.9,1.7,1.3,2020-09-14,05:45,T,100,6.0NRT,290.9,237.2,N
40.093,-122.948,303.2,1.7,1.3,2020-09-14,05:45,T,35,6.0NRT,287.5,12.4,N
40.074,-123.044,304,1.7,1.3,2020-09-14,05:45,T,20,6.0NRT,285.6,14.3,N
40.07,-123.063,327,1.7,1.3,2020-09-14,05:45,T,100,6.0NRT,287.4,56.5,N
40.066,-123.083,311,1.7,1.3,2020-09-14,05:45,T,82,6.0NRT,286.3,23.9,N
40.032,-123.306,302.6,1.7,1.3,2020-09-14,05:45,T,14,6.0NRT,289.1,11.4,N
40.088,-123.152,314,1.7,1.3,2020-09-14,05:45,T,88,6.0NRT,287.8,28.8,N
40.055,-123.314,318.8,1.7,1.3,2020-09-14,05:45,T,98,6.0NRT,291.7,36.5,N
40.051,-123.333,320,1.7,1.3,2020-09-14,05:45,T,100,6.0NRT,291.3,39.1,N
40.107,-123.117,306,1.7,1.3,2020-09-14,05:45,T,66,6.0NRT,286.9,17.8,N
40.103,-123.136,307,1.7,1.3,2020-09-14,05:45,T,70,6.0NRT,287.3,18.7,N
40.062,-123.337,302.7,1.7,1.3,2020-09-14,05:45,T,13,6.0NRT,288.8,11,N
40.192,-122.927,306.9,1.6,1.3,2020-09-14,05:45,T,70,6.0NRT,288.8,18.4,N
40.217,-122.977,306.7,1.7,1.3,2020-09-14,05:45,T,69,6.0NRT,289.1,18.2,N
40.249,-123.163,318.4,1.7,1.3,2020-09-14,05:45,T,97,6.0NRT,284.5,39,N
40.253,-123.204,325.8,1.7,1.3,2020-09-14,05:45,T,57,6.0NRT,282.1,45.7,N
40.268,-123.191,322,1.7,1.3,2020-09-14,05:45,T,0,6.0NRT,286.1,40.4,N
40.264,-123.208,321.4,1.7,1.3,2020-09-14,05:45,T,0,6.0NRT,282.2,34.7,N
40.279,-123.195,332.7,1.7,1.3,2020-09-14,05:45,T,100,6.0NRT,284.7,71.9,N
40.275,-123.213,324.2,1.7,1.3,2020-09-14,05:45,T,0,6.0NRT,282,41.7,N
40.29,-123.198,334,1.7,1.3,2020-09-14,05:45,T,100,6.0NRT,279,77.1,N
40.286,-123.218,326.8,1.7,1.3,2020-09-14,05:45,T,34,6.0NRT,273.7,50.2,N
40.282,-123.236,317.6,1.7,1.3,2020-09-14,05:45,T,48,6.0NRT,275,32,N
40.301,-123.201,312.1,1.7,1.3,2020-09-14,05:45,T,84,6.0NRT,270.3,29,N
40.293,-123.24,320.2,1.7,1.3,2020-09-14,05:45,T,71,6.0NRT,269,38.2,N
40.301,-123.262,320.4,1.7,1.3,2020-09-14,05:45,T,71,6.0NRT,270.1,39.3,N
40.299,-123.207,322.9,1.7,1.3,2020-09-14,05:45,T,100,6.0NRT,268.7,50.8,N
40.291,-123.244,320.2,1.7,1.3,2020-09-14,05:45,T,90,6.0NRT,270.4,40,N
40.298,-123.267,315.5,1.7,1.3,2020-09-14,05:45,T,50,6.0NRT,270.4,31.3,N
42.091,-114.162,308.1,1.1,1.1,2020-09-14,05:45,T,26,6.0NRT,285.3,11.8,N
42.115,-114.123,343.6,1.2,1.1,2020-09-14,05:45,T,100,6.0NRT,291.4,61.9,N
42.114,-114.137,348.5,1.2,1.1,2020-09-14,05:45,T,100,6.0NRT,293.5,71.9,N
42.12,-114.116,310,1.2,1.1,2020-09-14,05:45,T,79,6.0NRT,288.2,15.4,N
42.118,-114.13,380.5,1.2,1.1,2020-09-14,05:45,T,100,6.0NRT,300.8,194.3,N
42.117,-114.144,326.5,1.2,1.1,2020-09-14,05:45,T,100,6.0NRT,290.7,33,N
42.115,-114.159,302.6,1.2,1.1,2020-09-14,05:45,T,18,6.0NRT,288.2,8.3,N
42.113,-114.173,312.7,1.1,1.1,2020-09-14,05:45,T,85,6.0NRT,288.8,17.3,N
42.112,-114.187,301.9,1.1,1.1,2020-09-14,05:45,T,12,6.0NRT,283.6,7.4,N
42.13,-114.118,318.7,1.2,1.1,2020-09-14,05:45,T,97,6.0NRT,286,23.7,N
42.128,-114.133,392.2,1.2,1.1,2020-09-14,05:45,T,100,6.0NRT,300.9,261.2,N
42.126,-114.147,376,1.2,1.1,2020-09-14,05:45,T,100,6.0NRT,298.1,172,N
42.125,-114.161,319.3,1.2,1.1,2020-09-14,05:45,T,72,6.0NRT,288.3,22.5,N
42.123,-114.175,392.5,1.1,1.1,2020-09-14,05:45,T,100,6.0NRT,303,261.1,N
42.121,-114.189,404,1.1,1.1,2020-09-14,05:45,T,100,6.0NRT,298.7,341.9,N
42.137,-114.134,336.6,1.2,1.1,2020-09-14,05:45,T,100,6.0NRT,287.2,48.6,N
42.136,-114.149,324.6,1.2,1.1,2020-09-14,05:45,T,100,6.0NRT,287.7,28.6,N
42.134,-114.163,327.1,1.2,1.1,2020-09-14,05:45,T,100,6.0NRT,290,33.2,N
42.132,-114.177,385,1.1,1.1,2020-09-14,05:45,T,100,6.0NRT,299.1,215.2,N
42.131,-114.191,394.7,1.1,1.1,2020-09-14,05:45,T,100,6.0NRT,293.9,274.1,N
42.144,-114.164,337.5,1.2,1.1,2020-09-14,05:45,T,100,6.0NRT,290.8,50.3,N
42.142,-114.179,370.4,1.1,1.1,2020-09-14,05:45,T,100,6.0NRT,300,146.1,N
42.14,-114.193,371.3,1.1,1.1,2020-09-14,05:45,T,100,6.0NRT,294.1,149.5,N
42.151,-114.181,339.1,1.1,1.1,2020-09-14,05:45,T,100,6.0NRT,292.7,53.6,N
42.15,-114.195,338.3,1.1,1.1,2020-09-14,05:45,T,100,6.0NRT,288.7,51.6,N
42.161,-114.183,360,1.1,1.1,2020-09-14,05:45,T,100,6.0NRT,290.9,108.3,N
42.159,-114.197,329,1.1,1.1,2020-09-14,05:45,T,100,6.0NRT,287.1,36,N
41.012,-123.46,316.7,1.7,1.3,2020-09-14,05:45,T,94,6.0NRT,273.5,36.3,N
41.008,-123.48,311.7,1.7,1.3,2020-09-14,05:45,T,77,6.0NRT,272.3,27.7,N
41.01,-123.465,318.9,1.7,1.3,2020-09-14,05:45,T,98,6.0NRT,273.6,41,N
41.021,-123.469,323.3,1.7,1.3,2020-09-14,05:45,T,100,6.0NRT,272.6,50.8,N
41.073,-123.328,301,1.6,1.3,2020-09-14,05:45,T,37,6.0NRT,281.3,12.6,N
41.146,-123.314,307.9,1.6,1.3,2020-09-14,05:45,T,32,6.0NRT,278.2,18.4,N
41.168,-123.323,320.8,1.6,1.3,2020-09-14,05:45,T,0,6.0NRT,280.5,37.3,N
41.179,-123.328,313.8,1.6,1.3,2020-09-14,05:45,T,36,6.0NRT,276.3,25.5,N
41.19,-123.332,319.5,1.6,1.3,2020-09-14,05:45,T,51,6.0NRT,277.8,35.1,N
41.197,-123.354,343.6,1.6,1.3,2020-09-14,05:45,T,100,6.0NRT,282.2,103.8,N
41.194,-123.372,314.7,1.6,1.3,2020-09-14,05:45,T,76,6.0NRT,277.1,29.7,N
41.207,-123.363,300.6,1.6,1.3,2020-09-14,05:45,T,8,6.0NRT,277.1,11.2,N
41.817,-123.309,303.4,1.6,1.2,2020-09-14,05:45,T,53,6.0NRT,277.8,14.7,N
41.814,-123.326,312.7,1.6,1.2,2020-09-14,05:45,T,85,6.0NRT,277.1,27.5,N
41.879,-123.347,304.6,1.6,1.2,2020-09-14,05:45,T,23,6.0NRT,278.1,15.2,N
41.901,-123.36,362.4,1.6,1.2,2020-09-14,05:45,T,100,6.0NRT,279.9,184.1,N
41.898,-123.377,362.1,1.6,1.2,2020-09-14,05:45,T,100,6.0NRT,277.8,183.1,N
41.908,-123.381,308.5,1.6,1.2,2020-09-14,05:45,T,57,6.0NRT,271.6,20.3,N
41.938,-123.29,316.5,1.6,1.2,2020-09-14,05:45,T,93,6.0NRT,273.7,33.4,N
41.941,-123.392,301.4,1.6,1.2,2020-09-14,05:45,T,6,6.0NRT,270.5,12.3,N
40.496,-110.435,302.4,1.7,1.3,2020-09-14,05:45,T,24,6.0NRT,282.9,15.5,N
40.494,-110.455,300.3,1.7,1.3,2020-09-14,05:45,T,7,6.0NRT,282.2,13.2,N
40.494,-110.442,301.1,1.7,1.3,2020-09-14,05:45,T,38,6.0NRT,282.8,15.6,N
40.687,-110.705,303.5,1.6,1.3,2020-09-14,05:45,T,55,6.0NRT,279.9,18.9,N
40.685,-110.726,316.4,1.6,1.3,2020-09-14,05:45,T,93,6.0NRT,281.9,37.4,N
40.029,-122.92,323.6,1.7,1.3,2020-09-14,05:45,T,100,6.0NRT,290.2,46.2,N
40.025,-122.937,337,1.7,1.3,2020-09-14,05:45,T,100,6.0NRT,291.6,82.1,N
40.04,-122.922,305.5,1.7,1.3,2020-09-14,05:45,T,24,6.0NRT,288.2,14.8,N
