latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
18.925,-70.353,320.4,1.4,1.2,2020-09-03,02:40,T,100,6.0NRT,291.5,31.6,N
18.642,-96.217,306.5,1.7,1.3,2020-09-03,04:20,T,68,6.0NRT,293.7,11.5,N
18.872,-88.633,304.2,1.1,1.1,2020-09-03,04:20,T,59,6.0NRT,278.4,7.7,N
18.874,-88.623,308.4,1.1,1.1,2020-09-03,04:20,T,74,6.0NRT,279.4,10.7,N
18.035,-93.929,322.5,1.3,1.1,2020-09-03,04:20,T,100,6.0NRT,294.4,25.3,N
18.037,-93.917,307.3,1.3,1.1,2020-09-03,04:20,T,71,6.0NRT,294.2,7.6,N
18.035,-93.923,318.3,1.3,1.1,2020-09-03,04:20,T,96,6.0NRT,294.5,19.2,N
17.916,-93.52,308.7,1.2,1.1,2020-09-03,04:20,T,74,6.0NRT,288.6,9.1,N
17.913,-93.525,312.9,1.2,1.1,2020-09-03,04:20,T,85,6.0NRT,288.2,12.6,N
17.895,-93.196,312.7,1.2,1.1,2020-09-03,04:20,T,85,6.0NRT,294.2,10.7,N
17.897,-93.185,334.1,1.2,1.1,2020-09-03,04:20,T,100,6.0NRT,294.7,39.1,N
17.899,-93.175,306,1.2,1.1,2020-09-03,04:20,T,53,6.0NRT,294,4.8,N
17.886,-93.194,315.1,1.2,1.1,2020-09-03,04:20,T,90,6.0NRT,293.6,13.3,N
17.843,-93.126,333.5,1.1,1.1,2020-09-03,04:20,T,100,6.0NRT,293.9,37.6,N
17.845,-93.115,340.5,1.1,1.1,2020-09-03,04:20,T,100,6.0NRT,293.9,50.8,N
17.834,-93.124,307.9,1.1,1.1,2020-09-03,04:20,T,72,6.0NRT,293.2,6.9,N
17.835,-93.113,310.5,1.1,1.1,2020-09-03,04:20,T,79,6.0NRT,292.9,9.2,N
32.152,-101.937,302.7,2.2,1.5,2020-09-03,04:25,T,51,6.0NRT,292.6,15.6,N
27.192,-90.031,321.7,1.2,1.1,2020-09-03,04:25,T,100,6.0NRT,297.7,20,N
28.192,-88.497,308.5,1.5,1.2,2020-09-03,04:25,T,61,6.0NRT,297.1,8.5,N
32.154,-101.932,303.3,2.2,1.5,2020-09-03,04:25,T,54,6.0NRT,292.6,16.7,N
41.705,-92.244,306,1.4,1.2,2020-09-03,04:25,T,66,6.0NRT,288.2,13.2,N
45.633,-106.882,305.8,2,1.4,2020-09-03,04:30,T,20,6.0NRT,276.4,24.1,N
45.635,-106.935,327,2,1.4,2020-09-03,04:30,T,87,6.0NRT,277.8,69.3,N
45.629,-106.959,345.5,2,1.4,2020-09-03,04:30,T,100,6.0NRT,280.5,145.7,N
45.641,-106.964,314.7,2,1.4,2020-09-03,04:30,T,31,6.0NRT,277.1,33.2,N
45.624,-106.984,318.2,2,1.4,2020-09-03,04:30,T,10,6.0NRT,278.4,44.8,N
45.636,-106.988,339.3,2,1.4,2020-09-03,04:30,T,100,6.0NRT,280.1,115,N
46.296,-108.387,317.5,2.3,1.5,2020-09-03,04:30,T,29,6.0NRT,279.1,55.2,N
46.302,-108.359,319.1,2.3,1.5,2020-09-03,04:30,T,66,6.0NRT,280.5,61.6,N
46.298,-108.382,327.4,2.3,1.5,2020-09-03,04:30,T,61,6.0NRT,280.4,88.2,N
46.305,-108.354,318.4,2.3,1.5,2020-09-03,04:30,T,70,6.0NRT,280.4,59.8,N
45.657,-107.143,311.1,2,1.4,2020-09-03,04:30,T,82,6.0NRT,277.3,37.7,N
45.645,-107.138,300.3,2,1.4,2020-09-03,04:30,T,25,6.0NRT,276.6,18.8,N
45.848,-106.226,304.7,1.8,1.3,2020-09-03,04:30,T,10,6.0NRT,274.8,19.5,N
45.644,-107.026,308.5,2,1.4,2020-09-03,04:30,T,51,6.0NRT,277.4,28.3,N
45.924,-105.761,312.2,1.7,1.3,2020-09-03,04:30,T,46,6.0NRT,273.1,27.9,N
45.632,-107.021,327.3,2,1.4,2020-09-03,04:30,T,100,6.0NRT,279.8,72.9,N
45.638,-106.996,334.9,2,1.4,2020-09-03,04:30,T,100,6.0NRT,279.7,95.6,N
45.643,-106.972,319.1,2,1.4,2020-09-03,04:30,T,79,6.0NRT,277.3,43,N
45.636,-107.044,305.1,2,1.4,2020-09-03,04:30,T,29,6.0NRT,276.2,22.3,N
45.63,-107.013,339.7,2,1.4,2020-09-03,04:30,T,100,6.0NRT,281,120.4,N
45.625,-107.038,313.1,2,1.4,2020-09-03,04:30,T,25,6.0NRT,277,35.9,N
45.915,-105.752,312,1.7,1.3,2020-09-03,04:30,T,29,6.0NRT,271.9,26.6,N
45.642,-107.018,309.2,2,1.4,2020-09-03,04:30,T,71,6.0NRT,277.4,28.2,N
45.671,-106.28,308.1,1.8,1.3,2020-09-03,04:30,T,54,6.0NRT,273.5,25.5,N
45.579,-106.933,302,2,1.4,2020-09-03,04:30,T,36,6.0NRT,278.1,19.8,N
46.315,-108.365,329.7,2.3,1.5,2020-09-03,04:30,T,100,6.0NRT,280.9,99.1,N
46.307,-108.457,321.1,2.3,1.5,2020-09-03,04:30,T,61,6.0NRT,275.1,66.8,N
46.326,-108.434,327.4,2.3,1.5,2020-09-03,04:30,T,94,6.0NRT,281.2,88.9,N
46.338,-108.441,313.2,2.3,1.5,2020-09-03,04:30,T,66,6.0NRT,279.9,45.8,N
39.827,-122.876,312,1,1,2020-09-03,06:05,T,56,6.0NRT,294.9,9.6,N
39.825,-122.888,310.8,1,1,2020-09-03,06:05,T,70,6.0NRT,294.1,9.4,N
39.84,-122.854,310.5,1,1,2020-09-03,06:05,T,47,6.0NRT,294.3,7.9,N
39.838,-122.866,312.1,1,1,2020-09-03,06:05,T,84,6.0NRT,293.9,9.3,N
39.834,-122.89,314.1,1,1,2020-09-03,06:05,T,89,6.0NRT,293.9,12,N
39.845,-122.88,313.8,1,1,2020-09-03,06:05,T,74,6.0NRT,294.3,10.9,N
39.843,-122.892,323.4,1,1,2020-09-03,06:05,T,100,6.0NRT,294.1,21.3,N
39.854,-122.882,343.8,1,1,2020-09-03,06:05,T,100,6.0NRT,296,51.1,N
39.852,-122.894,332.7,1,1,2020-09-03,06:05,T,100,6.0NRT,293.5,32.3,N
39.865,-122.874,311.5,1,1,2020-09-03,06:05,T,45,6.0NRT,294.3,9.3,N
39.863,-122.885,317,1,1,2020-09-03,06:05,T,89,6.0NRT,293.7,13.6,N
39.885,-122.798,309.7,1,1,2020-09-03,06:05,T,28,6.0NRT,293.2,8.6,N
39.866,-122.916,315.8,1,1,2020-09-03,06:05,T,36,6.0NRT,294.4,12.1,N
39.877,-122.969,322.5,1.1,1,2020-09-03,06:05,T,48,6.0NRT,293.9,19.4,N
39.933,-122.734,322.1,1,1,2020-09-03,06:05,T,82,6.0NRT,293,17.8,N
39.931,-122.746,320.4,1,1,2020-09-03,06:05,T,37,6.0NRT,293.7,15.6,N
39.895,-122.975,315.2,1.1,1,2020-09-03,06:05,T,60,6.0NRT,293.6,13.3,N
39.963,-122.718,320.3,1,1,2020-09-03,06:05,T,88,6.0NRT,293.7,17.2,N
39.957,-122.816,309.9,1,1,2020-09-03,06:05,T,15,6.0NRT,291.7,8.7,N
39.973,-122.827,318.3,1,1,2020-09-03,06:05,T,65,6.0NRT,291.9,15.8,N
39.977,-122.866,301.3,1,1,2020-09-03,06:05,T,14,6.0NRT,290.5,4.2,N
40.056,-122.837,305.9,1,1,2020-09-03,06:05,T,29,6.0NRT,291,7.4,N
40.071,-122.797,324.4,1,1,2020-09-03,06:05,T,100,6.0NRT,295,22.3,N
40.069,-122.809,329.5,1,1,2020-09-03,06:05,T,100,6.0NRT,295.6,27.7,N
40.067,-122.821,323.6,1,1,2020-09-03,06:05,T,62,6.0NRT,293.9,20.5,N
39.494,-122.874,327.4,1.1,1,2020-09-03,06:05,T,100,6.0NRT,294.8,24.6,N
39.595,-122.875,313.3,1.1,1,2020-09-03,06:05,T,87,6.0NRT,292.3,11.6,N
39.882,-120.968,318.5,1,1,2020-09-03,06:05,T,97,6.0NRT,292.3,16.7,N
39.884,-120.956,324.7,1,1,2020-09-03,06:05,T,100,6.0NRT,294.5,23.2,N
39.588,-122.867,316,1.1,1,2020-09-03,06:05,T,39,6.0NRT,292.3,12.7,N
39.873,-120.959,326.3,1,1,2020-09-03,06:05,T,100,6.0NRT,295.4,23.3,N
39.566,-122.948,309.9,1.1,1,2020-09-03,06:05,T,53,6.0NRT,290.1,9.5,N
39.568,-122.936,323.7,1.1,1,2020-09-03,06:05,T,100,6.0NRT,292.7,22.4,N
39.569,-122.924,325.8,1.1,1,2020-09-03,06:05,T,96,6.0NRT,293.7,24.2,N
39.571,-122.912,315.4,1.1,1,2020-09-03,06:05,T,66,6.0NRT,292.7,13.8,N
39.577,-122.877,309.8,1.1,1,2020-09-03,06:05,T,20,6.0NRT,291.7,8.5,N
39.579,-122.865,317,1.1,1,2020-09-03,06:05,T,94,6.0NRT,293.7,14.7,N
39.861,-120.98,306.3,1,1,2020-09-03,06:05,T,41,6.0NRT,290.2,6.5,N
39.602,-122.889,302.7,1.1,1,2020-09-03,06:05,T,18,6.0NRT,292,4.8,N
39.6,-122.901,313.8,1.1,1,2020-09-03,06:05,T,88,6.0NRT,293.1,12.7,N
39.598,-122.913,324.8,1.1,1,2020-09-03,06:05,T,100,6.0NRT,291.4,23.7,N
39.592,-122.948,305.2,1.1,1,2020-09-03,06:05,T,46,6.0NRT,288.3,6.9,N
39.59,-122.961,326.1,1.1,1,2020-09-03,06:05,T,100,6.0NRT,290.9,26.6,N
39.632,-122.76,305.9,1,1,2020-09-03,06:05,T,53,6.0NRT,290.9,6.7,N
39.62,-122.832,303.4,1,1,2020-09-03,06:05,T,15,6.0NRT,290.1,5.1,N
39.611,-122.892,302,1.1,1,2020-09-03,06:05,T,25,6.0NRT,290.6,4.5,N
39.609,-122.904,314.8,1.1,1,2020-09-03,06:05,T,90,6.0NRT,290.5,14.3,N
39.64,-122.888,306,1.1,1,2020-09-03,06:05,T,65,6.0NRT,291.7,7.1,N
39.649,-122.891,316.9,1.1,1,2020-09-03,06:05,T,94,6.0NRT,292.3,15.5,N
39.66,-122.88,302.6,1.1,1,2020-09-03,06:05,T,8,6.0NRT,290.1,5.2,N
39.658,-122.893,323.6,1.1,1,2020-09-03,06:05,T,100,6.0NRT,292.8,23,N
39.669,-122.882,314.4,1.1,1,2020-09-03,06:05,T,89,6.0NRT,290.8,13.9,N
39.667,-122.895,318.4,1.1,1,2020-09-03,06:05,T,97,6.0NRT,291.9,17.5,N
39.686,-122.836,302.2,1,1,2020-09-03,06:05,T,41,6.0NRT,288.6,5.6,N
